date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,86271,448987,158483,,1203425,932699,-0.53,,,-20039,,184455.0,-266884,,2013年01月01日至2013年03月31日,,-1956855,-753430,-1838675,-565386,-2225591,248697,34293165,33381699,-911466,-911466,1314125,,,,,-0.53,1314125.0,-1956855,-1976894,,,,91889,-118180,-188044
2013-08-13,2,2013,,-100562,286801,152225,,339686,596669,-0.12,,,123070,,-156460.0,-250277,,2013年04月01日至2013年06月30日,,-569300,-229614,-400537,-438986,-535720,89490,35642834,36495731,852897,852897,1388617,,,,,-0.12,1388617.0,-569300,-446230,,-39.0,,99259,-168763,209372
2013-11-13,3,2013,,174063,141110,168654,,-512572,-723388,0.01,,,112392,,40108.0,-51966,,2013年07月01日至2013年09月30日,,89520,-423052,48549,-365180,57277,144635,34579971,35991279,1411308,1411308,1354031,,,,,0.01,1354031.0,89520,201912,,3355.0,,113163,40971,-57872
2014-03-31,4,2013,,392306,4396930,640324,,1457237,1197486,-0.43,,,457657,,-10124.0,-1106532,,2013年01月01日至2013年12月31日,,-2046804,-589567,-1497304,-250135,-5107783,3518636,138827639,139216384,388745,388745,5496528,,,,-126233.0,-0.43,,-2046804,-1589147,,-3802.0,,412086,-549500,-339432
2014-05-14,1,2014,,5147,63561,225854,193584.0,802324,713218,-0.49,,,19760,,85103.0,-686649,,2014年01月01日至2014年03月31日,,-1926508,-1124184,-1694092,-767023,-1381427,-525321,34496197,34320714,-175483,-175483,1399528,,,,,-0.49,,-1926508,-1906748,,1144.0,,128087,-232416,-357161
2014-08-14,2,2014,,65324,-231271,539494,136759.0,-483510,-518137,0.04,,,213689,,-27941.0,-141298,,2014年第2季,,412030,-71480,150175,-582353,606572,19147,33277945,35178947,1901002,1901002,1431189,,,,,0.04,,412030,625719,,2756.0,,147778,261855,510873
2014-11-14,3,2014,,-51681,180103,195685,88669.0,767556,550724,0.54,,,345964,,278573.0,-248567,,2014年第3季,,2475408,3242964,1863282,2595887,2832021,-10649,33484477,37597875,4113398,4113398,1370046,-12329.0,,,,0.54,,2475408,2821372,,-2269.0,,137870,612126,647077
2015-03-31,4,2014,,235857,253192,1260546,2167500.0,2593310,2072748,0.34,105.0,,1184694,,278822.0,-1520597,,2014年度,2104.0,2055164,4648474,1176039,3620467,3786089,-546231,136937563,144284374,7346811,7344812,5726223,,,,7582.0,0.34,,2055164,3239858,,1699.0,,539372,879125,1028007
2015-05-15,1,2015,,543347,179839,150643,46382,-379191,-962134,0.44,318,-379191,233948,,,154306,60138,2015年01月01日至2015年03月31日,15944,1856562,1477371,1525952,1336700,1823194,267316,32138061,35304000,3165939,3150313,1373501,,-6181,,,0.44,,1856562,2090510,,,14361,217472,330610,140671
2015-08-14,2,2015,,223905,-189370,203623,212236.0,-464669,-626159,-0.04,1053.0,-464669.0,170529,,,-20682,-37693.0,2015年第2季,29371.0,-49988,-514657,-152949,-446733,348903,-228362,33166253,34800478,1634225,1605907,1469240,,-12012.0,,,-0.04,,-49988,120541,,,12710.0,221933,102961,-67924
