date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,264.0,10148,1317,-139,-403,1.05,,0,5447,2013年01月01日至2013年03月31日,38581,38442,40672,40694,27466,11115,80955,148333,67378,67378,39912,22498,,,1.04,11967,38581,38581,350,364.0,148697.0,148697.0,148333.0,-2091.0,-2252.0
2013-07-22,2,2013,,-1329.0,-4369,1401,-1703,-374,1.26,,0,6863,2013年04月01日至2013年06月30日,46333,44630,48631,47077,49864,-3531,84014,181956,97942,97942,48078,21684,,,1.25,19531,46333,46333,563,,,,,-2298.0,-2447.0
2013-10-17,3,2013,,-166.0,-3048,1555,2,168,1.26,,0,8275,2013年07月01日至2013年09月30日,54173,54175,54384,54381,55685,-1512,68648,182179,113531,113531,57846,37565,,,1.25,12006,54173,54173,19,,,,,-211.0,-206.0
2014-02-26,4,2013,,-1802.0,10499,7088,-2089,-110,4.85,,1799,33267,2013年01月01日至2013年12月31日,208720,206631,213320,211536,194107,16412,330862,734874,404012,404012,209905,113354,,-177.0,4.8,63284,208720,210519,1175,,,,,-4600.0,-4905.0
2014-04-30,1,2014,,0.0,4885,4664,533,533,1.38,,12474,10519,2014年01月01日至2014年03月31日,70247,70780,70247,70780,73323,9398,91533,220607,129074,129074,55751,31075,,,1.35,14157,70247,82721,151,,,,,0.0,0.0
2014-07-18,2,2014,,0.0,-8127,4226,-695,-695,1.48,,5224,11872,2014年第2季,75323,74628,75323,74628,84471,-3924,112767,259562,146795,146795,62324,34968,,,1.45,15484,75323,80547,23,,,,,0.0,0.0
2014-10-27,3,2014,,0.0,14438,4807,537,537,1.63,,20430,12566,2014年第3季,88371,88908,88371,88908,89579,19222,122073,286862,164789,164789,75210,44654,,,1.6,17990,88371,108801,23,,,,,0.0,0.0
2015-02-16,4,2014,,0.0,29273,17004,515,1496,5.58,,53825,45741,2014年度,303142,303657,303142,303657,311006,45961,428799,1004640,575841,575841,264835,153793,,-981.0,5.46,65301,303142,356967,316,,,,,0.0,0.0
2015-02-25,4,2015,-957.0,,18461,12476,1230,2187,2.39,2187.0,39769,37338,2015年度,141650,142880,141650,142880,150560,30859,421090,854565,433475,433475,282915,182283,-957.0,,2.33,63294,141650,181419,78,,,,,0.0,0.0
2015-05-06,1,2015,,,2247,3362,-362,-362,0.6,-362.0,10160,9745,2015年01月01日至2015年03月31日,32688,32326,32688,32326,37272,5576,92615,200062,107447,107447,70175,44301,,,0.59,16129,32688,42848,33,,,,,,
2015-07-29,2,2015,,,-5654,3679,-205,-205,0.48,-205.0,6575,8302,2015年第2季,26218,26013,26218,26013,34770,-1977,110488,213162,102674,102674,67904,46685,,,0.47,12917,26218,32793,2,,,,,,
2015-11-05,3,2015,,,27475,3646,378,378,0.89,378.0,10912,7731,2015年第3季,52838,53216,52838,53216,32644,31106,100884,204724,103840,103840,71196,47571,,,0.87,15894,52838,63750,15,,,,,,
2016-04-22,1,2016,,,-5986,1861,-3168,-3168,0.42,-3168.0,6181,7190,2016年01月01日至2016年03月31日,24765,21597,24765,21597,35202,-4256,109008,210820,101812,101812,66610,45365,,,0.41,14055,24765,30946,131,,,,,,
2016-07-28,2,2016,,,4779,1497,-1641,-1641,0.85,-1641.0,-7853,9474,2016年第2季,50620,48979,50620,48979,36595,6172,96101,204440,108339,108339,71744,49223,,,0.84,13047,50620,42767,104,,,,,,
2016-10-26,3,2016,,,-6589,3121,-9144,-9144,0.45,-9144.0,4641,7484,2016年第3季,29234,20090,29234,20090,37339,-3464,108167,208807,100640,100640,63301,42224,,,0.45,13593,29234,33875,-4,,,,,,
