date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,維修成本,維修收入淨額,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,243654,,8148,7120,72223,123729,,242191,28769,54383,35617,0.48,,14183,,15291,,208.0,991,,130505,2013年01月01日至2013年03月31日,13587,64503,306694,53688,284858,72754,7040,1017790,1308211,290421,291017,218263,,,0.47,,87758,28769,54383,64503,79794,,37288.0,,,9219,916798,1130099,10815,21836
2013-08-06,2,2013,,5021,,132595,3657,71745,128032,6543.0,10587,32740,55746,17691,1.07,,15232,,36359,,-18668.0,-11113,,160077,2013年04月01日至2013年06月30日,14778,133177,143764,120986,121991,54599,114937,1157073,1439761,282688,283142,228543,,,1.04,,68466,32740,55746,133177,169536,,,,,10202,1052588,1255983,12191,21773
2013-11-06,3,2013,,-43796,,48153,4382,75165,123191,11085.0,-43318,36344,56154,-37561,0.76,0.76,17658,,15898,,26954.0,-3025,,131885,2013年07月01日至2013年09月30日,17783,96456,53138,86202,40393,73485,38869,1164755,1445473,280718,280593,207108,,,0.75,0.75,75223,36344,56154,96456,112354,,,,,10641,1053246,1266128,10254,12745
2014-03-12,4,2013,,207571,,157344,14172,310146,513960,,237971,130562,222633,47022,2.66,2.66,62638,,88296,,-21238.0,-24030,,497542,2013年01月01日至2013年12月31日,61762,326405,564376,299942,493798,308653,106048,4586187,5740961,1154774,1155650,846997,,7211.0,2.61,2.61,349455,130562,222633,326405,414701,,6087.0,,3492.0,41438,4145479,5004368,26463,70578
2014-05-06,1,2014,,-21537,,58150,3468,80509,122165,,-14517,29203,54094,24008,0.7,,10046,,30361,,3203.0,283,,117642,2014年01月01日至2014年03月31日,10493,97480,82963,79591,79955,74561,53280,1111632,1380191,268559,268112,193551,,,0.7,,75909,29203,54094,97480,127841,,16699.0,,-3492.0,8621,1001920,1203932,17889,3008
2014-08-07,2,2014,,261019,,11690,3613,82282,127040,,227806,33843,58090,-45486,0.66,0.66,12060,,28431,,5845.0,9380,,120971,2014年第2季,11878,100550,328356,74342,260923,112164,16817,1158844,1473202,314358,314540,202376,,,0.66,0.66,81405,33843,58090,100550,128981,,-6428.0,,0.0,7866,1042719,1288072,26208,67433
2014-11-06,3,2014,,-149588,,19958,7356,88384,118192,13098.0,-113059,34096,58549,44847,0.7,0.7,11813,,25608,,-21416.0,19857,,119100,2014年第3季,12350,96703,-16356,79019,-31729,82283,40028,1174333,1463520,289187,288650,206367,,,0.7,0.7,87267,34096,58549,96703,122311,,,,0.0,7143,1051853,1286779,17684,15373
2015-03-12,4,2014,,-22766,,97855,22432,329399,487640,,94117,131214,228295,136573,2.53,2.53,49538,,102369,,-20326.0,38467,,479339,2014年度,51324,368045,462162,285681,351119,343498,126916,4625724,5806677,1180953,1179167,835669,,6582.0,2.52,2.52,356330,131214,228295,368045,470414,,2454.0,,-3492.0,31838,4165111,5090742,82364,111043
2015-05-07,1,2015,,-194829,0.0,40585,11693,83023,126548,,-206437,31102,56770,-38060,0.76,0.76,10113,-206437.0,19450,,,16575,4540.0,117189,2015年01月01日至2015年03月31日,9773,101875,-104562,86217,-104016,60901,60424,1191487,1471752,280265,280605,219704,,,0.76,0.76,102515,31102,56770,101875,121325,,,-21912.0,0.0,8429,1077362,1288434,15658,-546
2015-08-06,2,2015,134.0,-92587,,18153,15101,89645,141734,,-136313,28384,52216,-31913,0.89,0.89,14955,-136447.0,24575,,,22155,-11932.0,129684,2015年第2季,14779,129710,-6603,100678,-10374,107516,46769,1243360,1570126,326766,326942,219426,162.0,,0.89,0.89,89742,28384,52216,129710,154285,28.0,,15.0,0.0,8640,1125331,1376176,29032,3771
2015-11-05,3,2015,0,-62848,,36584,10947,93478,146730,,33430,30493,53401,113467,0.77,0.77,16897,33430,11550,,,14225,-7812,129422,2015年第3季,16444,112293,145723,89566,119703,71344,52499,1288148,1591185,303037,303490,232146,0,,0.76,0.76,102724,30493,53401,112293,123843,0,,15672,6295,9257,1164177,1391054,22727,26020
