date,season,year,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入（投資公司適用）合計,推銷費用合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,2996,2234,,13431,,13431,0.01,,22894.0,25162.0,,,3055,,83640,,2013年01月01日至2013年03月31日,,970,14401,1403,14679,22894,25162,-765,4790,349255,514046,164791,164791,165556,33954,,,,,,47962,970,4025,440,326361,488884,-433.0,-278.0
2013-08-13,2,2013,,,,-3577,1043,1043.0,5897,,5897,-0.19,,23497.0,26132.0,,,1033,,90787,,2013年04月01日至2013年06月30日,,-24218,-18321,-22067,-16324,23497,26132,-20000,-3185,434975,597898,162923,162923,182923,35031,,,,,,57105,-24218,-23185,651,411478,571766,-2151.0,-1997.0
2013-11-12,3,2013,,,,-8392,5041,5041.0,-5692,,-5692,-0.2,-0.2,,,,,5462,,90380,,2013年07月01日至2013年09月30日,,-25340,-31032,-23400,-28805,8014,12650,-15243,-4635,420613,576125,155512,155512,170755,28834,,,,,,51541,-25340,-19878,1284,412599,563475,-1940.0,-2227.0
2014-03-26,4,2013,,,0.0,-5040,10692,10692.0,20135,,18935,-0.55,-0.55,52884.0,65194.0,,,-4530,,172955,,2013年01月01日至2013年12月31日,,-67162,-47027,-64093,-49780,52884,65194,-74838,3146,1564201,2179839,615638,615638,690476,120572,,1200.0,,,,396949,-67162,-71692,2506,1511317,2114645,-3069.0,2753.0
2014-05-12,1,2014,,,,6349,3257,,6197,,6197,-0.06,,2488.0,3429.0,,,-454,,82608,,2014年01月01日至2014年03月31日,,-7576,-1379,-7300,-1080,2488,3429,-17267,9237,271833,406335,134502,134502,151769,17211,,,,,,51950,-7576,-8030,369,269345,402906,-276.0,-299.0
2014-08-12,2,2014,,0.0,,-13853,2977,2977.0,-2803,0.0,-2803,-0.41,-0.41,0.0,0.0,0.0,,3051,0.0,93528,0.0,2014年第2季,0.0,-47381,-50184,-46981,-49774,0,0,-32980,-11350,273756,401938,128182,128182,161162,18866,,,0.0,,,48768,-47381,-44330,474,273756,401938,-400.0,-410.0
2014-11-12,3,2014,,,,30,9412,9412.0,8069,,8069,-0.11,-0.11,-821.0,306.0,,,-2236,,86988,,2014年第3季,,-12345,-4276,-12190,-4136,-821,306,-23226,8645,330115,458395,128280,128280,151506,15591,,,,,,48927,-12345,-14581,797,330936,458089,-155.0,-140.0
2015-03-24,4,2014,,,,-3581,27162,27162.0,25385,,25291,-1.08,,3845.0,5225.0,,,-230,,187181,,2014年度,,-127653,-102268,-124422,-98977,3845,5225,-149769,21886,1162826,1639401,476575,476575,626344,66641,,94.0,,,,372522,-127653,-127883,1695,1158981,1634176,-3231.0,-3291.0
2015-05-06,1,2015,,,,-23648,1019,,-2628,,-2628,-0.47,-0.47,6775.0,7316.0,,-2628.0,-15552,,66586,,2015年01月01日至2015年03月31日,,-54621,-57249,-54621,-57249,6775,7316,-47327,-22846,186344,259456,73112,73112,120439,14932,,,,,,38921,-54621,-70173,217,179569,252140,0.0,0.0
2015-08-13,2,2015,,,,-1115,8350,8350.0,-2477,,-2477,-0.45,,4980.0,5619.0,,-2477.0,15187,,68758,,2015年第2季,,-52186,-54663,-52186,-54663,4980,5619,-43979,6980,202578,283785,81207,81207,125186,16142,,,,,,40286,-52186,-36999,255,197598,278166,0.0,0.0
2015-11-10,3,2015,,,,17445,987,987.0,9699,,9699,-0.25,-0.25,0.0,0.0,,9699.0,1946,,64522,,2015年第3季,,-28767,-19068,-28767,-19068,0,0,-44880,18059,268182,337776,69594,69594,114474,14263,,,,,,35689,-28767,-26821,373,268182,337776,0.0,0.0
2016-03-18,4,2015,-894,,,-9035,14827,14827,3433,,4327,-1.52,-1.52,19262,11821,,4327,-9676,,266451,,2015年度,,-175687,-172254,-175687,-172254,19262,11821,-189735,4372,880968,1166763,285795,285795,475530,60070,-894,,,,,149009,-175687,-185363,1420,861706,1154942,0,0
2016-05-03,1,2016,,,,677,16227,,-4888,,-4888,0.02,0.02,0.0,0.0,,-4888.0,3574,,50358,,2016年01月01日至2016年03月31日,,2506,-2382,2506,-2382,0,0,-10343,16423,186262,269806,83544,83544,93887,12832,,,,0.02,0.02,30697,2506,6080,481,186262,269806,,
2016-08-12,2,2016,,,,1971,1006,1006.0,-2294,,-2294,0.14,0.14,0.0,0.0,,-2294.0,5789,,44904,,2016年第2季,,15867,13573,15867,13573,0,0,19053,2603,226181,330939,104758,104758,85705,12325,,,,0.14,0.14,28476,15867,21656,374,226181,330939,,
2016-11-10,3,2016,,,,-6772,807,807.0,-4231,,-4231,0.12,0.12,0.0,0.0,,-4231.0,5176,,45564,,2016年第3季,,13734,9503,13734,9503,0,0,25355,-6445,200289,311526,111237,111237,85882,12406,,,,0.12,0.12,27912,13734,18910,480,200289,311526,,
