date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權利金收入,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備損失,財務成本淨額,遞延所得稅費用（利益）,銀行存款利息,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計,餐旅服務收入淨額,餐飲成本,餐飲收入
2013-05-10,1,2013,,-828,15063,4741.0,39617,9951.0,41437,4.69,4.69,-2262.0,,84292,1894.0,-5519,,1220078,1571884.0,3455467.0,2013年01月01日至2013年03月31日,347294,386911,247.0,318664,336799,422870,8716,1571884,3455467,1883583,1883583,1460713,82473.0,3659,,,124.0,4.69,4.69,236976,347294,431586,,3714.0,,3090.0,,1819.0,9951.0,,,28630,50112,1571884.0,3455467.0,1571884.0,3455467.0
2013-08-09,2,2013,,-5234,17404,,20208,,21243,3.81,3.81,,,103547,861.0,-5426,,1267701,,,2013年04月01日至2013年06月30日,303398,323606,,284594,293849,400201,6744,1669952,3583266,1913314,1913314,1513113,,3749,,,,3.81,3.81,241663,303398,406945,,1896.0,,,,,,,,18804,29757,,,,
2013-11-08,3,2013,,-10523,23518,,-11838,,-12476,3.6,3.6,,,87754,-474.0,-5712,,1435820,,,2013年07月01日至2013年09月30日,302813,290975,,269046,263620,383284,7283,1920138,4002672,2082534,2082534,1699250,,4345,,,,3.6,3.6,259085,302813,390567,,-1112.0,,,,,,,,33767,27355,,,,
2014-02-21,4,2013,,-21727,67778,,69902,,71440,13.64,13.64,,,325414,4282.0,-27099,,5421602,,,2013年01月01日至2013年12月31日,1115276,1185178,,1019826,1052223,1421738,18952,7067007,14880588,7813581,7813581,6391843,,16092,,815.0,,13.64,13.64,954149,1115276,1440690,,6635.0,,,,,,,,95450,132955,,,,
2014-05-09,1,2014,,-2123,18499,,-2268,,-2641,4.0,4.0,,,104377,166.0,-9728,,1549374,,,2014年01月01日至2014年03月31日,340831,338563,,298658,297648,438560,6648,2046422,4305464,2259042,2259042,1820482,,2992,,,,4.0,4.0,268116,340831,445208,,-207.0,,,,,,,,42173,40915,,,,
2014-08-08,2,2014,,-7824,17656,,-27137,,-27847,2.83,2.83,,,65912,-1855.0,-12005,,1534120,,,2014年第2季,242687,215550,,217553,205030,310772,-2173,1998336,4106816,2108480,2108480,1797708,,2860,,,,2.83,2.83,260728,242687,308599,,-2565.0,,,,,,,,25134,10520,,,,
2014-11-07,3,2014,,-16615,50079,,39003,,40627,2.27,2.27,,,83690,2052.0,-11997,,1735158,,,2014年第3季,232370,271373,,174432,192381,294593,21467,2239131,4537218,2298087,2298087,2003494,,3311,,,,2.27,2.27,265025,232370,316060,,3676.0,,,,,,,,57938,78992,,,,
2015-03-06,4,2014,,-91161,122304,,62149,,67379,9.14,9.14,,,304173,3974.0,-47653,,6418589,,,2014年度,888853,951002,,703316,730730,1209536,-16510,8274734,16916541,8641807,8641807,7432271,,12277,,-3589.0,,9.14,9.14,1001405,888853,1193026,,5615.0,,,,,,16916541.0,16916541.0,185537,220272,,,,
2015-05-08,1,2015,,-74405,17652,,-19313,,-18143,2.07,2.07,,-19313.0,64001,,-11619,-3177.0,1665176,,,2015年01月01日至2015年03月31日,232293,212980,,159539,149738,366033,-69739,2095729,4379394,2283665,2283665,1917632,,1907,,,,2.07,2.07,250549,232293,296294,,,-2007.0,,1367.0,,,,,72754,63242,,,,
2015-08-07,2,2015,,-89895,24692,,-28602,,-28746,1.08,1.08,,-28602.0,60171,,-13709,-2700.0,1597480,,,2015年第2季,143689,115087,,82646,68762,284560,-80700,2091603,4221659,2130056,2130056,1845496,,2380,,,,1.08,1.08,245636,143689,203860,,,-2844.0,,1788.0,,,,,61043,46325,,,,
2015-11-06,3,2015,,-52628,37904,,86168,,87795,-0.04,-0.04,,86168.0,32496,,-19374,6866.0,1708883,,,2015年第3季,37737,123905,,-2833,38629,104728,-34495,2277974,4330084,2052110,2052110,1947382,,4283,,,,-0.04,-0.04,234216,37737,70233,,,8493.0,,397.0,,,,,40570,85276,,,,
2016-03-28,4,2015,-6346.0,-409315,116554,,-46420,,-39452,0.45,0.45,,-40074.0,135308,,-56615,-4659.0,6567417,,,2015年度,226964,180544,,34782,8726,715964,-353692,8576498,16834970,8258472,8258472,7542508,,12864,-7646.0,,,0.45,0.45,962227,226964,362272,-1300.0,,-4037.0,,4316.0,,,,,192182,171818,,,,
2016-04-25,1,2016,,-41839,28544,,-11276,,-11753,1.07,1.07,,-11276.0,42826,,-11585,-624.0,1618916,,,2016年01月01日至2016年03月31日,122783,111507,,82159,76780,190489,-24880,2145957,4199405,2053448,2053448,1862959,,2462,,,,1.07,1.07,241581,122783,165609,,,-1101.0,,0.0,,,,,40624,34727,,,,
2016-08-04,2,2016,,-65021,60280,,-59023,,-61545,1.08,1.08,,-59023.0,56610,,-18685,-3160.0,1503195,,,2016年第2季,123872,64849,,83396,55658,203908,-23426,2003524,3947168,1943644,1943644,1739736,,2728,,,,1.08,1.08,233813,123872,180482,,,-5682.0,,0.0,,,,,40476,9191,,,,
2016-11-09,3,2016,,-23146,15496,,-71173,,-73943,1.54,1.54,,-71173.0,92362,,-23958,-4267.0,1521136,,,2016年第3季,194980,123807,,118604,84251,318950,-31608,2066927,4167204,2100277,2100277,1781327,,3445,,,,1.54,1.54,256746,194980,287342,,,-7037.0,,0.0,,,,,76376,39556,,,,
