date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,場站及運務成本,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅客服務成本,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,空運成本,管理費用合計,維修成本,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,運輸成本（海陸運輸業、航空業適用）合計,運輸收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-5350,-211335,276310,1508752.0,2145118.0,66973,29624127.0,30930800.0,48387,-0.21,-0.21,4485783.0,,49914,,-263.0,101222,,1724541.0,2158494.0,2013年01月01日至2013年03月31日,-1100256,-1033283,-1106643,-1036948,-659214,-391128,31132879,33075918,1943039,1943039,2602253,38711.0,,,,,,21340514.0,877712.0,1639336.0,-1100256,-1050342,,14512.0,,557325,27984791.0,30930800.0,6387,3665
2013-08-09,2,2013,,-6468,16347,204432,1544645,2308343,-18684,29759465,31879274,21424,-0.03,-0.03,4592269,,50732,,-766,110050,,1866170,2196193,2013年04月01日至2013年06月30日,-71413,-90097,-116232,-138650,180812,-201493,31304110,34187617,2883507,2883507,2702695,-36996,,,,-0.03,-0.03,21241133,836525,1729870,-71413,-20681,,-4122,,532322,28029595,31879274,44819,48553
2013-11-12,3,2013,,15373,-41412,737023,1692882.0,2373591.0,12587,31572871.0,34970262.0,-25960,0.28,0.28,4757814.0,,251282,,0.0,122061,,1633845.0,2335424.0,2013年07月01日至2013年09月30日,1464025,1476612,1429148,1444305,1392645,322662,33265753,37343853,4078100,4078100,2685455,25378.0,,,,0.28,0.28,22736127.0,1051610.0,1743506.0,1464025,1715307,,2204.0,,495010,29829365.0,34970262.0,34877,32307
2014-03-27,4,2013,,4108,469039,1603573,6872847.0,10126360.0,121723,125290408.0,131576185.0,81030,-0.25,-0.25,18720774.0,,587700,,-6082.0,450361,,6554496.0,8936698.0,2013年01月01日至2013年12月31日,-948880,-827157,-1274046,-1171929,-761827,400647,132163255,141702545,9539290,9539290,10301117,96500.0,,,-23940.0,-0.25,-0.25,90691255.0,3746621.0,6941681.0,-948880,-361180,,29893.0,,2122326,118348727.0,131576185.0,325166,344772
2014-05-06,1,2014,,14731,-1546393,291529,1739346.0,2428496.0,-35451,31833549.0,32818377.0,34990,-0.52,-0.52,4816741.0,,190506,,-376.0,122927,,1617324.0,2302740.0,2014年01月01日至2014年03月31日,-2702431,-2737882,-2726928,-2762112,-873039,-1638886,33572895,35246873,1673978,1673978,2547017,-92298.0,,,,-0.52,-0.52,22969247.0,929693.0,1744821.0,-2702431,-2511925,,-7502.0,,506949,30088728.0,32818377.0,24497,24230
2014-08-12,2,2014,,3213,-128021,338958,1459997.0,2390786.0,-2399,32848843.0,34556951.0,-45805,-0.2,-0.2,5094837.0,,599776,,-72.0,140381,,1902147.0,2357492.0,2014年第2季,-959539,-961938,-1033556,-1032255,-199372,-160391,34308840,36947737,2638897,2638897,2838269,40045.0,,,,-0.2,-0.2,23621149.0,936122.0,1775365.0,-959539,-359763,,-220.0,,511709,31073478.0,34556951.0,74017,70317
2014-11-11,3,2014,,-3668,-22253,189699,,,-246276,,,54454,0.22,0.22,,,250174,,765.0,124866,,,,2014年第3季,1239019,992743,1177225,928159,1695106,-205913,35696929,40244398,4547469,4547469,2852363,-347453.0,,,,0.21,0.21,,,,1239019,1489193,,-49626.0,,498225,,,61794,64584
2015-03-27,4,2014,,17467,-1740965,1094416,,,-1947978,,,119945,-0.14,-0.14,,,959113,,-15590.0,509352,,,,2014年度,-601404,-2549382,-751232,-2696395,2514030,-2156321,136954265,150581742,13627477,13627477,11113447,-2537524.0,,,74083.0,-0.14,-0.14,,,,-601404,357709,,-393641.0,,2019124,,,149828,147013
2015-05-07,1,2015,,-2718,-138648,263324,,,542314,,,-22933,0.35,0.35,,542314.0,434148,,,116316,0.0,,,2015年01月01日至2015年03月31日,1882204,2424518,1850379,2395461,2560214,-243862,31447329,37163905,5716576,5716576,3156362,,680183.0,,,0.33,0.33,,,,1882204,2316352,,,112218.0,484854,,,31825,29057
2015-08-13,2,2015,,-6682,-284296,454087,,,851617,,,-28877,0.2,0.2,,851617.0,277233,,,132569,0.0,,,2015年第2季,1168311,2019928,1116577,1973018,1606685,-161141,31056441,35621247,4564806,4564806,2958121,,1063599.0,,,0.2,0.2,,,,1168311,1445544,,,176423.0,463501,,,51734,46910
2015-11-10,3,2015,,-4079,-1509840,2221936,,,518321,,,145053,0.39,0.39,,518321.0,483642,,,141035,-182.0,,,2015年第3季,2213274,2731595,2133705,2645081,2288041,408875,31798540,37089144,5290604,5290604,3002563,,484027.0,,,0.38,0.38,,,,2213274,2696916,,,106498.0,444256,,,79569,86514
2016-03-25,4,2015,-566199.0,-6393,-2957838,3231179,,,1269760,,,67515,1.06,1.06,,1835959.0,1208675,-4428.0,,516140,765.0,,,2015年度,5926210,7195970,5763714,7072042,8129197,-994312,124787843,145056217,20268374,20268374,12139177,,2148353.0,-676833.0,,1.0,1.0,,,,5926210,7134885,-115062.0,,374281.0,1783793,,,162496,123928
2016-05-12,1,2016,,-1967,-439240,156044,,,-67202,,,-50373,0.27,0.27,,-67202.0,358897,,,123610,-987.0,,,2016年01月01日至2016年03月31日,1507465,1440263,1463951,1399680,2371214,-504852,29250258,34999023,5748765,5748765,3377551,,-25066.0,,,0.26,0.26,,,,1507465,1866362,,,-11191.0,345266,,,43514,40583
2016-08-11,2,2016,,-6330,-685163,245606,,,56454,,,-7984,-0.03,-0.03,,56454.0,82334,,,135077,987.0,,,2016年第2季,-95277,-38823,-169612,-112794,620908,-633851,29955893,33834966,3879073,3879073,3258165,,83882.0,,,-0.03,-0.03,,,,-95277,-12943,,,14101.0,329371,,,74335,73971
2016-11-10,3,2016,,-637,-418914,181036,,,-78923,,,-72231,0.09,0.09,,-78923.0,435737,,,138821,0.0,,,2016年第3季,586881,507958,513429,441067,1425596,-402978,31627877,36552871,4924994,4924994,3499398,,-16623.0,,,0.09,0.09,,,,586881,1022618,,,-10568.0,303921,,,73452,66891
