date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,52455,-1815,80669.0,-25125,121450,35291,638840,80669,115759.0,639564,-0.1,-0.1,11873.0,,5490,,-1874,,1091.0,,-524.0,524,,279787,2013年01月01日至2013年03月31日,-62890,575950,-43989,415367,,0.0,-45854,-18910,10783022,11658235,875213,875213,921067,73235,,,-0.1,-0.1,568045,-62890,-64764,,,,7830.0,,0.0,,,115759,7627,-18901,160583
2013-08-13,2,2013,,58596,8892,,-74655,347933,252743,294674,95190,,285321,-0.29,-0.29,-6885.0,,0,,88250,,461.0,1154.0,,1154,,271607,2013年04月01日至2013年06月30日,-168230,126444,-133718,111658,,0.0,-234307,154327,11329380,12064032,734652,734652,968959,74128,,,0.0,0.0,623224,-168230,-79980,0.0,,,-5395.0,,0.0,,,120105,-3779,-34512,14786
2013-11-12,3,2013,,113392,7985,,-117173,158924,45092,-256818,112341,,-266454,-0.17,-0.17,,27789.0,0,,70888,,1651.0,,,164,,320768,2013年07月01日至2013年09月30日,-62311,-319129,-77689,-239147,,0.0,99057,-90480,12462984,13540772,1077788,1077788,978731,83844,,,0.0,0.0,574119,-62311,8577,1491.0,,,-7843.0,,1297.0,,,132395,30554,15378,-79982
2014-03-13,4,2013,,118841,16151,,-386695,879524,445720,1025054,418534,,996692,-0.56,-0.56,,13439.0,13779,,270067,,4698.0,,,7146,,1181098,2013年01月01日至2013年12月31日,-489365,535689,-251118,577054,289976.0,,-214507,-4791,47270274,51007379,3737105,3737105,3951612,321430,,9070.0,0.0,0.0,2449084,-489365,-219298,1491.0,,1557.0,,16084.0,1297.0,,,504766,50348,-238247,-41365
2014-05-08,1,2014,,4440,15044,,-50646,213596,43135,68998,164985,,54281,0.05,0.05,0.0,83594.0,5476,,33747,,-327.0,,,12378,,276734,2014年01月01日至2014年03月31日,12567,81565,22562,-37090,,7643.0,18577,27737,10447252,11385578,938326,938326,919749,87721,,,,,555294,12567,46314,,,,25678.0,,0.0,,,147591,4067,-9995,118655
2014-08-11,2,2014,,1288,100196,,24225,220242,35773,-294479,183814,,-393235,0.35,0.35,11320.0,,0,,43253,,-1440.0,,,3867,,284607,2014年第2季,182888,-111591,159777,-2120,,9700.0,131544,94597,10991153,12066209,1075056,1075056,943512,87586,,,,,571319,182888,226141,655.0,,,-2588.0,,,,,153737,7081,23111,-109471
2014-11-11,3,2014,,5308,-12169,,45813,210209,40360,564970,168399,,574339,0.66,0.66,36299.0,,0,,25102,,2800.0,,,5603,,347275,2014年第3季,357908,922878,296826,720773,,1866.0,271122,111888,11863831,13187925,1324094,1324094,1052972,93752,,,,,611945,357908,383010,1450.0,,,-11202.0,,0.0,,,149737,24158,61082,202105
2015-02-16,4,2014,,35040,125671,,5726,815546,154029,1118337,649215,,976298,1.57,1.57,,32669.0,10120,,116751,,6475.0,,,23789,,1215984,2014年度,797353,1915690,705560,1389961,21209.0,,668332,245772,44035241,48662451,4627210,4627210,3958878,359502,,11868.0,1.56,1.56,2383392,797353,914104,2182.0,,1975.0,,-9869.0,0.0,,,599289,84775,91793,525729
2015-04-28,1,2015,,6646,72681,,83277,149475,27481,-175469,117839,,-245945,-0.07,-0.07,32280.0,,4155,-175469.0,48996,,,,,-1337,-2205.0,305352,2015年01月01日至2015年03月31日,-169532,-345001,-31567,-119385,,7621.0,-217051,96515,9136106,9940819,804713,804713,1021764,86669,,,,,629743,-169532,-120536,,,,-496.0,,1178.0,,,134900,49340,-137965,-225616
2015-07-28,2,2015,,5003,-70544,,145049,159269,62554,-416410,96715,,-342704,0.16,0.16,22349.0,,0,-416410.0,48730,,,,,-2682,-3162.0,274971,2015年第2季,121714,-294696,72981,-228259,,5059.0,-12354,182798,8703947,9546203,842256,842256,854610,86554,,,,,493085,121714,170444,0.0,,,65851.0,,3583.0,,,118838,53210,48733,-66437
2015-10-27,3,2015,,1265,27209,,157660,143583,30300,1100211,96448,,1064853,0.62,0.62,131977.0,,0,1100211.0,20641,,,,,1370,8149.0,280290,2015年第3季,292370,1392581,276817,912066,,1353.0,127838,185173,9248016,10330241,1082225,1082225,954387,107526,,,0.61,0.61,566571,292370,313011,16835.0,,,6325.0,,13802.0,,,117440,5468,15553,480515
2016-02-24,4,2015,368.0,45850,286878,,330948,534370,154507,309848,357293,,25248,0.81,0.81,200198.0,,4155,309480.0,229755,-65.0,,,,-7469,-2646.0,1112608,2015年度,160271,470119,364547,463679,98354.0,,16321,373705,36570368,40416527,3846159,3846159,3829838,381342,540.0,,0.81,0.81,2335888,160271,390026,18415.0,107.0,,85512.0,,32286.0,,,484144,157156,-204276,6440
2016-04-27,1,2016,0.0,5451,329286,,39483,106445,25902,-60459,71645,,-387971,0.06,0.06,-9427.0,,8898,-60459.0,33008,0.0,,,,-1359,-1774.0,243872,2016年01月01日至2016年03月31日,58590,-1869,26731,74127,,2789.0,56530,35068,8085722,9052206,966484,966484,909954,88949,,,0.06,0.06,577133,58590,91598,,,,358.0,,484.0,,,109501,50730,31859,-75996
2016-07-28,2,2016,,5099,172213,,67200,98215,21141,-273675,66799,,-440303,0.36,0.36,55213.0,,10275,-273675.0,72666,,,,,4046,-5585.0,271504,2016年第2季,204857,-68818,164586,-100008,,2094.0,212401,65122,8649930,9830999,1181069,1181069,968668,92288,,,0.36,0.36,604876,204857,277523,,,,6756.0,,,233.0,3307.0,104339,11310,40271,31190
2016-10-26,3,2016,,10314,405354,,18290,147752,53563,-363815,46133,,-761780,0.92,0.92,-22533.0,,343,-363815.0,149734,,,,,13911,-7389.0,293379,2016年第3季,519200,155385,411255,234308,,3674.0,587729,81205,9034140,10595194,1561054,1561054,973325,109264,,,0.91,0.91,570682,519200,668934,47713.0,,,3992.0,,15123.0,0.0,,98748,28348,107945,-78923
