date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-10-24,4,2013,,,2941,,,-8673,26231,,43046,40105,5.53,,,68420,,,-564,,157268,2013年01月01日至2013年12月31日,,169810,212856,,169033,212212,231916,6314,1378505,1943340,564835,564835,332919,26898,,5.53,148753,169810,,238230,,,10680,,,1943340,,777,644
2015-02-24,4,2014,,,5688,0,0,3750,27840,,29288,23600,6.07,0,,96427,,,473,,125953,2014年度,0,280545,309833,,280545,309833,360544,16428,1606789,2312536,705747,705747,345203,38334,,6.07,180916,280545,,376972,,,15635,,,2312536,,0,0
2015-05-14,1,2015,0,0,1908,,0,-14265,6103,,-8586,-10615,0.16,,-8586,-791,0,0,117,121,22975,2015年01月01日至2015年03月31日,,7350,-1236,0,7350,-1236,17745,-11186,313398,410080,96682,96682,78937,8623,0,0.16,47339,7350,0.16,6559,0,0,3141,0,,410080,,0,
2015-08-11,2,2015,0,0,-1896,,,-190,6703,,-12447,-10707,1.43,0,-12447,19318,,0,446,156,22381,2015年第2季,0,65892,53445,,65892,53445,81926,3284,462583,638634,176051,176051,94125,10043,,1.43,61701,65892,,85210,0,,3675,,0,638634,0,0,0
2015-11-07,3,2015,,,-5788,,,34373,10295,,22902,30024,1.25,,22902,16603,,,-494,-1334,16266,2015年第3季,,57932,80834,,57932,80834,34117,40418,329036,439216,110180,110180,76063,9731,,1.25,50066,57932,,74535,,0,3756,,,439216,,0,0
2016-03-05,4,2015,,,-10677,,,33522,28864,,-41025,-29129,4.07,,-41025,42176,,,-99,-1219,73472,2015年度,,188923,147898,,188923,147898,183068,48031,1469294,1975043,505749,505749,322681,56455,,,192754,188923,,231099,,,14256,,,,,,
2016-05-10,1,2016,,,-8595,,,7165,5121,0,-43450,-35825,0.04,,-43450,-1260,,,-722,970,17360,2016年01月01日至2016年03月31日,,2271,-41179,,2271,-41179,-8799,9810,252895,320633,67738,67738,76537,12705,,,46472,2271,,1011,,,1754,,,320633,,,
2016-07-29,2,2016,,,-123,,,19223,5758,,-55448,-55443,0.64,0,-55448,6112,,,-972,118,25253,2016年第2季,0,32607,-22841,,32607,-22841,17231,21488,335337,448483,113146,113146,95915,17861,,0.64,52801,32607,,38719,,,2521,,,448483,,0,0
2016-11-05,3,2016,,,1481,,,4808,7515,,-44752,-47726,0.61,,-44752,9311,,,-510,1493,24546,2016年第3季,,30151,-14601,,30151,-14601,30294,9168,299950,407437,107487,107487,77193,14555,,0.61,38092,30151,,39462,,,2645,,,407437,,0,0
