date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,勞務成本合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,-69232,179048,56245,,134209,,323846,0.24,,,46879,,-55408.0,1297,,382080,2013年01月01日至2013年03月31日,,316384,450593,399561,452576,365079,-1816,12895875,13854968,959093,959093,594014,10414,,,201520,316384,363263,,64997.0,,238406,,-83177,-1983
2013-08-06,2,2013,,,-128759,18312,49110,,-28946,,153909,0.07,,,1736,,-54096.0,-58112,,386128,2013年04月01日至2013年06月30日,,-24923,-53869,101779,-25433,229336,-252523,12575611,13406676,831065,831065,601729,10212,,,205389,-24923,-23187,,0.0,,261833,,-126702,-28436
2013-11-06,3,2013,,,-15465,33113,49185,,-171868,,-151229,0.04,,,82787,,-5174.0,-10906,,430049,2013年07月01日至2013年09月30日,,-26718,-198586,76264,-51116,237097,-181028,12636968,13506548,869580,869580,632483,10684,,,191750,-26718,56069,,,,252420,,-102982,-147470
2014-03-25,4,2013,,,-110818,236150,349456,,227875,,509003,0.47,,,251208,,-81980.0,-92260,,1695288,2013年01月01日至2013年12月31日,,363348,591223,771983,822158,1121041,-506485,51178191,54861313,3683122,3683122,2562081,41608,,-17046.0,825185,363348,614556,,71284.0,,999831,,-408635,-230935
2014-05-07,1,2014,,,-68204,15711,56981,,56746,,190381,0.07,,,75883,,-35127.0,-94221,,494429,2014年01月01日至2014年03月31日,,38470,95216,119517,161585,362914,-248561,13656114,14739344,1083230,1083230,720316,9688,,,216199,38470,114353,,30304.0,,227032,,-81047,-66369
2014-08-06,2,2014,,,-92808,139742,51995,,-98415,,-231393,0.21,,,115629,,189140.0,-33036,,487435,2014年第2季,,268871,170456,331583,249195,462415,-77915,13877604,15027214,1149610,1149610,687195,9197,,,190563,268871,384500,,-36646.0,,236616,,-62712,-78739
2014-11-10,3,2014,,,45059,-4636,168442,,136665,,256816,0.2,,,88194,,-123169.0,178648,,527366,2014年第3季,,276602,413267,356301,484138,232189,132607,14439172,15481504,1042332,1042332,810143,9906,,,272871,276602,364796,,42041.0,,209847,,-79699,-70871
2015-03-24,4,2014,,,-151017,434377,323676,,276020,,658751,0.74,,,419284,,-137863.0,64601,,2039057,2014年度,,941034,1217054,1238852,1498222,1442003,-81685,56131236,60567319,4436083,4436083,2994080,74538,,21768.0,880485,941034,1360318,,115619.0,,904339,,-297818,-281168
2015-05-05,1,2015,,,235299,-246019,124745,,196677,,-170418,0.2,,196677.0,44534,,,-116106,87534.0,555312,2015年第1季,,37917,234594,337831,532766,522616,-440165,12665852,13987399,1321547,1321547,798931,20579,,,223040,37917,82451,,,-44262.0,202785,,-299914,-298172
2015-08-06,2,2015,,0.0,-8550,22163,194873,0.0,-151829,,-137086,-0.16,0.0,-151829.0,33688,,,-402732,-21604.0,497664,2015年第2季,0.0,-367598,-519427,-269005,-417436,59012,-392922,12374119,13170093,795974,795974,736962,19713,,,219585,-367598,-333910,,,-15411.0,207226,13170093.0,-98593,-101991
2015-11-09,3,2015,,,-12734,4767,40879,,449527,,422313,-0.26,,449527.0,-63231,,,-529344,107505.0,432232,2015年第3季,,-588660,-139133,-444824,-5639,67945,-719836,11439271,12199098,759827,759827,691882,24795,,,234855,-588660,-651891,,,67557.0,236138,12199098.0,-143836,-133494
2016-03-21,4,2015,-80760.0,,223374,-336830,394702,,190111,46080342.0,-108159,-0.56,,270871.0,18122,-23220.0,,-1665345,126291.0,1866832,2015年度,,-1614837,-1424726,-953786,-761465,861677,-2458392,46080342,49784834,3704492,3704492,2842815,85142,-66341.0,,890841,-1614837,-1596715,-8801.0,,-29365.0,850919,49784834.0,-661051,-663261
2016-05-10,1,2016,,,-2700,-43149,138498,,-194614,,-179819,0.14,,-194614.0,118154,,,-196740,-41181.0,420209,2016年01月01日至2016年03月31日,,205151,10537,247330,56136,630599,-307294,9803977,11114647,1310670,1310670,680071,23738,,,236124,205151,323305,,,-29086.0,205903,,-42179,-45599
2016-08-03,2,2016,,,-1575,-9180,71087,,-222597,,-253087,0.6,,-222597.0,373728,,,187694,-14271.0,531655,2016年第2季,,1026910,804313,1028132,805242,1364071,36567,10843803,13013318,2169515,2169515,805444,25587,,,248202,1026910,1400638,,,-46336.0,213034,,-1222,-929
2016-11-03,3,2016,,,-1350,-87710,24513,,-388300,,-378436,0.31,,-388300.0,219416,,,75686,-81299.0,596512,2016年第3季,,494296,105996,534711,152407,894823,-181111,11930360,13659964,1729604,1729604,834781,25766,,,212503,494296,713712,,,-72785.0,193600,,-40415,-46411
