date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,工程收入淨額,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產重分類淨損益,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1287.0,,0.0,8349,4053,970.0,6831,82364,3083.0,3316.0,73444,-0.04,-0.04,9328.0,0.0,0.0,,,5625,8920.0,2025.0,-2025.0,52799,2013年01月01日至2013年03月31日,,-24986,57378,-7941,46591,0.0,-26422,7061,612523,704948,92425,92425,125678,14382,,,-0.04,-0.04,58497,-24986,-19361,,,833.0,0.0,1739.0,3316,2880.0,,704948.0,,-17045,10787
2013-08-12,2,2013,,,,,-7749,15665,15665.0,5073,37710,,,16327,0.3,,,,,0.0,,11110,21383.0,,-1023.0,65742,2013年04月01日至2013年06月30日,0.0,62010,99720,56490,80318,,69249,3871,731735,934307,202572,202572,138396,17973,,,0.3,,54681,62010,73120,,,,,,3022,,,,,5520,19402
2013-11-12,3,2013,,,,,-8082,5994,5994.0,5042,-27445,,,-27445,0.33,,,,,0.0,,19845,0.0,,-2146.0,69573,2013年07月01日至2013年09月30日,0.0,79166,51721,62988,43972,,106293,-7282,758475,1002072,243597,243597,142346,16852,,,0.33,,55921,79166,99011,,,,,,3048,,,,,16178,7749
2014-03-27,4,2013,,,0.0,,-16217,33689,,21520,150484,,,137029,0.75,,,,,0.0,,49047,731.0,,-9460.0,250149,2013年01月01日至2013年12月31日,0.0,154094,304578,142588,243684,,207536,-4395,2764174,3502527,738353,738353,552337,68894,,15330.0,,,233294,154094,203141,,2606.0,,,,12407,,,,,11506,60894
2014-05-13,1,2014,,,0.0,0.0,-1007,10778,,3625,1538,,,1538,0.11,0.11,,,,0.0,,11467,,,-1916.0,56525,2014年01月01日至2014年03月31日,0.0,12307,13845,21179,27037,,20433,3341,629724,771522,141798,141798,124990,14251,,,0.11,0.11,54214,12307,23774,,,,,,4514,,0.0,,0.0,-8872,-13192
2014-08-12,2,2014,,,0.0,0.0,-16078,14228,,913,-52813,,,-52813,0.28,0.28,,,,0.0,,12431,,,-1637.0,68965,2014年第2季,0.0,67002,14189,52934,16521,,86274,-6841,706281,936895,230614,230614,145253,19533,,,0.28,0.28,56755,67002,79433,,,,,,3354,,0.0,,0.0,14068,-2332
2014-11-12,3,2014,,,,,7693,7810,,-291,68112,,,68112,0.28,0.28,,,,,,23311,,,0.0,71870,2014年第3季,,64134,132246,52781,98028,,74373,13072,800470,1029213,228743,228743,154079,20538,,,0.28,0.28,61671,64134,87445,,,,,,2431,,,,,11353,34218
2015-03-27,4,2014,,,,,-12838,51839,,4001,126712,,,119819,0.87,0.87,,,,,,47468,0.0,,-3843.0,266402,2014年度,,174760,301472,164504,257999,,199078,23150,2796247,3578567,782320,782320,587243,72365,,8277.0,0.86,0.86,248476,174760,222228,,1384.0,,,,12008,,,,,10256,43473
2015-05-12,1,2015,,,,,-5788,9148,,-38,-32122,,,-32122,0.15,,,,,,-32122.0,8745,,,0.0,56447,2015年01月01日至2015年03月31日,,15679,-16443,27993,5806,,24545,-121,522366,670495,148129,148129,123546,13120,,,0.15,,53979,15679,24424,,,,,,3481,,,,,-12314,-22249
2015-08-12,2,2015,,,,,-9707,9639,,-979,-41492,,,-41492,0.06,,,,,,-41492.0,12724,,,0.0,66453,2015年第2季,,9100,-32392,12080,-16981,,23998,-2174,589847,755490,165643,165643,140666,16673,,,0.06,,57540,9100,21824,,,,,,2106,,,,,-2980,-15411
2015-11-11,3,2015,,,,,14696,13367,,-303,141644,,,141644,0.12,0.12,,,,,141644.0,3279,,,0.0,60816,2015年第3季,,22400,164044,22889,128512,,1495,24184,562643,701090,138447,138447,136649,15513,,,0.12,0.12,60320,22400,25679,,,,,,3879,,,,,-489,35532
