date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入合計,投資收入（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入退回及折讓,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,0.0,539366,,902,32615,5825,57668,681093,140465,-0.01,-0.01,0.0,,4043,6412.0,6412.0,,6412.0,,,7667,,4639,2013年01月01日至2013年03月31日,0.0,-6802,674291,,-7198,673806,2888381,3057863,2888381.0,3058163.0,300.0,3057863,34528,-37287,2916163,3186827,270664,270664,236136,1262.0,,,,21957,64884,-0.01,-0.01,231497,-6802,-2759,,,,,78471,,396,485.0
2013-08-12,2,2013,,,,-466666,,-13423,111745,35088,56921,-656256,-191205,-0.08,,,,84961,34093.0,34093.0,,34093.0,,,87822,,9842,2013年04月01日至2013年06月30日,,-63164,-719420,,-65080,-730249,3771179,3820046,3771179.0,3820046.0,0.0,3820046,-79149,100946,3839744,3979357,139613,139613,218762,1615.0,,,,33477,68297,-0.08,,208920,-63164,21797,,,,,85198,,1916,10829.0
2013-11-12,3,2013,,,,371109,,-199,16533,4674,58286,247696,-121423,0.36,,,,14990,5337.0,5337.0,,5337.0,,,119875,,13098,2013年07月01日至2013年09月30日,,313908,561604,,300145,557359,3837107,4198484,3837107.0,4198484.0,0.0,4198484,278644,50254,3864360,4329179,464819,464819,186175,-1990.0,,,,22579,67072,0.36,,173077,313908,328898,,,,,85955,,13763,4245.0
2014-03-25,4,2013,,,,478457,,-13261,167994,50347,184414,379473,-114713,1.09,,,,186379,34220.0,34220.0,,34220.0,,374358.0,374358,,175203,2013年01月01日至2013年12月31日,,938609,1318082,,920401,1300336,15871187,17495562,15871187.0,17495862.0,300.0,17495562,923391,201597,16034508,17982464,1947956,1947956,1024565,457.0,,,18400.0,112974,268268,1.09,,849362,938609,1124988,,3128.0,,,327494,,18208,17746.0
2014-05-14,1,2014,,,0.0,-537023,,-2202,9303,6148,57538,-383294,152525,-0.12,,0.0,,8241,,,,,,,-96622,,27957,2014年01月01日至2014年03月31日,0.0,-97024,-480318,,-101888,-485307,3881145,4122644,3881145.0,4122644.0,0.0,4122644,70107,-158890,3908196,4245917,337721,337721,267614,1204.0,,,,20903,65735,,,239657,-97024,-88783,,0.0,,,69369,,4864,4989.0
2014-08-14,2,2014,,,,-188047,,2038,100513,5891,56940,-276047,-86827,1.04,,,,161633,,,,,,,48635,,152724,2014年第2季,,879163,603116,,877079,601012,5395592,6660393,5395592.0,6660393.0,0.0,6660393,954618,86178,5433535,6785488,1351953,1351953,397335,-1173.0,,,,32052,68155,1.04,,244611,879163,1040796,,,,,65008,,2084,2104.0
2014-11-13,3,2014,,,,-157919,,8795,15922,5837,51518,-125299,28528,0.35,,,,15325,,,,,,,121756,,65934,2014年第3季,,312753,187454,,311767,186445,4066430,4560457,4066430.0,4560457.0,0.0,4560457,224727,103351,4093409,4681343,587934,587934,363207,4092.0,,,,21142,69368,0.35,,297273,312753,328078,,,,,43122,,986,1009.0
2015-03-26,4,2014,,,,1122922,,-2242219,350091,22839,220746,1331476,205231,-1.11,,,,151068,,,,,,-202937.0,-202937,,346012,2014年度,,-976276,355200,,-979878,352298,18015081,20738703,18015081.0,20738703.0,0.0,20738703,1497454,-2322662,18138447,21227405,3088958,3088958,1591504,19116.0,,,-19028.0,100527,267956,0.0,,1245492,-976276,-825208,,-3235.0,,,227597,,3602,2902.0
2015-05-14,1,2015,0.0,0.0,,601896,,-24880,14244,5350,59515,556406,-2274,0.51,,,556406.0,78061,,,0.0,,0.0,,8352,-40579.0,19451,2015年第1季,,450222,1006628,0.0,454233,1012651,7138727,7907435,7138727.0,7907435.0,,7907435,580197,-51914,7167794,8027703,859909,859909,279712,,-2637.0,0.0,,23717,60753,,,260261,450222,528283,0.0,,,0.0,49630,0.0,-4011,-6023.0
2015-08-07,2,2015,0.0,0.0,,1713042,,-28379,92378,5519,59611,1595765,-70886,-0.04,,,1595765.0,13838,,,0.0,,0.0,,2477,-38474.0,25589,2015年第2季,,-31677,1564088,0.0,-36607,1560210,4090658,4276314,4090658.0,4276314.0,,4276314,-27821,9982,4129886,4399079,269193,269193,297014,,-7917.0,0.0,,33709,63154,,,271425,-31677,-17839,0.0,,,0.0,56494,0.0,4930,3878.0
