date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,139,7913,9575,24849,21337,49574,3512,41661,0.26,0.26,12151.0,0.0,,22945,1421,525,20576,2013年01月01日至2013年03月31日,63101,112675,60104,99818,51622,34424,782751,919272,136521,136521,84899,16193,,,0.26,0.26,48130,63101,86046,,,,,1218.0,,1219.0,,781330,918747,918747,2997,12857
2013-08-07,2,2013,,1311,-1112,5659,24213,19272,18726,4941,19838,0.3,0.3,6846.0,0.0,,34557,2149,2114,21325,2013年04月01日至2013年06月30日,77549,96275,68558,82124,82234,29872,827435,988605,161170,161170,78936,13725,,,0.3,0.3,43886,77549,112106,,,,,326.0,706.0,0.0,256.0,825286,986491,986491,8991,14151
2013-11-06,3,2013,,2242,18621,226,29263,20924,4467,6118,-14154,0.41,0.41,1177.0,0.0,,23804,3603,7289,25698,2013年07月01日至2013年09月30日,103847,108314,93292,97045,98162,29489,788614,968835,180221,180221,82059,14298,,,0.41,0.41,42063,103847,127651,2221.0,,,,589.0,2141.0,,261.0,785011,961546,961546,10555,11269
2014-03-26,4,2013,,7139,55675,24235,214624,191313,127478,21090,75853,1.52,1.52,29472.0,0.0,,137659,30978,37458,91595,2013年01月01日至2013年12月31日,393796,521274,345245,438082,292596,238859,3249125,3876161,627036,627036,334440,62430,,-4880.0,1.5,1.5,180415,393796,531455,2221.0,,-830.0,0.0,1884.0,4652.0,,866.0,3218147,3838703,3838703,48551,83192
2014-05-07,1,2014,,2762,-9799,8849,29180,20890,-10874,8290,-1075,0.26,0.26,10181.0,,,23507,2160,14474,26889,2014年01月01日至2014年03月31日,72411,61537,58200,52272,57889,38029,773388,915301,141913,141913,84024,15186,,,0.25,0.25,41949,72411,95918,,,,,,1430.0,0.0,,771228,900827,900827,14211,9265
2014-08-06,2,2014,,2302,2026,-7832,31372,19449,-30146,11923,-32172,0.15,0.15,0.0,11109.0,,39001,2724,6656,24234,2014年第2季,47604,17458,34395,10413,63065,23540,800695,946455,145760,145760,82695,14118,,,0.15,0.15,44343,47604,86605,,,,,,5579.0,,,797971,939799,939799,13209,7045
2014-11-12,3,2014,,2090,-8965,-7265,28865,18439,32281,9101,41246,0.33,0.33,,10956.0,,22440,1550,2288,10587,2014年第3季,82838,115119,75985,103599,83678,21600,793455,965738,172283,172283,88605,18496,,,0.33,0.33,59522,82838,105278,1325.0,,,,,5781.0,,,791905,963450,963450,6853,11520
2015-03-25,4,2014,,5139,-2728,5751,118072,78842,62591,37900,70394,1.01,1.01,645.0,,,99503,30651,36460,101372,2014年度,265157,327748,231047,282751,240837,123823,3294620,3882822,588202,588202,347365,56637,,-6114.0,1.01,1.01,189356,265157,364660,1330.0,,-1039.0,,4946.0,15191.0,,,3263969,3846362,3846362,34110,44997
2015-05-05,1,2015,,1176,7660,-54696,29027,19912,-12149,9115,-19809,0.02,0.02,,48327.0,-12149.0,11537,0,0,26404,2015年01月01日至2015年03月31日,10583,-1566,3636,-4938,47789,-25669,757723,886027,128304,128304,80515,12080,,,0.02,0.02,42031,10583,22120,,,,,,1904.0,,7097.0,757723,886027,886027,6947,3372
2015-08-12,2,2015,,1184,3956,16204,33159,22917,-21751,10242,-25707,0.24,0.24,,-6274.0,-21751.0,24394,4216,7534,26405,2015年第2季,63616,41865,54873,29207,38647,49363,774134,905987,131853,131853,93206,14457,,,0.24,0.24,52344,63616,88010,,,,,,11153.0,,39.0,769918,898453,898453,8743,12658
