date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,11250,25703,83,,,16970,83.0,4889.0,5985,0.05,0.05,23527,10861,,3356,,90908,2013年01月01日至2013年03月31日,12602,29572,13000,29748,23527,10861,-4939,20897,773773,909142,135369,135369,140308,-265.0,,25938,,,0.05,0.05,23462,12602,15958,,,4889,,,750246,898281,,-398,-176
2013-08-07,2,2013,,,-8400,1696,366,,,-3865,366.0,4466.0,4270,0.07,0.07,18784,14099,,5380,,146744,2013年04月01日至2013年06月30日,19287,15422,19357,15411,18784,14099,27071,-2404,1059115,1278953,219838,219838,192767,265.0,,22628,,,0.07,0.07,23395,19287,24667,,,4466,,,1040331,1264854,,-70,11
2013-11-08,3,2013,,,14275,-1322,71,,,12149,71.0,4568.0,-2126,0.21,0.21,44800,44360,,14838,,70397,2013年07月01日至2013年09月30日,54502,66651,53512,65692,44800,44360,75159,-5819,808172,991276,183104,183104,107945,,,17684,,,0.21,0.21,19864,54502,69340,,,4568,,,763372,946916,,990,959
2014-03-21,4,2013,,-19307.0,11100,25867,16332,16332.0,,31778,,17923.0,11921,0.44,0.44,179006,164943,,28909,,387588,2013年01月01日至2013年12月31日,115444,147222,114480,145901,179006,164943,120077,24276,3750646,4450349,699703,699703,579626,,,90161,,10551.0,0.44,0.44,101877,115444,144353,,1794.0,17923,6560.0,,3571640,4285406,,964,1321
2014-05-12,1,2014,,-2236.0,-10075,6394,981,,,-6075,981.0,3897.0,3158,0.17,0.17,62935,62470,,10861,-1812.0,124831,2014年01月01日至2014年03月31日,43106,37031,43148,37004,62935,62470,52301,1666,726820,949118,222298,222298,169997,842.0,,19424,,,0.17,0.17,25742,43106,53967,,,3897,4158.0,,663885,886648,,-42,27
2014-08-11,2,2014,,-1187.0,6425,779,552,,,644,,4728.0,-4939,0.05,0.05,54913,55146,,3182,-6575.0,79449,2014年第2季,14493,15137,13829,14586,54913,55146,27647,-9972,873254,1023929,150675,150675,123028,-842.0,,17939,,,0.05,0.05,25640,14493,17675,,,4728,-408.0,,818341,968783,,664,551
2014-11-03,3,2014,,,-2225,-4019,1470,,,2463,,4137.0,4718,0.23,0.23,54962,57178,,15404,-6291.0,121614,2014年第3季,60292,62755,59642,61989,54962,57178,88673,-12977,1007795,1271654,263859,263859,175186,-30.0,,23445,,,0.23,0.23,30127,60292,75696,,,4137,,,952833,1214476,,650,766
2015-03-20,4,2014,,,-10200,26195,13867,,2317.0,-2486,,17851.0,18661,1.0,1.0,411331,415958,,64198,-23916.0,442990,2014年度,261462,258976,259912,258043,411331,415958,327365,-1705,4144642,5123371,978729,978729,651364,366.0,,90505,,-13630.0,0.99,0.99,117869,261462,325660,,,17851,,,3733311,4707413,,1550,933
2015-05-08,1,2015,,,525,-421,321,,,-8380,,5251.0,-8751,-0.01,-0.01,197369,198646,-8380.0,17899,-8840.0,77283,2015年01月01日至2015年03月31日,-2906,-11286,-2970,-11258,197369,198646,29184,-14191,867630,1026516,158886,158886,129702,,-154.0,23565,,,-0.01,-0.01,28854,-2906,14993,,,5251,,,670261,827870,,64,-28
2015-08-07,2,2015,,,-6250,-336,278,,,-9093,,4215.0,-2999,0.43,0.43,239083,245171,-9093.0,31957,-10806.0,69621,2015年第2季,112286,103193,112268,103233,239083,245171,159322,-15079,1040362,1339962,299600,299600,140278,,156.0,33432,,,0.43,0.43,37225,112286,144243,,,4215,,,801279,1094791,,18,-40
2015-11-09,3,2015,,,-12875,31991,1165,,,-3531,,4770.0,7858,0.16,0.16,219049,223357,-3531.0,14028,-7383.0,118107,2015年第3季,41387,37856,41347,37670,219049,223357,34412,21003,1072144,1276948,204804,204804,170392,,1486.0,25080,,,0.16,0.16,27205,41387,55415,,,4770,,,853095,1053591,,40,186
2016-03-21,4,2015,-34919.0,,-12180,40157,18884,,,-60924,,,-13889,0.86,0.86,882911,903444,-26005.0,73745,-53244.0,462396,2015年度,225265,164341,225257,164545,882911,903444,323077,-24067,4694034,5715358,1021324,1021324,698247,,64.0,109179,-42071.0,,0.86,0.86,126672,225265,299010,-7152.0,,29864,,,3811123,4811914,,8,-204
2016-05-09,1,2016,,,20860,-8940,3822,,,18270,,,-1856,-0.13,-0.13,83487,80096,18270.0,-2255,-22955.0,143598,2016年01月01日至2016年03月31日,-35073,-16803,-33963,-15683,83487,80096,-1860,-35468,847666,1035936,188270,188270,190130,,-734.0,19207,,,,,27325,-35073,-37328,,,7395,,,764179,955840,,-1110,-1120
2016-08-05,2,2016,,,-4155,4496,3790,,,-11079,,,-7229,0.64,0.64,148288,122060,-11079.0,24305,-7185.0,111358,2016年第2季,166524,155445,166986,156033,148288,122060,196985,-6156,1576740,1939607,362867,362867,165882,,305.0,21830,,,0.64,0.64,32694,166524,190829,,,7257,,,1428452,1817547,,-462,-588
2016-11-04,3,2016,,,21570,82143,5221,,,12820,,,-8749,0.44,0.44,208480,184416,12820.0,27691,-19249.0,90492,2016年第3季,114438,127258,114734,127683,208480,184416,80450,61679,1162338,1391330,228992,228992,148542,,-1.0,25552,,,0.44,0.44,32498,114438,142129,,,6436,,0.0,953858,1206914,0.0,-296,-425
