date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,13605,36762,39069,1023623,1002647,0.63,0.63,,234608,,21702.0,18431,,1893844,2013年01月01日至2013年03月31日,1040260,2063883,1039983,2063622,1380239,-105371,82347642,86563382,4215740,4215740,2835501,,,0.63,0.63,941657,1040260,1274868,,14331.0,,199633,277,261
2013-08-13,2,2013,,21624,141271,72571,222662,209631,0.83,0.83,,324715,,-7245,-221,,2134367,2013年04月01日至2013年06月30日,1378073,1600735,1377398,1598248,1688647,14141,95841038,100651207,4810169,4810169,3121522,,,0.83,0.83,987155,1378073,1702788,,1348,,199480,675,2487
2013-11-12,3,2013,,79237,18303,32702,-523433,-605907,0.81,0.81,,266155,,-3386.0,9050,,2048015,2013年07月01日至2013年09月30日,1334858,811425,1333663,811023,1778573,-177560,102749168,107756563,5007395,5007395,3228822,,,0.81,0.81,1180807,1334858,1601013,,-6623.0,,237615,1195,402
2014-03-25,4,2013,,53277,217550,161390,1057428,960699,2.87,2.87,,1046653,,13203.0,38257,,8091641,2013年01月01日至2013年12月31日,4759732,5817160,4756306,5812296,6289408,-483023,387717718,406256031,18538313,18538313,12248905,,54815.0,2.87,2.87,4157264,4759732,5806385,,24566.0,,900220,3426,4864
2014-05-13,1,2014,,-63486,69342,33239,969865,1040501,0.84,0.84,,336642,,2177,2092,,1928453,2014年01月01日至2014年03月31日,1395543,2365408,1396047,2364602,1908738,-176553,97534464,102341579,4807115,4807115,2898377,,,0.84,0.84,969924,1395543,1732185,,9327,,281226,-504,806
2014-08-12,2,2014,,4990,-28632,42659,-976616,-985693,0.91,0.91,,367652,,-4746.0,5871,,2101928,2014年第2季,1512079,535463,1510537,535002,2155021,-275290,108399767,113705833,5306066,5306066,3151045,,,0.91,0.91,1049117,1512079,1879731,,-8833.0,,295188,1542,461
2014-11-11,3,2014,,-4661,-10038,73652,886896,898687,0.94,0.94,,298401,,1468.0,-188,,2022868,2014年第3季,1558060,2444956,1554723,2440580,2097939,-241478,114036280,119348828,5312548,5312548,3214609,,,0.89,0.89,1191741,1558060,1856461,,8598.0,,304904,3337,4376
2015-03-30,4,2014,,-14365,128476,220250,2947614,2964449,3.51,3.51,,1292242,,2618,30401,,8540822,2014年度,5812513,8760127,5807176,8753315,7939859,-835104,431988193,452471998,20483805,20483805,12543946,,29054,3.39,3.39,4003124,5812513,7104755,,34142,,1214231,5337,6812
2015-05-12,1,2015,,225,18861,66844,-617188,-619069,0.84,0.84,-617188.0,355690,,,6457,-5706.0,1782181,2015年第1季,1399045,781857,1397221,780578,2000288,-245553,103199774,108014005,4814231,4814231,2813943,,,0.78,0.78,1031762,1399045,1754735,,,-7362.0,337715,1824,1279
2015-08-14,2,2015,,-60411,78929,25723,-934466,-884852,0.7,0.7,-934466.0,689771,,,4448,188.0,2157416,2015年第2季,1164380,229914,1160984,210185,2077731,-223580,119077895,124452633,5374738,5374738,3297007,,,0.65,0.65,1139591,1164380,1854151,,,-10609.0,332680,3396,19729
2015-11-10,3,2015,,-50388,-82078,45290,3375660,3455350,0.98,0.98,3375660.0,341089,,,14480,8666.0,2158679,2015年第3季,1617897,4993557,1617130,4949086,2341695,-382709,134786761,140469149,5682388,5682388,3340693,,,0.9,0.9,1182014,1617897,1958986,,,37968.0,360401,767,44471
2016-03-29,4,2015,-138364.0,-95986,-152836,274780,1472670,1720216,3.27,3.27,1611034.0,1717511,,,25288,-911.0,8110873,2015年度,5435932,6908602,5420469,6853829,8474115,-1320672,494086240,515536489,21450249,21450249,12976134,-166704.0,,3.04,3.04,4865261,5435932,7153443,-28340.0,,12285.0,1467904,15463,54773
2016-05-10,1,2016,,23965,126772,73108,-1272553,-1306622,0.94,0.94,-1272553.0,342148,,,4981,1091.0,1982702,2016年01月01日至2016年03月31日,1560371,287818,1555052,283993,2095420,-192901,116361138,121532749,5171611,5171611,3076191,,,0.87,0.87,1093489,1560371,1902519,,,-9013.0,397762,5319,3825
2016-08-09,2,2016,,-11795,-128544,112486,-25860,-27388,0.94,0.94,-25860.0,473114,,,9035,723.0,2360063,2016年第2季,1557531,1531671,1552966,1544591,2398155,-367510,128040107,133759319,5719212,5719212,3321057,,,0.87,0.87,960994,1557531,2030645,,,-12600.0,360487,4565,-12920
2016-11-08,3,2016,-36.0,-1041,-1036,88568,-1860856,-1871905,1.12,1.12,-1860820.0,397847,-36.0,,8284,-6628.0,2303747,2016年第3季,1873198,12342,1867350,-6153,2555099,-284054,136327859,142258767,5930908,5930908,3375809,0.0,,1.03,1.03,1072062,1873198,2271045,0.0,,-18754.0,379870,5848,18495
