date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,海運收入（海陸運輸業適用）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,處分無形資產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,運輸收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,7709,85987,28774,27132,254900,1642,59346,297115,89903,258013,0.24,40257,,,,16640,2013年01月01日至2013年03月31日,88645,343545,88645,343545,207212,49870,55415,990654,1098258,107604,107604,57734,,,801143,0.23,88645,105285,,3113.0,,0,,876,,,59346,52563,,207212,,
2013-08-09,2,2013,,2939,47417,27442,25778,62314,1664,58081,363080,58593,61112,0.15,14907,0.0,,,5363,2013年04月01日至2013年06月30日,60305,122619,60305,122619,304487,48890,16778,1028451,1122039,93588,93588,44698,,,758959,0.15,60305,65668,,-1202.0,,0,,5347,,,58081,30102,0.0,304487,0.0,0.0
2013-11-07,3,2013,,3038,-17430,64244,63034,-154453,1210,59259,366689,61818,-150957,0.18,0,18282.0,,,14818,2013年07月01日至2013年09月30日,70802,-83651,70802,-83651,304871,98065,-12445,1023135,1172936,149801,149801,51736,,,806247,0.18,70802,85620,,3496.0,,0,,660,,,59259,3230,0.0,304871,0.0,0.0
2014-03-25,4,2013,,14869,179138,143060,137111,244513,5949,234887,1510484,172514,248513,0.89,69507,,0.0,,70783,2013年01月01日至2013年12月31日,353438,597951,353600,598113,1337970,336910,87311,4118783,4657687,538904,538904,201994,,1647.0,3147203,0.89,353438,424221,,5647.0,,22964,,6883,,0.0,234887,94653,,1337970,-162.0,-162.0
2014-04-30,1,2014,,3084,194539,22126,20792,228476,1334,61479,300396,21179,228254,0.22,8839,,,,18025,2014年01月01日至2014年03月31日,88055,316531,88080,316556,279217,-49106,155186,1052473,1065881,13408,13408,62514,,,765485,0.22,88055,106080,,-222.0,,188209,,41,,,61479,534,,279217,-25.0,-25.0
2014-08-11,2,2014,,1589,1217,36203,34601,-206500,1602,71608,282243,4826,-207422,-0.04,0,8381.0,,,22344,2014年第2季,-15559,-222059,-15445,-221945,277417,40973,-34188,978344,1062877,84533,84533,43560,,,780634,-0.04,-15559,6785,,-922.0,,10044,,105,,,71608,1038,,277417,-114.0,-114.0
2014-11-06,3,2014,,1907,44485,19487,18641,189028,846,60238,286926,69860,189826,0.15,14734,0.0,,,12919,2014年第3季,59449,248477,59940,248968,217066,68634,3734,1003794,1118693,114899,114899,46265,,,831767,0.15,59449,72368,,798.0,,30788,,0,725.0,,60238,1595,,217066,-491.0,-491.0
2015-03-26,4,2014,,12368,291326,113636,108712,631069,4924,253135,1188583,148367,632889,0.56,43957,,,,68327,2014年度,223521,854590,224974,856043,1040216,140021,151827,4118882,4471203,352321,352321,212300,,-312.0,3282620,0.56,223521,291848,,1508.0,,255897,,0,566.0,,253135,4406,,1040216,-1453.0,-1453.0
2015-05-14,1,2015,,4669,14429,17606,17066,-123851,540,67508,279714,73510,-124532,0.05,1091,,,-123851.0,892,2015年01月01日至2015年03月31日,19627,-104224,20020,-103831,206204,55992,-35473,1050102,1176793,126691,126691,70699,,,897079,0.05,19627,20519,,,-681.0,17409,,156,,,67508,442,,206204,-393.0,-393.0
2015-08-11,2,2015,,1222,26834,35980,34610,-158566,1370,70573,252425,66596,-159232,-0.09,9806,0.0,,-158566.0,55567,2015年第2季,-36247,-194813,-35119,-193685,185829,27079,-7759,1034320,1111036,76716,76716,49637,,,858611,0.0,-36247,19320,,,-666.0,18508,190.0,101,,,70573,0,169.0,185829,-1128.0,-1128.0
