date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額
2013-05-03,1,2013,-28.0,2508,1254,,-278,1254,1085,-278,1.17,5515,,,14745,25531,2013年01月01日至2013年03月31日,,104189,103911,104189,103911,116257,2677,664929,921424,256495,256495,140238,14745.0,81885,1.16,32822,104189,118934,,757.0,1085,0,2278,1254,664929,664929,921424,921424,921424
2013-08-07,2,2013,-65.0,715,1688,,-200,1688,967,-200,1.07,1027,0.0,,38513,25925,2013年04月01日至2013年06月30日,,94808,94608,94808,94608,131885,1436,655554,925968,270414,270414,138529,38513.0,82347,1.05,30257,94808,133321,,0.0,967,0,377,1688,655554,655554,925968,925968,925968
2013-11-06,3,2013,-344.0,-713,1166,,-21,1166,682,-21,1.11,-51,2278.0,,13150,25899,2013年07月01日至2013年09月30日,,98774,98753,98774,98753,112153,-229,619884,879246,259362,259362,147209,13150.0,86879,1.1,34431,98774,111924,,0.0,682,916,-356,1166,619884,619884,879246,879246,879246
2014-03-05,4,2013,-510.0,3266,5555,,-767,5555,3213,-767,4.62,11396,5909.0,,81836,98545,2013年01月01日至2013年12月31日,,410847,410080,410847,410080,487075,5608,2559294,3611587,1052293,1052293,565218,81836.0,336817,4.54,129856,410847,492683,0.0,757.0,3213,1476,3450,5555,2559294,2559294,3611587,3611587,3611587
2014-04-30,1,2014,-72.0,1956,1309,,179,1309,418,179,0.73,4090,620.0,,9488,20323,2014年01月01日至2014年03月31日,,65001,65180,65001,65180,71642,2847,581965,774476,192511,192511,120869,9488.0,68944,0.72,31602,65001,74489,,0.0,418,-25,1561,1309,581965,581965,774476,774476,774476
2014-08-06,2,2014,290.0,-1421,1534,,-20,1534,404,-20,0.68,-313,1623.0,,10128,22033,2014年第2季,,60382,60362,60382,60362,70801,-291,600812,806255,205443,205443,134642,10128.0,77427,0.67,35182,60382,70510,0.0,0.0,404,407,-398,1534,600812,600812,806255,806255,806255
2014-11-12,3,2014,-20.0,1310,1288,,-244,1288,1008,-244,0.84,2715,126.0,,11189,25285,2014年第3季,,78020,77776,78020,77776,87619,1590,627123,857293,230170,230170,142551,11189.0,81987,0.83,35279,78020,89209,144.0,0.0,1008,-132,1311,1288,627123,627123,857293,857293,857293
2015-03-04,4,2014,,5756,5730,351.0,-292,5379,3413,-292,3.25,14160,4554.0,,45165,93505,2014年度,,303844,303552,303844,303552,340936,8073,2451974,3330925,878951,878951,538015,45165.0,307915,3.18,136595,303844,349009,144.0,0.0,3413,249,4243,5379,2451974,2451974,3330925,3330925,3330925
2015-05-06,1,2015,,-1141,1718,605.0,-54,1113,1263,-54,0.86,632,2278.0,-54.0,12087,28646,2015年01月01日至2015年03月31日,12087.0,80651,80597,80651,80597,93424,-686,608031,847394,239363,239363,145939,,77867,0.85,39426,80651,92738,,,1263,478,-27,1113,608031,608031,847394,847394,847394
2015-08-05,2,2015,0.0,-1976,2003,766.0,-126,1237,1079,-126,0.67,958,3636.0,-126.0,10046,27935,2015年第2季,10046.0,62980,62854,62980,62854,74078,-1052,612680,837675,224995,224995,150917,,83829,0.66,39153,62980,73026,,,1079,873,171,1237,612680,612680,837675,837675,837675
2015-11-11,3,2015,0.0,3963,1754,531.0,326,1223,1490,326,0.71,10291,944.0,326.0,9455,24820,2015年第3季,9455.0,66332,66658,66332,66658,71560,4227,637743,845762,208019,208019,136459,,75217,0.7,36422,66332,75787,0.0,2014.0,1490,-40,3330,1223,637743,637743,845762,845762,845762
2016-03-09,4,2015,0,696,7317,2479,83,4838,5036,83,2.86,12879,8235,83,39859,106538,2015年度,39859,266955,267038,266955,267038,303837,2977,2499833,3378107,878274,878274,574437,,315048,2.79,152851,266955,306814,0,2319,5036,1324,2953,4838,2499833,2499833,3378107,3378107,3378107
2016-05-04,1,2016,,-1307,1545,517.0,146,1028,1070,146,0.59,2053,3815.0,146.0,6433,21735,2016年01月01日至2016年03月31日,6433.0,54911,55057,54911,55057,62176,-832,614691,817649,202958,202958,140782,,78145,0.58,40902,54911,61344,3306.0,2542.0,1070,0,309,1028,614691,614691,817649,817649,817649
2016-08-10,2,2016,0.0,2494,1300,375.0,265,925,839,265,0.82,2552,-269.0,265.0,9447,22869,2016年第2季,9447.0,76384,76649,76384,76649,82876,2955,675958,894662,218704,218704,135828,,74614,0.81,38345,76384,85831,0.0,111.0,839,59,275,925,675958,675958,894662,894662,894662
