date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,477,15105,3658,3658.0,5579,5102,2.85,2.85,0.0,,45014,,,-565,,96926,2013年01月01日至2013年03月31日,0.0,,194133,199712,193924,199503,221195,17952,545492,1004455,458963,458963,237768,45014.0,97870,,,2.81,2.81,42972,194133,239147,,0.0,,246,545492,545492,21177.0,1031275.0,1031275.0,1004455,5643.0,209,209
2013-08-12,2,2013,,-2889,10840,2504,,-1368,1521,3.06,3.06,0.0,,45127,,,-423,,116261,2013年04月01日至2013年06月30日,0.0,,217255,215887,215929,214561,249728,12654,580374,1071350,490976,490976,241248,45127.0,87588,,,3.01,3.01,37399,217255,262382,,,,267,580374,580374,14854.0,1094778.0,1094778.0,1071350,8574.0,1326,1326
2013-11-07,3,2013,,6,-3374,3888,,-3142,-3148,2.59,2.59,0.0,,43881,,,-572,,131351,2013年07月01日至2013年09月30日,0.0,,179352,176210,182882,179740,223505,-272,563749,1063467,499718,499718,276213,43881.0,104499,,,2.57,2.57,40363,179352,223233,,,,214,563749,563749,15902.0,1084526.0,1084526.0,1063467,5157.0,-3530,-3530
2014-03-27,4,2013,,-2363,30443,16944,,2959,5693,10.28,10.28,0.0,,155023,,,-2311,,452359,2013年01月01日至2013年12月31日,0.0,,714735,717694,724402,727361,828949,40809,2260537,4112916,1852379,1852379,1023430,155023.0,403706,,-447.0,10.15,10.15,167365,714735,869758,,-76.0,,4267,2260537,2260537,,,,4112916,,-9667,-9667
2014-04-24,1,2014,,440,14497,3864,3864.0,6247,5807,1.75,1.75,0.0,,17319,,,-588,,132708,2014年01月01日至2014年03月31日,0.0,,121159,127406,123458,129705,121788,16690,459954,862587,402633,402633,280845,17319.0,100090,,,1.74,1.74,48047,121159,138478,,,,1083,459954,459954,,,,862587,,-2299,-2299
2014-08-12,2,2014,,92,-11163,3500,3500.0,-5315,-5407,0.6,0.6,0.0,,5579,,,-597,,135922,2014年第2季,0.0,,42335,37020,44183,38868,57110,-9196,642619,1063280,420661,420661,363551,5579.0,160896,,,0.6,0.6,66733,42335,47914,,,,936,642619,642619,,,,1063280,,-1848,-1848
2014-11-03,3,2014,,-238,7985,9055,9055.0,4222,4460,1.93,1.93,,,21999,,,-343,,129840,2014年第3季,,,135035,139257,142428,146650,141209,15825,551979,980136,428157,428157,286948,21999.0,119853,,,1.91,1.91,37255,135035,157034,,,,872,551979,551979,,,,980136,,-7393,-7393
2015-05-06,1,2015,,495,-14554,4039,4039.0,-3536,-4031,1.06,1.06,0.0,-3536.0,14279,0.0,0.0,0,,127429,2015年01月01日至2015年03月31日,0.0,14279.0,72302,68766,78624,75088,97956,-11375,502106,901270,399164,399164,301208,,118032,,,1.05,1.05,55747,72302,86581,,,0.0,860,502106,502106,,,,901270,,-6322,-6322
2015-11-05,3,2015,,-91,47367,3215,3215.0,18644,18735,2.05,2.05,,18644.0,19730,,,0,,135582,2015年第3季,,19730.0,147346,165990,156951,174867,117357,49719,597698,1064145,466447,466447,349090,,155148,,,2.03,2.03,58360,147346,167076,,,,863,597698,597698,,,,1064145,,-9605,-8877
2015-11-05,3,2016,,0,-26708,4085,4085.0,-8722,-8513,1.37,1.37,,-8722.0,20415,,,-1844,-209.0,159340,2016年第3季,,20415.0,104817,96095,108438,99725,150720,-25488,652839,1177916,525077,525077,374357,,158087,,,1.35,1.35,56930,104817,125232,,,,1021,652839,652839,,,,1177916,,-3621,-3630
