date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估價之利益（損失）,重估增值,金融資產重分類淨損益,銷貨成本合計,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,,,-60626,40373,5787,,0,-60629,,,,,-3,0.05,0,,24,,,,,,,2013年01月01日至2013年03月31日,0,7854,-52775,,8745,-50448,-38282,46160,40389,44130,3741,3741,42023,,,27541,,,0.05,14482,7854,7878,,,,,0,,,0,,0,-891,-2327
2013-07-25,2,2013,,,0.0,4150,-385,5268,0.0,,4143,0.0,,0.0,,-7,-0.18,0.0,,0,,,0.0,0.0,,0.0,2013年04月01日至2013年06月30日,0.0,-29555,-25412,0.0,-28980,-24837,-34438,4883,47066,46760,-306,-306,34132,0.0,,21133,,0.0,-0.18,12999,-29555,-29555,,0.0,,0.0,0.0,0.0,,0.0,,0.0,-575,-575
2013-10-29,3,2013,,,,-14729,427,9899,0.0,0.0,-14705,,,,,24,-0.27,0.0,,0,,,,,,,2013年07月01日至2013年09月30日,0.0,-45379,-60084,,-43485,-58190,-55705,10326,28921,26158,-2763,-2763,52942,,,36419,,,-0.27,16523,-45379,-45379,,,,,0.0,,,,,,-1894,-1894
2014-02-27,4,2013,,,,-73199,22850,25266,,,-73068,,,,,-5,-1.12,0.0,,24,,,,,,,2013年01月01日至2013年12月31日,0.0,-192263,-265331,,-182964,-256032,-240355,48116,146379,144988,-1391,-1391,238964,,,176526,,136.0,-1.12,62438,-192263,-192239,,,,,0.0,,,,,,-9299,-9299
2014-04-24,1,2014,,,,1993,20,3737,,0.0,1932,,,,,-61,-0.21,0.0,,24,,,,,,,2014年01月01日至2014年03月31日,0.0,-39208,-37276,,-34828,-32896,-42941,3757,26618,27590,972,972,43913,,,27071,,,-0.21,16842,-39208,-39184,,,,,0.0,,,0.0,,0.0,-4380,-4380
2014-07-28,2,2014,,,0.0,13957,462,4180,0.0,,14015,0.0,,0.0,,58,-0.69,0.0,,0,,,0.0,0.0,,0.0,2014年第2季,0.0,-118210,-104195,0.0,-113020,-99005,-122852,4642,27596,27794,198,198,123050,0.0,,111795,,0.0,-0.69,11255,-118210,-118210,,0.0,,0.0,0.0,0.0,,0.0,,0.0,-5190,-5190
2014-10-27,3,2014,,,,-28910,-26474,12538,0.0,0.0,-28964,,,,,-54,-0.48,0.0,,0,,,,0.0,,,2014年第3季,0.0,-85747,-114711,,-77732,-106696,-71811,-13936,27168,28192,1024,1024,72835,,,42716,,,-0.48,30119,-85747,-85747,,,,,0.0,,,0.0,,0.0,-8015,-8015
2015-02-24,4,2014,,,,-2991,-28186,26626,0.0,0.0,-4331,,,,,-27,-1.97,0.0,,24,,,,0.0,,,2014年度,0.0,-347284,-351615,,-321702,-326033,-345700,-1560,88889,90732,1843,1843,347543,,,263380,,-1313.0,-1.97,84163,-347284,-347260,,,,,0.0,,,0.0,88889.0,0.0,-25582,-25582
2015-04-28,1,2015,0.0,0.0,,5982,-908,3564,0.0,,7932,,0.0,,0.0,1950,-0.43,,7932.0,-11,0.0,,,,0.0,,2015年01月01日至2015年03月31日,,-82303,-74371,0.0,-69838,-61906,-84970,2656,4347,4776,429,429,85399,,0.0,59954,0.0,,,25445,-82303,-82314,0.0,,0.0,,,,0.0,,,,-12465,-12465
2015-07-28,2,2015,,,,-20935,-71,5808,,,-20935,,,,,0,-0.36,,-20935.0,0,,,,,,,2015年第2季,,-66673,-87608,,-58922,-79857,-72410,5737,4977,5216,239,239,72649,,,46379,,,,26270,-66673,-66673,,,,,,,,,,,-7751,-7751
2015-11-10,3,2015,,,,-2991,-393,17320,0.0,,-2991,,,,,0,-0.22,0.0,-2991.0,2000,,,,0.0,,,2015年第3季,0.0,-44440,-47431,,-36236,-39227,-59367,16927,4767,5388,621,621,59988,,,42485,,,-0.22,17503,-44440,-42440,,,,,0.0,,,0.0,,0.0,-8204,-8204
2016-02-24,4,2015,,1553.0,,-22928,-2699,31976,0.0,,-19425,,,,,1950,-1.24,0.0,-20978.0,4989,,,,0.0,,,2015年度,0.0,-242162,-261587,,-203500,-222925,-266450,29277,18274,20978,2704,2704,269154,,,175269,1553.0,,-1.24,93885,-242162,-237173,,,,,0.0,,,0.0,18274.0,0.0,-38662,-38662
2016-05-04,1,2016,0.0,0.0,,23925,-8,3387,0.0,,23925,,0.0,,0.0,0,-0.34,,23925.0,1250,0.0,,,,0.0,,2016年01月01日至2016年03月31日,,-64929,-41004,0.0,-55346,-31421,-67058,3379,2356,2813,457,457,67515,,0.0,47265,0.0,,,20250,-64929,-63679,0.0,,0.0,,,,0.0,,,,-9583,-9583
2016-11-08,3,2016,0.0,0.0,,-1994,27,14563,,,-1994,,0.0,,0.0,0,-0.18,,-1994.0,1250,0.0,0.0,,,0.0,2262.0,2016年第3季,,-37755,-39749,0.0,-30159,-32153,-51095,14590,2939,6951,4012,4012,55107,,0.0,32590,0.0,,,20255,-37755,-36505,0.0,,0.0,,,,0.0,,,,-7596,-7596
