date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,-6898,17534,10945,4626.0,,71385,6319.0,13279.0,78283,0.1,129786.0,0.0,,,24410,,,134735,2013年01月01日至2013年03月31日,48281,119666,48281,119666,,57491,15200,4086903,4849274,762371,762371,704880,362083,,,0.1,208062,48281,72691,,,0.0,,13279,0.0,112252.0,4086903,4849274,0.0,0.0
2013-07-30,2,2013,,6898,46241,22178,14455.0,0.0,48509,7723.0,13308.0,41611,0.41,60257.0,0.0,,,19475,,,139229,2013年04月01日至2013年06月30日,201208,249717,201208,249717,,165572,55111,5164347,6075095,910748,910748,745176,376714,,,0.4,229233,201208,220683,,,0.0,,13308,0.0,14016.0,5164347,6075095,0.0,0.0
2013-11-11,3,2013,,-17912,3260,18330,5001.0,0.0,-43152,3475.0,,-25240,0.5,0.0,164859.0,,,81798,,,136847,2013年07月01日至2013年09月30日,241234,198082,241234,198082,,305330,17702,5332528,6369945,1037417,1037417,732087,368972,,,0.49,226268,241234,323032,9854.0,,0.0,,3888,168119.0,,5332528,6369945,0.0,0.0
2014-03-03,4,2013,,-2245,111536,65858,34066.0,,248498,21938.0,,153475,1.6,213212.0,0.0,0.0,,185005,,-6529.0,488644,2013年01月01日至2013年12月31日,779517,1028015,779517,1028015,0.0,834078,130444,20393544,24103755,3710211,3710211,2876133,1474036,,123358.0,1.55,913453,779517,964522,9854.0,,26090.0,,40421,0.0,101676.0,20393544,24103755,0.0,0.0
2014-05-09,1,2014,,35906,-12847,23732,,0.0,2648,,,-33258,0.1,,,,,8597,,-6000.0,141191,2014年01月01日至2014年03月31日,48738,51386,48738,51386,,68521,-11186,4681999,5436943,754944,754944,686423,355167,,,0.1,190065,48738,57335,,,0.0,,16071,,,4681999,5436943,0.0,0.0
2014-08-11,2,2014,,-18362,-70611,16678,,,-68563,,,-50201,0.20,,,,,8277,,-6000,142827,2014年第2季,96786,28223,96786,28223,,171370,-66307,5134351,5996966,862615,862615,691245,335490,,,0.20,212928,96786,105063,,,0,,6374,,,5134351,5996966,,
2014-11-10,3,2014,,-17271,73882,42442,,,71460,,,88731,0.28,,,,,23769,,-6000.0,145426,2014年第3季,135301,206761,135301,206761,,58420,100650,4810006,5563737,753731,753731,695311,336477,,,0.28,213408,135301,159070,,,0.0,,9674,,,4810006,5563737,,
2015-03-16,4,2014,,8374,106252,139594,,,90463,,,94058,1.1,,,0.0,,122270,,-24000.0,572513,2014年度,535773,626236,535773,626236,,469162,188881,20012133,23277512,3265379,3265379,2796217,1390036,,4021.0,1.08,833668,535773,658043,,,15990.0,,32965,,,20012133,23277512,,
2015-05-04,1,2015,,-17088,-61324,12623,,,-57648,,,-40560,0.14,,,,-57648,16385,-6000,-6000,114658,2015年01月01日至2015年03月31日,66963,9315,66963,9315,,142160,-58812,5051311,5857024,805713,805713,663553,357239,,,0.14,191656,66963,83348,,,,0,4111,,,5051311,5857024,,
2015-08-03,2,2015,,-40206,-45196,42349,,,-84778,,,-44572,0.00,,,,-84778,7331,-6000,-6000,159727,2015年第2季,0,-84778,0,-84778,,21838,-14507,5572793,6301168,728375,728375,706537,359758,,,0.00,187052,0,7331,,,,0,5660,,,5572793,6301168,,
