date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,-10410,8224,,,,1921,9751,0.06,0.06,,,2232,30542,2013年01月01日至2013年03月31日,11978,11978,9836,9836,31032,-16822,2989629,3073408,83779,83779,52747,444,,,,2477.0,,8698.0,0.06,0.06,21761,11978,,14210,,,14636,,2985231,,,3054959,2142,2142
2013-08-09,2,2013,,,,2797,2024,,,,2414,7587,-0.43,-0.43,,,-12530,25403,2013年04月01日至2013年06月30日,-73641,-73641,-74843,-74843,-77377,-8794,2540088,2506447,-33641,-33641,43736,440,,,,1607.0,,8719.0,-0.43,-0.43,17893,-73641,,-86171,,,13615,,2536067,,,2490141,1202,1202
2013-11-13,3,2013,,,,9650,529,529.0,,,1234,8705,-0.2,-0.2,0.0,,-4655,25933,2013年07月01日至2013年09月30日,-32492,-32492,-33742,-33742,-31511,-5636,2596992,2610988,13996,13996,45507,387,,,,1738.0,,6950.0,-0.2,-0.2,19187,-32492,,-37147,,,15815,,2594020,,,2595333,1250,1250
2014-03-21,4,2013,,0.0,,1791,9957,9957.0,,5525.0,7822,38063,-0.38,-0.38,0.0,,-9126,111901,2013年01月01日至2013年12月31日,-59823,-54298,-65184,-59659,-23685,-45264,11674243,11842149,167906,167906,191591,1791,,6656.0,,7894.0,,28291.0,-0.38,-0.38,77899,-59823,,-68949,,1131.0,57012,,11658527,,,11775795,5361,5361
2014-05-09,1,2014,,,,-6019,3560,3560.0,,,2490,11332,-0.24,,,,-8507,28151,2014年01月01日至2014年03月31日,-42708,-42708,-42194,-42194,-38143,-13072,3096380,3105806,9426,9426,47569,409,,,0.0,0.0,0.0,0.0,-0.24,,19009,-42708,-0.24,-51215,,,10613,3093890.0,3093890,3094474.0,3094474.0,3094474,-514,-514
2014-08-12,2,2014,,,,-6276,1450,1450.0,,,3146,12080,-0.09,-0.09,,,-5807,25434,2014年第2季,-14873,-14873,-15009,-15009,-5714,-14966,2807952,2845617,37665,37665,43379,400,,,,0.0,,1932.0,-0.09,-0.09,17545,-14873,,-20680,,,10140,,2804806,,,2831605,136,136
2014-11-07,3,2014,,,,21057,22024,22024.0,0.0,0.0,5037,14779,0.08,0.08,,,6768,24280,2014年第3季,17752,17752,14015,14015,-6418,30938,2797309,2835055,37746,37746,44164,902,,,,0.0,,0.0,0.08,0.08,18982,17752,,24520,,,12143,,2792272,,,2820276,3737,3737
2015-03-20,4,2014,,,,-6840,34556,34556.0,,-1618.0,8058,57675,-0.89,-0.89,,,-28993,103849,2014年度,-147662,-149280,-152890,-154508,-156720,-19935,10919704,10940111,20407,20407,177127,1680,,-1949.0,,20354.0,,1932.0,-0.89,-0.89,71598,-147662,,-176655,,-331.0,47651,,10891292,,,10880504,5228,5228
2015-05-08,1,2015,,,,12239,3990,3990.0,,,8318,18119,-0.46,-0.46,,,-18334,26785,2015年01月01日至2015年03月31日,-78035,-78035,-78711,-78711,-98412,2043,2387881,2334819,-53062,-53062,45350,135,,,,,,,-0.46,-0.46,18430,-78035,,-96369,,,14186,,2379563,,,2316700,676,676
2015-08-12,2,2015,,,,20077,33945,33945.0,,,7665,13819,0.06,,,,-2877,22749,2015年第2季,10856,10856,10142,10142,-33730,41709,2153001,2156638,3637,3637,37367,399,,,,,,0.0,0.06,,14219,10856,0.06,7979,,,12313,,2145336,,,2142819,714,714
