date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-9729,23643,7148,47998,42634,0.34,0.34,,23229,15093.0,20247,,44194,2013年01月01日至2013年03月31日,65225,113223,64174,111912,37515,50939,1093116,1258209,165093,165093,127578,24599,,,0.34,0.34,58785,65225,88454,,,,99,1051,1311
2013-08-12,2,2013,,-2728,7099,23882,18007,27606,0.39,0.39,,26734,-6871.0,6733,,57117,2013年04月01日至2013年06月30日,76065,94072,73381,91226,65150,37649,1314108,1528631,214523,214523,149373,25265,,,0.39,0.39,66991,76065,102799,,,,65,2684,2846
2013-11-11,3,2013,,-68552,75013,25871,-83522,-17745,1.9,1.9,,77095,2775.0,244703,,61413,2013年07月01日至2013年09月30日,360807,277285,357172,273745,94074,343828,1345829,1609605,263776,263776,169702,41811,,,1.89,1.89,66478,360807,437902,,,,1759,3635,3540
2014-03-28,4,2013,,-78366,91237,66159,4901,80572,3.08,3.08,,170363,22649.0,299542,,225685,2013年01月01日至2013年12月31日,592312,597213,580998,585398,308501,454174,4935013,5887680,952667,952667,644166,161215,,-24042.0,3.07,3.07,257266,592312,762675,,-4088.0,,2764,11314,11815
2014-05-06,1,2014,,52492,-37375,8916,45512,10774,0.28,0.28,,16447,-17754.0,7477,,70113,2014年01月01日至2014年03月31日,54832,100344,52124,97677,93381,-22102,1276593,1547763,271170,271170,177789,41997,,,0.28,0.28,65679,54832,71279,,,,1120,2708,2667
2014-08-08,2,2014,,756,20358,20128,-39756,-41943,0.73,0.73,,43234,1431.0,7189,,89805,2014年第2季,142285,102529,138057,98457,139513,46006,1418211,1766059,347848,347848,208335,45196,,,0.73,0.73,73334,142285,185519,,,,1669,4228,4072
2014-11-07,3,2014,,-11707,50242,29220,51251,55920,1.0,1.0,,45416,7038.0,27558,,98240,2014年第3季,194326,245577,189055,240060,133933,105809,1514623,1883536,368913,368913,234980,57659,,,1.0,1.0,79081,194326,239742,,,,1211,5271,5517
2015-03-23,4,2014,,4154,63251,56187,74912,102017,2.7,2.7,,144705,-16328.0,55571,,341462,2014年度,526718,601630,507914,585393,499433,171990,5718366,7074752,1356386,1356386,856953,201436,,-17989.0,2.68,2.68,314055,526718,671423,,-3058.0,,3019,18804,16237
2015-05-12,1,2015,,22659,21299,6889,-2510,-25681,0.88,0.88,-2510.0,49480,,10186,512.0,90907,2015年01月01日至2015年03月31日,169794,167284,166266,163842,181590,37684,1514611,1921805,407194,407194,225604,43534,,,0.88,0.88,91163,169794,219274,,,,690,3528,3442
2015-08-10,2,2015,0.0,2265,21197,7042,-31376,-33504,0.93,0.93,-31376.0,46210,,17115,-137.0,98740,2015年第2季,180532,149156,175857,144598,182336,44406,1537363,1970293,432930,432930,250594,45900,0.0,,0.93,0.93,105954,180532,226742,,,0.0,948,4675,4558
2015-11-09,3,2015,,-19259,52750,41734,75458,116161,1.44,1.44,75458.0,70728,,22685,-21444.0,110309,2015年第3季,277159,352617,271441,346583,230936,116951,1659440,2133918,474478,474478,243542,51365,,,1.44,1.44,81868,277159,347887,,,,218,5718,6034
2016-03-21,4,2015,-14600.0,-2265,120729,66313,-9329,7536,4.22,4.22,5271.0,259715,,39041,0.0,394538,2015年度,816764,807435,796103,787623,851495,224984,6175230,7986554,1811324,1811324,959829,192504,-17590.0,,4.18,4.18,372787,816764,1076479,-2990.0,,,1099,20661,19812
2016-05-06,1,2016,,107406,-47140,10590,72084,-35322,0.96,0.96,72084.0,59099,,7908,0.0,100405,2016年01月01日至2016年03月31日,184676,256760,180200,252419,272423,-28648,1468051,1977441,509390,509390,236967,49473,,,0.95,0.95,87089,184676,243775,,,,6,4476,4341
2016-08-08,2,2016,0.0,-81277,38368,3635,-121588,-40311,1.28,1.28,-121588.0,91480,,9000,0.0,108366,2016年第2季,245079,123491,240575,119194,285793,50766,1663491,2212462,548971,548971,263178,50442,0.0,,1.27,1.27,104370,245079,336559,0.0,,,237,4504,4297
2016-11-07,3,2016,,3821,-42711,43899,-54385,-58206,1.12,1.12,-54385.0,67540,,8875,0.0,108522,2016年第3季,216620,162235,211344,157207,274444,9716,1616273,2155721,539448,539448,265004,49080,,,1.12,1.12,107402,216620,284160,,,,347,5276,5028
