date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資性不動產減損迴轉利益,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,0.0,9732,41162,34,12326,1484.0,4273,0.1,0.1,10490.0,,0.0,,,,12326.0,12326.0,,,10329,,0,2013年01月01日至2013年03月31日,0.0,,39019,51345,39019,51345,39644.0,,-17931,56950,12433,16873,4440,4440,22371,,,,0.1,0.1,22371,39019,39019,,53,,4273,-811,,1484.0,12433,12433,0,16873,16873,16873,,
2013-08-01,2,2013,,0.0,,0.0,5816,53953,50845,3335,3108.0,3567,0.14,,5905.0,,,,13282.0,0.0,3335.0,3335.0,12234.0,0.0,12234,,0,2013年04月01日至2013年06月30日,,,54443,57778,54443,57778,,0.0,-711,68436,269076,292614,23538,23538,24249,13282.0,,,0.13,,24249,54443,67725,,29,,3567,-118,,3108.0,269076,269076,131,292745,292745,292614,0.0,0.0
2013-11-07,3,2013,,0,0,0,-4269,4551,781,-4699,3770,3797,1.37,1.37,0,4577,,,44306,0,-4699,-4699,9283,0,9283,,56620,2013年07月01日至2013年09月30日,,,558971,554272,558971,554272,,0,597509,5768,814651,1529131,714480,714480,116971,44306,,,1.28,1.28,60351,558971,603277,0,23,,3797,285,,3770,814651,814651,0,1529131,1529131,1529131,,0
2014-03-20,4,2013,,18286.0,,0.0,11060,107407,91663,15163,15744.0,12933,2.22,2.22,27534.0,,,,66506.0,0.0,15249.0,15249.0,35980.0,,35980,,109091,2013年01月01日至2013年12月31日,,,896368,911531,896368,911531,,0.0,821360,141514,1515540,2610254,1094714,1094714,273354,66506.0,,-86.0,1.88,1.88,164263,896368,962874,0.0,732,,12933,1080,,,1515540,1515540,5174,2615428,2615428,2610254,0.0,0.0
2014-05-02,1,2014,,,,,-15603,16502,16502,6810,,5572,0.13,0.13,0.0,15723.0,,,124.0,,6810.0,6810.0,,,3176,,8042,2014年01月01日至2014年03月31日,,,54961,61771,54961,61771,,,56582,-1497,74882,163717,88835,88835,32253,124.0,,,0.12,0.12,24211,54961,55085,,26,,5572,94,,,74882,74882,1200,164917,164917,163717,,
2014-08-08,2,2014,,300.0,,,-50888,21848,21848,-8815,,8426,2.89,,0.0,49899.0,,,58810.0,,-8815.0,-8815.0,0.0,3117.0,-3117,,31831,2014年第2季,,,1181978,1173163,1181978,1173163,,,1281371,-40583,543891,1984617,1440726,1440726,159355,58810.0,,,2.45,,127524,1181978,1240788,,348,,8426,-1037,,,543891,543891,0,1984617,1984617,1984617,0.0,0.0
2014-11-06,3,2014,,0.0,,,73150,25718,89,8835,25629.0,4204,0.16,0.16,73779.0,0.0,,,11.0,,8835.0,8835.0,1213.0,,1213,,5969,2014年第3季,,,63815,72650,63815,72650,,,-32051,95877,1090,3411,2321,2321,34372,11.0,,,0.14,0.14,28403,63815,63826,,1216,,4204,-1845,,25629.0,1090,1090,86,3497,3497,3411,,0.0
2015-03-20,4,2014,,300.0,,,83758,92431,4014,41732,88417.0,24199,3.18,3.18,87105.0,,,,82996.0,,41546.0,41546.0,0.0,3205.0,-3205,,105513,2014年度,,,1301486,1343218,1301486,1343218,,,1235697,148785,744088,2305411,1561323,1561323,325626,82996.0,,186.0,2.69,2.69,220113,1301486,1384482,,1861,,24199,-4908,,,744088,744088,1286,2306697,2306697,2305411,,
2015-05-06,1,2015,,767.0,,,-21057,25914,25914,-8341,,9767,1.27,1.27,,26054.0,,-8341.0,10722.0,,,,,,-843,-8341.0,127843,2015年01月01日至2015年03月31日,,10722.0,521790,513449,522852,514511,,,538265,-5753,1467989,2215206,747217,747217,208952,,,,1.08,1.08,81109,521790,532512,,307,,9767,5477,20.0,,1467989,1467989,0,2215206,2215206,2215206,-1062.0,-1062.0
2015-08-06,2,2015,,243.0,,,-39909,26482,26482,-10407,,17900,3.0,,,38962.0,,-10407.0,115870.0,,,,3953.0,0.0,3953,-10407.0,103132,2015年第2季,,115870.0,1252429,1242022,1254533,1244126,,,1395673,-27374,1244761,2892420,1647659,1647659,251986,,,,2.56,,148854,1252429,1368299,,1279,,17900,-1983,,,1244761,1244761,87815,2980235,2980235,2892420,-2104.0,-2104.0
2015-11-05,3,2015,,0.0,,-669.0,110131,25911,116,46715,25795.0,21598,0.23,0.23,111178.0,,,46715.0,281.0,,,,-2653.0,,-2653,47384.0,6622,2015年第3季,,281.0,98762,145477,100078,146793,,572.0,-12748,111791,28477,60468,31991,31991,44739,,,,0.21,0.21,38117,98762,99043,,219,,21598,-1838,,25795.0,28477,28477,0,60468,60468,60468,-1316.0,-1316.0
2016-03-17,4,2015,-880.0,10053.0,,-712.0,-56945,110645,6650,21790,103995.0,68297,4.02,4.02,0.0,52172.0,,22670.0,126872.0,,,,167.0,0.0,167,23382.0,254918,2015年度,,126872.0,1707846,1729636,1710296,1732086,,571.0,1849148,-14430,2812675,5202314,2389639,2389639,540491,,-880.0,,3.54,3.54,285573,1707846,1834718,,1833,,68297,2876,,,2812675,2812675,87895,5290209,5290209,5202314,-2450.0,-2450.0
2016-05-12,1,2016,,0.0,,955.0,-9236,27074,746,-14137,26328.0,18892,0.25,0.25,,7673.0,,-14137.0,788.0,,,,,,-444,-15092.0,480,2016年01月01日至2016年03月31日,,788.0,112420,98283,111496,97359,,,114706,-1498,187404,335099,147695,147695,32989,,,,0.23,0.23,32509,112420,113208,,0,194.0,18892,120,1489.0,26328.0,187404,187404,0,335099,335099,335099,924.0,924.0
2016-08-04,2,2016,,0.0,,505.0,-77655,32926,7694,2669,25232.0,18105,-0.22,,,76301.0,,2669.0,72954.0,,,,0.0,6783.0,-6783,2164.0,7710,2016年第2季,,72954.0,-99826,-97157,-98003,-95334,,,42745,-69617,153755,239029,85274,85274,42529,,,,-0.22,,34819,-99826,-26872,,161,,18105,-1515,,25232.0,153755,153755,0,239029,239029,239029,-1823.0,-1823.0
2016-11-10,3,2016,,0.0,,206.0,-87416,21020,93,-21086,20927.0,18605,-0.21,-0.21,0.0,86691.0,,-21086.0,0.0,,,,-899.0,,-899,-21292.0,2022,2016年第3季,,0.0,-90209,-111295,-91968,-113054,,0.0,-4309,-85900,9596,32224,22628,22628,26937,,,,-0.21,-0.21,24915,-90209,-90209,,0,1071.0,18605,346,,20927.0,9596,9596,0,32224,32224,32224,1759.0,1759.0
