date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位稅後損益,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,28361,116125,6571,,295849,267488,0.45,,46868,7725,1062525,2013年01月01日至2013年03月31日,291215,587064,237726,440629,250873,87210,19418268,21357129,1938861,1938861,1687988,18797,,,,606666,291215,338083,,,43211,53489,146435
2013-08-13,2,2013,,,,102535,101280,5097,,328277,225742,0.08,,58157,28504,1123805,2013年04月01日至2013年06月30日,-64171,264106,40483,229246,-101053,95039,19646474,21257781,1611307,1611307,1712360,27422,,,0.08,561133,-64171,-6014,,,39842,-104654,34860
2013-11-12,3,2013,,,,13089,156339,28648,28648.0,-150595,-163684,0.63,,78012,-1471,1094128,2013年07月01日至2013年09月30日,423086,272491,331903,242494,383654,117444,20908851,22984709,2075858,2075858,1692204,11301,,,0.63,586775,423086,501098,,,66072,91183,29997
2014-03-28,4,2013,,,,-113931,1872996,30433,,394395,496237,3.42,,336698,52462,4554544,2013年01月01日至2013年12月31日,2256640,2651035,1795696,1948551,840305,1753033,82822769,90478017,7655248,7655248,6814943,99166,,12994.0,3.41,2161233,2256640,2593338,,905.0,202858,460944,702484
2014-05-07,1,2014,,,,117281,102924,4231,,272946,155665,0.68,,105934,1473,1096310,2014年01月01日至2014年03月31日,367411,640357,356947,528667,425758,47587,19579545,21742705,2163160,2163160,1737402,24042,,,,617050,367411,473345,,,61041,10464,111690
2014-08-12,2,2014,,,,325584,95150,5127,,106963,-218621,0.6,,89413,-3716,1138407,2014年第2季,383417,490380,314063,540866,441550,31280,20582559,22672001,2089442,2089442,1647892,25619,,,0.6,483866,383417,472830,,,65281,69354,-50486
2014-11-12,3,2014,,,,-268333,445551,3829,,-2435,265898,0.73,,68308,4021,1086848,2014年第3季,542341,539906,496109,382692,211514,399135,21127301,23067717,1940416,1940416,1728902,29350,,,0.73,612704,542341,610649,,,54266,46232,157214
2015-03-26,4,2014,,,,145893,556155,23448,,841949,699978,1.7,,492216,-4096,4562967,2014年度,999577,1841526,1162573,1687619,1148670,343123,83742961,91740920,7997959,7997959,6849289,124847,,-4055.0,1.7,2161475,999577,1491793,,-133.0,232384,-162996,153907
2015-05-08,1,2015,,,,306465,53282,3726,,86631,-219834,0.23,86631.0,93381,-27830,1082096,2015年01月01日至2015年03月31日,89692,176323,158238,344772,212731,-29658,18212106,20079300,1867194,1867194,1654463,25868,,,0.23,546499,89692,183073,,,58836,-68546,-168449
2015-08-12,2,2015,,-3952.0,-3952.0,-218878,86677,7544,,-392683,-173805,0.14,-392683.0,108057,-38799,1158512,2015年第2季,139412,-253271,97708,-209748,249661,1760,16757103,18716305,1959202,1959202,1709541,27231,,,0.14,523798,143364,251421,,,53662,41704,-43523
2015-11-12,3,2015,,0.0,0.0,-60775,-41457,11547,,310651,371426,0.5,310651.0,92235,-19709,1314978,2015年第3季,390722,701373,342964,491064,570411,-87454,17556210,19927554,2371344,2371344,1800933,25888,,,0.5,460067,390722,482957,,,37835,47758,210309
2016-03-30,4,2015,-588.0,,,87588,-278438,32160,,-195505,-282505,0.87,-194917.0,482484,-107174,4374528,2015年度,486215,290710,591381,516983,1541660,-572961,69848045,78252167,8404122,8404122,6862462,104130,-470.0,,0.86,2383804,486215,968699,118.0,,219509,-105166,-226273
2016-04-29,1,2016,,,,69712,82477,6191,,-85920,-155632,0.73,-85920.0,81345,-25971,1182932,2016年01月01日至2016年03月31日,597271,511351,498961,483076,707467,-28851,15327265,17743529,2416264,2416264,1708797,24914,,,0.73,500951,597271,678616,,,91548,98310,28275
2016-08-10,2,2016,,0.0,0.0,21450,259951,4129,,-289182,-310632,0.77,-289182.0,84405,-17466,1242794,2016年第2季,647002,357820,526856,377947,566377,165030,16019949,18428958,2409009,2409009,1842632,22835,,,0.77,577003,647002,731407,,,81584,120146,-20127
2016-11-10,3,2016,,0.0,,71500,261934,4865,,-387414,-458914,0.83,-387414.0,112199,-344,1243961,2016年第3季,744922,357508,569652,405208,660359,196762,16776058,19248564,2472506,2472506,1812147,34004,,,0.83,534182,744922,857121,,,69693,175270,-47700
