date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他減損迴轉利益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,2905.0,989278,-123275,357230,357230,,,2321193,130188.0,1217709,0.31,,0.0,200050.0,,379694,,167391.0,167391.0,,421522.0,-421522,,763287,2013年01月01日至2013年03月31日,1388433,3709626,1356343,3635529,,,2085882,-317755,160972872,167555905,6583033,6583033,4497151,,2731664,,,0.31,,1002200,1388433,1768127,,53185.0,,,,118545.0,,130188,,38865.0,,32090,74097
2013-08-12,2,2013,,,-392871,-154979,539276,539276,,,-55385,,228449,0.32,,,,,605539,,74721.0,74721.0,,506879.0,-506879,,789674,2013年04月01日至2013年06月30日,1461330,1405945,1394084,1332392,,,2284432,-217563,159998450,166879022,6880572,6880572,4596140,,2699836,,,0.32,,1106630,1461330,2066869,,-34316.0,,,,,,94981,,,,67246,73553
2013-11-13,3,2013,,,-152155,-5292872,436200,436200,,,-830296,,-684434,-0.63,,,,,-351516,,-10631.0,-10631.0,,315603.0,-315603,,733267,2013年07月01日至2013年09月30日,-2523981,-3354277,-2729293,-3531064,,,2402256,-5277753,157883819,164849264,6965445,6965445,4563189,,2702699,,,-0.63,,1127223,-2523981,-2875497,,-16924.0,,,,,,105478,,,,205312,176787
2014-03-27,4,2013,,10291.0,-765150,-4740412,1468093,1468093,,,711298,,1113347,0.57,0.57,,546135.0,,1456650,,391438.0,391438.0,,1107701.0,-1107701,,3271332,2013年01月01日至2013年12月31日,2903732,3615030,2467211,3160663,4909772.0,,9234044,-4873662,664637902,692748293,28110391,28110391,18876347,,11310464,,651.0,0.57,0.57,4294551,2903732,4360382,,28988.0,,246995.0,,626458.0,,493642,,147667.0,,436521,454367
2014-05-13,1,2014,,2131,279400,-4059407,255781,255781,,7096,1254115,238668,1020108,-0.53,,320876,0,,656938,,-43877,-43877,270225,0,270225,,900905,2014年01月01日至2014年03月31日,-2124885,-870770,-2263546,-1016709,4732121,7096,2304122,-3772069,163290486,170634865,7344379,7344379,5040257,,2964320,,,-0.53,,1175032,-2124885,-1467947,,1516,,30817,,0,,238668,316056,0,4732121,138661,145939
2014-08-13,2,2014,,7096.0,939937,-714560,716862,716862,,,-196399,,-978233,0.55,,,584674.0,,213374,,-130011.0,-130011.0,62399.0,0.0,62399,,866162,2014年第2季,2481011,2284612,2366777,2177789,0.0,,2883691,-189306,194000758,201870079,7869321,7869321,4985630,,2945174,,,0.55,,1174294,2481011,2694385,,28092.0,,7239.0,,14631.0,0.0,254007,0.0,144660.0,0.0,114234,106823
2014-11-13,3,2014,,,6538,303623,425223,425223,,,955507,,816549,0.60,,185626,0,,370289,,129884,129884,453881,0,453881,,889395,2014年第3季,2714769,3670276,2584492,3536344,11274,,2146519,938539,219397758,226793017,7395259,7395259,5248740,,3108290,,,0.60,,1251055,2714769,3085058,,-2536,,0,18710,3717,0,244188,144264,0,11274,130277,133932
2015-02-26,4,2014,,,1667628,-3658582,1762563,1762563,,,4562238,,2882064,1.63,,525341.0,0.0,,2181971,,80992.0,80992.0,977953.0,0.0,977953,,3746315,2014年度,7555001,12117239,7034081,11564839,4777920.0,,11674542,-1937570,813336090,845700752,32364662,32364662,20690120,,12111034,,-35349.0,1.63,,4832771,7555001,9736972,,33097.0,,46226.0,0.0,18348.0,0.0,1019504,529423.0,0.0,4777920.0,520920,552400
2015-05-11,1,2015,,25732.0,651905,-647322,367216,367216,,0.0,-249917,,-791600,0.47,,0.0,944002.0,-249917.0,552876,,,,0.0,117990.0,-117990,-23161.0,1216189,2015年01月01日至2015年03月31日,2021761,1771844,2016150,1782866,0.0,0.0,3221663,-647026,189552995,198112443,8559448,8559448,5337785,,2931594,,,0.46,,1190002,2021761,2574637,,,87061.0,9348.0,,,86629.0,248930,399693.0,,0.0,5611,-11022
2015-08-11,2,2015,,38841.0,-585179,-560192,613699,613699,,10000.0,-1361056,,-727800,0.35,,0.0,270852.0,-1361056.0,882545,,,,127753.0,0.0,127753,-66881.0,1068707,2015年第2季,1493308,132252,1506101,154106,0.0,10000.0,2420761,-44908,191464754,199032656,7567902,7567902,5147141,-6816.0,3007185,,,0.34,,1071249,1493308,2375853,,,-25620.0,0.0,7136.0,72173.0,0.0,226168,0.0,325536.0,0.0,-12793,-21854
2015-11-12,3,2015,,8608.0,-1579846,935069,207289,207289,,0.0,1800346,,3302666,0.67,,591972.0,0.0,1800346.0,700194,,,,214577.0,0.0,214577,36183.0,1244859,2015年第3季,3079549,4879895,2889017,4638026,0.0,0.0,2585750,1193993,207665147,215862244,8197097,8197097,5611347,5202.0,3113865,,,0.66,,1252623,3079549,3779743,,,-36141.0,3662.0,0.0,0.0,0.0,162942,348043.0,0.0,0.0,190532,241869
2016-03-30,4,2015,-78479.0,37562.0,-1629927,-482975,1495156,1495156,,,-101970,,1766330,2.01,,0.0,690434.0,-23491.0,2784946,-794.0,,,367162.0,0.0,367162,-146939.0,5011950,2015年度,9007147,8905177,8684610,8552926,121574.0,,11312452,479641,813927341,847305698,33378357,33378357,22065905,21360.0,12249660,-93596.0,,1.97,,4804295,9007147,11792093,-15911.0,,34315.0,3560.0,0.0,0.0,20718.0,899702,383753.0,0.0,121574.0,322537,352251
2016-05-11,1,2016,,233.0,457221,-854534,468638,468638,,,-822277,,-1125578,0.37,,,837787.0,-822277.0,552518,,,,119582.0,0.0,119582,-126860.0,1023549,2016年01月01日至2016年03月31日,1746263,923986,1601242,803759,,,2776408,-477627,169167762,176649808,7482046,7482046,4705638,-22601.0,2579300,,,0.36,,1102789,1746263,2298781,,,4459.0,0.0,3732.0,,0.0,211313,0.0,12782.0,,145021,120227
2016-08-11,2,2016,,29153.0,-188385,-41498,691918,691918,40750.0,0.0,-52887,,243775,0.4,,44366.0,0.0,-52887.0,866748,,,,98998.0,,98998,-173792.0,1079254,2016年第2季,2056524,2003637,1737047,1651771,40750.0,0.0,2415895,507377,165309270,172934747,7625477,7625477,5209582,41255.0,2972407,,,0.4,,1157921,2056524,2923272,,,-24260.0,1133.0,0.0,0.0,0.0,242041,0.0,17094.0,,319477,351866
2016-11-09,3,2016,,17020.0,71104,-840263,343873,343873,,0.0,-1903474,,-1754787,0.5,,0.0,872226.0,-1903474.0,466302,,,,102017.0,,102017,-204978.0,1116927,2016年第3季,2379044,475570,2179674,314736,63872.0,0.0,3462568,-617222,189193478,197886564,8693086,8693086,5230518,-19533.0,3030555,,,0.5,,1083036,2379044,2845346,,,-4720.0,448.0,0.0,61949.0,0.0,222849,50458.0,0.0,63872.0,199370,160834
