date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,-20175,2396,1967,-19593,582,0.02,0.02,18020.0,82201.0,,828,,16665,2013年01月01日至2013年03月31日,4042,-15551,4042,-15551,18020.0,82201.0,535,4335,569689,600188,30499,30499,29964,3303,,,4199.0,13531.0,0.02,0.02,9996,4042,4870,,28,547470.0,504456.0,0.0,0.0
2013-08-14,2,2013,,-133495,486,16871,-133368,127,-0.14,-0.14,32191.0,32191.0,,6630,-283.0,15169,2013年04月01日至2013年06月30日,-34735,-168103,-34735,-168103,32191.0,32191.0,-45148,17043,625618,610160,-15458,-15458,29690,4173,,,6290.0,13567.0,-0.14,-0.14,10348,-34735,-28105,,31,587137.0,564402.0,,
2013-11-13,3,2013,,-140240,-535,2354,-140559,-319,-0.02,-0.02,88417.0,88416.0,,-2383,83.0,15170,2013年07月01日至2013年09月30日,-5357,-145916,-5357,-145916,88417.0,88416.0,-9605,1865,662576,682508,19932,19932,29537,4696,,,3971.0,13640.0,0.0,0.0,9671,-5357,-7740,,37,570188.0,580452.0,0.0,0.0
2014-03-26,4,2013,,-379669,-36596,23601,-381925,573,-0.27,-0.27,208384.0,272564.0,,1156,1777.0,62816,2013年01月01日至2013年12月31日,-65464,-447389,-65464,-447389,208384.0,272564.0,-52968,-11340,2472639,2533260,60621,60621,113589,16028,,-2829.0,18834.0,54378.0,-0.27,-0.27,34745,-65464,-64308,0.0,122,2245421.0,2206318.0,0.0,0.0
2014-05-09,1,2014,,-7492,1192,4255,-6956,536,-0.06,-0.06,11327.0,12233.0,,-1448,-495.0,14041,2014年01月01日至2014年03月31日,-13544,-20500,-13544,-20500,11327.0,12233.0,-19915,4923,599482,607848,8366,8366,28281,5032,,,10517.0,11754.0,0.0,0.0,9208,-13544,-14992,,29,577638.0,583861.0,0.0,0.0
2014-08-13,2,2014,,-21851,-1404,8608,-22331,-480,-0.12,-0.12,26022.0,26002.0,,458,176.0,14487,2014年第2季,-28175,-50506,-28175,-50506,26022.0,26002.0,-35067,7350,549371,547747,-1624,-1624,33443,9519,,,7669.0,11755.0,,,9437,-28175,-27717,,30,515680.0,509990.0,,
2014-11-12,3,2014,,-85647,43651,5130,-85211,436,0.16,0.16,41123.0,62421.0,,-168,95.0,14499,2014年第3季,38675,-46536,38675,-46536,41123.0,62421.0,-10344,48851,348845,367007,18162,18162,28506,6341,,,3663.0,10007.0,,,7666,38675,38507,,25,304059.0,294579.0,0.0,0.0
2015-03-30,4,2014,,-118169,43243,26347,-117318,1529,-0.06,-0.06,87982.0,113443.0,,-14820,829.0,55715,2014年度,-13549,-130867,-13549,-130867,87982.0,113443.0,-98680,70311,1790720,1807620,16900,16900,115580,23760,,-678.0,25548.0,42419.0,,,36105,-13549,-28369,,108,1677190.0,1651758.0,0.0,0.0
2015-05-11,1,2015,,-43975,-4462,2969,-44242,-267,-0.18,-0.18,,,-44242.0,-9398,312.0,12112,2015年01月01日至2015年03月31日,-44432,-88674,-44432,-88674,,,-52626,-1204,443133,419506,-23627,-23627,28999,5608,,,,,0.0,0.0,11279,-44432,-53830,,23,,,0.0,0.0
2015-08-14,2,2015,,-77146,-3617,10376,-77545,-399,-0.07,-0.07,,,-77545.0,-1957,733.0,10600,2015年第2季,-16000,-93545,-16000,-93545,,,-25424,7467,370707,385722,15015,15015,40439,18951,,,,,,,10888,-16000,-17957,,25,,,0.0,0.0
