date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,標準成本差異合計,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,直接人工差異合計,直接原料差異合計,確定福利計畫之再衡量數,租賃成本合計,租賃收入合計,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,育樂成本合計,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,製造費用差異合計,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,運輸成本（海陸運輸業、航空業適用）合計,重估價之利益（損失）,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,餐旅服務成本合計
2013-05-08,1,2013,,0,,-4899,6377,4421,53809,1956,4,,53809,1.13,1.13,,4899,,,18671,,,,,0,24359,,,2013年01月01日至2013年03月31日,68575,122384,,68575,122384,,,,,85772,1474,986817,1154898,168081,168081,82309,,,,,,,,57950,68575,,87246,,,,482,,4,482,,,0.0,0,986817,986817,1154898,0,
2013-08-07,2,2013,,0,,-5484,5429,3638,17666,1791,4,,17666,1.58,1.58,,6129,,,25163,,,,,0,24354,,,2013年04月01日至2013年06月30日,95812,113478,,95812,113478,,,,,121034,-59,1247084,1472703,225619,225619,104585,,,,,,,,80231,95812,,120975,,,,1393,,4,2038,,,0.0,0,1247084,1247084,1472703,0,
2013-11-07,3,2013,,0,,-1741,11451,10867,-19529,584,0,,-19529,2.04,2.04,0.0,6816,,,4352,,,,,0,27184,,,2013年07月01日至2013年09月30日,123991,104462,,123991,104462,,,,,118633,9710,1306185,1557347,251162,251162,132529,,,,,,,,105345,123991,,128343,,,,442,,0,5517,,,0.0,0,1306185,1306185,1557347,0,
2014-02-25,4,2013,,0,,-20625,36727,31617,81896,5110,8,,81896,5.41,5.41,,24139,,,48777,,,,,0,102619,,,2013年01月01日至2013年12月31日,328876,410772,,328876,410772,,,,,361559,16094,4428450,5219379,790929,790929,429370,,,,,,,,326751,328876,,377653,,,,8325,,8,11839,,,0.0,0,4428450,4428450,5219379,0,
2014-05-12,1,2014,,0,,-6654,9375,7543,19033,1832,0,,19033,0.12,0.12,,555,,,5567,,,,,0,24325,,,2014年01月01日至2014年03月31日,7551,26584,,7551,26584,,,,,10397,2721,921152,1070843,149691,149691,139294,,,,,,,,114969,7551,,13118,,,,78,,0,0,6021.0,,0.0,0,921152,921152,1070843,0,
2014-08-12,2,2014,,0,0.0,-6674,5240,4291,-30101,949,1314,0.0,-30101,1.35,,,3459,,,13822,0.0,0.0,0.0,0.0,0,34471,0.0,0.0,2014年第2季,81923,51822,0.0,81923,51822,0.0,0.0,0.0,0.0,98493,-2748,1203880,1420344,216464,216464,117971,0.0,0.0,,0.0,0.0,,0.0,83500,81923,1.35,95745,,0.0,,3408,0.0,1314,193,0.0,0.0,0.0,0,1203880,1203880,1420344,0,0.0
2014-11-11,3,2014,,5315,0.0,1995,16839,15879,8449,239,1098,0.0,8449,2.06,,3862.0,0,,,21608,0.0,0.0,0.0,0.0,0,38682,0.0,0.0,2014年第3季,124850,133299,0.0,124850,133299,0.0,0.0,0.0,0.0,128722,17736,1451125,1728140,277015,277015,148293,0.0,0.0,,0.0,0.0,721.0,0.0,109611,124850,2.06,146458,,0.0,258.0,4,0.0,1098,3194,0.0,0.0,0.0,0,1451125,1451125,1728140,0,0.0
2015-03-04,4,2014,,9646,0.0,-15738,41204,35335,69085,3503,3275,0.0,69085,4.36,,0.0,682,,,52907,0.0,0.0,0.0,0.0,0,135363,0.0,0.0,2014年度,264652,333737,0.0,264652,333737,0.0,0.0,0.0,0.0,295368,22191,4782838,5685347,902509,902509,607141,0.0,0.0,,0.0,0.0,2366.0,0.0,471778,264652,4.36,317559,,0.0,306.0,3769,0.0,3275,0,1947.0,0.0,0.0,0,4782838,4782838,5685347,0,0.0
2015-05-12,1,2015,,10004,0.0,10395,52995,10327,-65122,1222,5976,0.0,-65122,0.92,,21089.0,0,41446.0,-65122.0,6899,0.0,0.0,0.0,0.0,0,42194,0.0,0.0,2015年01月01日至2015年03月31日,55471,-9651,0.0,55471,-9651,0.0,0.0,0.0,0.0,4956,57414,1789204,2066042,276838,276838,271882,0.0,0.0,,0.0,0.0,,0.0,229688,55471,0.92,62370,,0.0,52.0,246,0.0,5976,0,496.0,0.0,,0,1789204,1789204,2066042,0,0.0
2015-08-07,2,2015,,4309,0.0,-961,24435,23152,-10122,1283,5466,0.0,-10122,0.18,,8388.0,0,0.0,-10122.0,7891,0.0,0.0,0.0,0.0,0,45377,0.0,0.0,2015年第2季,10868,746,0.0,10868,746,0.0,0.0,0.0,0.0,751,18008,1562342,1818878,256536,256536,255785,0.0,0.0,,0.0,0.0,,0.0,210408,10868,0.18,18759,,0.0,60.0,2672,0.0,5466,1119,3547.0,0.0,,0,1562342,1562342,1818878,0,0.0
