date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2014,,772.0,,-1950,-7454,13079,,47995,49945,-1.4,-1.41,,-1553,,0.0,-17771,,38670,2014年01月01日至2014年03月31日,-214082,-166087,-211984,-163989,-204195,-12212,1375528,1399941,24413,24413,228608,55964,,0.0,0.0,133974,-214854,-216407,,66,-2098,-2098
2013-05-13,1,2013,,,,-843,91148,12553,,130436,129374,1.17,1.17,,45927,,1905,-504,,61536,2013年01月01日至2013年03月31日,175199,305635,177424,307860,118070,103056,2467793,2847971,380178,380178,262108,101033,,1.17,1.17,99539,175199,221126,,141,-2225,-2225
2013-08-13,2,2013,,-180959.0,-1.2,-675,27119,20709,,53331,48495,-1.32,-0.12,,-63404,,5511.0,-11672,,49821,2013年04月01日至2013年06月30日,-201640,-148309,-199448,-146117,-120082,35997,1734543,1963841,229298,229298,349380,202583,,,,96976,-20681,-84085,,159,-2192,-2192
2013-11-12,3,2013,,13342.0,0.09,4861,-56061,35597,35597.0,-55143,-58773,-1.97,-2.06,,5848,,-1231.0,-35536,,59959,2013年07月01日至2013年09月30日,-299283,-354426,-297388,-352531,-250456,-56321,2123346,2139833,16487,16487,266943,91538,,,,115446,-312625,-306777,,321,-1895,-1895
2014-03-26,4,2013,,-273647.0,-1.81,4935,-817682,82624,,183117,170557,-10.76,-8.95,,-89239,,7625.0,-68140,,210762,2013年01月01日至2013年12月31日,-1635876,-1452759,-1627463,-1444346,-647500,-803968,7706723,8269675,562952,562952,1210452,521426,,,,478264,-1362229,-1451468,,770,-8413,-8413
2014-08-13,2,2014,,8434.0,0.05,-780,-109227,33979,,-80321,-77579,-1.44,-1.49,,14616,,-1962.0,-3384,,43536,2014年第2季,-219910,-300231,-217244,-297565,-134767,-78961,1581538,1672341,90803,90803,225570,55613,,,,126421,-228344,-213728,,329,-2666,-2666
2015-03-25,4,2014,,3538.0,0.02,-7215,-752877,139431,,155928,159640,-11.92,-11.94,,84125,,3503.0,-88021,,137280,2014年度,-1812739,-1656811,-1803900,-1647972,-1030071,-702081,5363956,5193816,-170140,-170140,859931,197925,,,,524726,-1816277,-1732152,,614,-8839,-8839
2015-05-04,1,2015,281.0,859.0,,-1657,-64495,15317,,-29417,-26766,-1.54,-1.55,-29698.0,6020,,,-3288,-1275.0,21023,2015年01月01日至2015年03月31日,-232382,-261799,-233236,-262653,-174664,-52557,912759,853955,-58804,-58804,115860,31874,338.0,0.0,0.0,62963,-233241,-227221,57.0,91,854,854
2015-08-11,2,2015,0,1683,0.01,-1483,-70765,18756,,-37552,-35140,-2.16,-2.17,-37552,10937,,,-4098,-929,22531,2015年第2季,-334447,-371999,-327031,-364583,-268964,-56229,719506,561893,-157613,-157613,111351,31916,0,,,56904,-336130,-325193,0,122,-7416,-7416
2015-11-11,3,2015,0.0,-163.0,0.0,-662,15783,20488,,129602,125914,-1.32,-1.32,129602.0,13505,,,10147,4350.0,20732,2015年第3季,-200543,-70941,-200157,-70555,-233293,46418,466848,401114,-65734,-65734,167559,30580,0.0,,,116247,-200380,-186875,0.0,0,-386,-386
2016-03-23,4,2015,106.0,-359008.0,-2.38,-7172,-1561703,74331,,40719,48436,-17.36,-14.98,40613.0,40295,0.0,,-55908,-651.0,74861,2015年度,-2634141,-2593422,-2626486,-2585767,-691345,-1543493,2525293,2217142,-308151,-308151,383194,122301,129.0,,,186032,-2275133,-2234838,23.0,213,-7655,-7655
2016-05-11,1,2016,0.0,2829.0,,-269,-26432,23593,,-21195,-18793,-0.37,-0.39,-21195.0,27290,,,1272,-2133.0,16636,2016年01月01日至2016年03月31日,-55782,-76977,-56210,-77405,-29754,-1567,394971,434444,39473,39473,69227,14098,0.0,0.0,0.0,38493,-58611,-31321,0.0,0,428,428
2016-08-11,2,2016,0.0,-3738.0,-0.02,6282,-8390,22852,,-9949,-13053,-0.2,-0.18,-9949.0,20707,,,-2445,-3178.0,14889,2016年第2季,-29500,-39449,-30875,-40824,-17072,12017,283455,338550,55095,55095,72167,12691,0.0,,,44587,-25762,-5055,0.0,0,1375,1375
2016-11-09,3,2016,0,2338,0.02,-25126,-55492,50468,,-56665,-27747,-0.29,-0.31,-56665,-8828,,,3318,-3792,15710,2016年第3季,-40212,-96877,-44847,-101512,-49672,-1706,362410,384721,22311,22311,71983,13622,0,,,42651,-42550,-51378,0,0,4635,4635
