date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,47.0,173,,,9981,2525,2525.0,,1911,3891.0,1738,0.05,9964.0,0.0,,0,,0.0,0.0,14751,2013年01月01日至2013年03月31日,4473,6384,4473,6384,,-4142,8615,368021,403649,35628,35628,39770,7968,,,,17051,4473,4473,,64.0,,,3891,,,0.0,,0.0,,
2013-08-09,2,2013,,,340.0,-190,,,5308,3997,,,1165,3411.0,1355,0.03,5651.0,0.0,,0,0.0,,0.0,17078,2013年04月01日至2013年06月30日,2888,4053,2888,4053,,-3006,5894,416525,457729,41204,41204,44210,8541,,,,18591,2888,2888,,0.0,3.0,,3411,,,0.0,,0.0,,
2013-11-06,3,2013,,,1895.0,686,,,-2584,3020,,,-198,3337.0,-884,0.08,0.0,907.0,,0,0.0,,0.0,18100,2013年07月01日至2013年09月30日,6457,6259,6457,6259,,9358,-2901,389852,431572,41720,41720,32362,3441,,,,10821,6457,6457,,218.0,,,3337,,,,,,,
2014-03-24,4,2013,,,1046.0,322,,,69504,3057,,,-365,13174.0,1444,0.06,16791.0,0.0,,0,0.0,,0.0,67179,2013年01月01日至2013年12月31日,4683,4318,4683,4318,10.0,-54704,59387,1577908,1709472,131564,131564,186268,18509,,-2131.0,,100580,4683,4683,,272.0,,53497.0,13174,,,,,,,
2014-05-12,1,2014,,,78.0,-372,,,8433,1740,1740.0,,1451,2430.0,1823,0.1,8358.0,,,0,,,,20857,2014年01月01日至2014年03月31日,8529,9980,8529,9980,,786,7743,404363,445539,41176,41176,40390,4414,,,,15119,8529,8529,,127.0,,,2430,26.0,,,,,,
2014-08-11,2,2014,,,102.0,2521,,,-5719,26880,,,785,1940.0,-1736,0.01,0.0,6173.0,,0,,,,14318,2014年第2季,1160,1945,1160,1945,,-18061,19221,342241,369550,27309,27309,45370,6690,,,,24362,1160,1160,,156.0,0.0,,1940,400.0,,,,,,
2014-11-10,3,2014,,,113.0,-793,,,3750,1092,,,878,2125.0,1671,-0.04,4037.0,0.0,,0,,,,15674,2014年第3季,-3413,-2535,-3413,-2535,,-6130,2717,343336,370428,27092,27092,33222,1939,,,,15609,-3413,-3413,,94.0,,458.0,2125,,726.0,,,,,
2015-03-10,4,2014,,,509.0,2802,,,18458,30732,,,2879,8541.0,5393,0.09,19643.0,,,0,,,,77913,2014年度,7631,10510,7631,10510,0.0,-33018,40649,1447423,1578255,130832,130832,163850,16264,,-5316.0,,69673,7631,7631,,-442.0,,458.0,8541,-692.0,,,,,,
2015-05-11,1,2015,,,13.0,-496,,,419,647,647.0,,-4468,1487.0,-3972,0.1,0.0,4137.0,-4468.0,0,,,,15809,2015年01月01日至2015年03月31日,8768,4300,8768,4300,,9189,-421,298159,339500,41341,41341,32152,3521,,,,12822,8768,8768,,27.0,,4542.0,1487,0.0,,,,,,
2015-08-12,2,2015,,,0.0,0,,,-4704,4684,4684.0,,0,1014.0,0,0.14,0.0,4708.0,0.0,0,,,,26039,2015年第2季,11771,11771,11771,11771,,12805,-1034,348963,403828,54865,54865,42060,4239,,,,11782,11771,11771,,0.0,,4.0,1014,0.0,,,,,,
