date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,地產出售成本,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,天然氣銷貨收入（天然氣業）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資損失合計,投資支出（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,重估增值,金融資產重分類淨損益,金融資產（負債）出售淨損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,,-19576.0,,35372,,,1074.0,142952,5032,1898.0,,,89440,,3134.0,48843.0,,,,54068,,0.52,0.52,155232.0,,,,,4349,,,,,,,,8807.0,-8807,,71945,2013年01月01日至2013年03月31日,,,166226,255666,,166226,255666,80241,90334,4117907,4406225,288318,288318,208077,,,4349.0,81811,,,,,54321,166226,170575,,,,,0.0,48843,0.0,31856.0,,,,,2060.0,4117907.0,4117907.0,4406225.0,4406225.0,4406225.0,,,
2013-08-06,2,2013,,,,0.0,-16094,0.0,0.0,,36093,5330,,,0.0,14164,,,,,,,30258,,1.31,,,,,0.0,,28133,,,,,,,,,-11113,,116670,2013年04月01日至2013年06月30日,0.0,,419959,434123,,419959,434123,467023,-18931,4298161,5029098,730937,730937,263914,,,,84852,,,,,62392,419959,448092,,,,,,49241,,,,,,,,,4298161.0,,,5029098.0,,0.0,0.0
2013-11-05,3,2013,,,,,5208,0.0,0.0,,34304,5953,5953.0,,0.0,-16796,,,,,,,-22004,,1.34,,,,,0.0,,-10009,,,,,,,,,-9248,,40035,2013年07月01日至2013年09月30日,0.0,,431108,414312,,431108,414312,425867,-4768,3830183,4458989,628806,628806,202939,,,,106576,,,,,56328,431108,421099,,,,,,35777,,,,,0.0,,,3830183.0,3830183.0,4458989.0,4458989.0,4458989.0,0.0,0.0,0.0
2014-02-26,4,2013,,,,0.0,52208,,,,273736,25397,25397.0,0.0,0.0,151988,0.0,,0.0,,0.0,,99595,0.0,4.42,,,,0.0,0.0,,21105,0.0,0.0,,0.0,,0.0,,,-50398,,301378,2013年01月01日至2013年12月31日,0.0,,1416963,1568951,0.0,1416963,1568951,1350931,87137,15778554,18065124,2286570,2286570,935639,0.0,,,402239,,185.0,,4.41,232022,1416963,1438068,,0.0,,0.0,,161598,,,0.0,,0.0,0.0,,15778554.0,15778554.0,18065124.0,18065124.0,18065124.0,0.0,,
2014-04-30,1,2014,,,,,9574,0.0,,,-19151,7709,,,,1028,,3187.0,26192.0,,,,-8546,,1.19,,,,,,,0,,,,,,,0.0,15422.0,-15422,,91222,2014年01月01日至2014年03月31日,,,380193,381221,,380193,381221,433249,-53056,3326326,4027617,701291,701291,268042,,,,113039,,,4522.0,1.18,63781,380193,380193,,,,,,26192,,,,,,,,3326326.0,3326326.0,4027617.0,4027617.0,4027617.0,,0.0,
2014-08-05,2,2014,,,-5766.0,,-9373,0.0,0.0,5086.0,21324,9105,,0.0,0.0,-45426,,5086.0,,,,,-36053,,1.0,,0.0,32789.0,,,,-265,,,,,,,,,-11221,,90617,2014年第2季,,,319101,273675,,319101,273675,323441,-4605,3621329,4246710,625381,625381,301940,,,,139480,,,4019.0,0.99,71843,319101,318836,,,,,,23813,48347.0,,,,0.0,,,3621329.0,3621329.0,4246710.0,4246710.0,4246710.0,0.0,0.0,0.0
2014-10-30,3,2014,,,,,9066,0,0,,-54479,14781,,,,178282,,,,,,,169216,,0.54,,,,,,,11617,,,,,,,,,-15542,,95737,2014年第3季,,,171918,350200,,171918,350200,260299,-76764,3615047,4138634,523587,523587,263288,,,,92319,,,,0.53,75232,171918,183535,,,,,,21524,,,,,,,,,,,,,,0,0
2015-03-05,4,2014,,,,,9872,,,,30300,40873,,,,186397,,40873.0,,,,,185358,,3.31,,,,,,,15273,,,,,,,,,-62158,,363780,2014年度,,,1060022,1246419,,1060022,1246419,1156284,-80989,14278199,16517112,2238913,2238913,1082629,,,,441199,,-8833.0,,3.26,277650,1060022,1075295,,,,,,90004,,,,,0.0,,,14278199.0,14278199.0,16517112.0,16517112.0,16517112.0,0.0,,
2015-04-30,1,2015,0.0,0.0,,,-38458,,,,51678,10852,,,,-65420,,,,0.0,,0.0,-26962,,0.68,,,,,,-65420.0,5264,,,0.0,,0.0,,,,-17773,0.0,136686,2015年01月01日至2015年03月31日,,5264.0,217176,151756,0.0,217176,151756,195413,27027,3237514,3839473,601959,601959,406546,,0.0,,179743,0.0,,,0.67,90117,217176,222440,0.0,,0.0,,,17730,,,,0.0,,,,3237514.0,3237514.0,3839473.0,3839473.0,3839473.0,,,
2015-07-30,2,2015,0.0,0.0,,,-40558,,,,61197,7874,,,,-71004,0.0,,,0.0,,0.0,-30446,,0.46,,,,0.0,,-71004.0,58104,,,0.0,,0.0,,,,-14703,,143199,2015年第2季,,58104.0,147566,76562,0.0,147566,76562,168017,37653,3133845,3703018,569173,569173,401156,,0.0,,158647,0.0,,,0.45,99310,147566,205670,0.0,,0.0,,,16715,,,,0.0,,,,3133845.0,3133845.0,3703018.0,3703018.0,3703018.0,,,
