date,season,year,不重分類至損益之項目總額（稅後）,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他什項淨利益（損失）,其他利息以外淨損益,其他業務及管理費用,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,折舊及攤銷費用,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,收益,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,費用,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-22,1,2013,,-3499,-44741.0,,1240,,49790,189437,607323,655483,363460,292023,-17671,388048,15417,0.12,,-66499,416623,27739,-1345.0,,8603,1262806,2013年01月01日至2013年03月31日,,-30669.0,316731,286062,970783,605224,,,,,316731,383230.0,,0.12,,,879576,-990.0,,135556,9732,11985
2013-08-26,2,2013,,21862,-59990.0,,2674,,86648,193419,541548,623947,337623,286324,-10000,400067,15949,0.09,,-59346,443030,27654,-8305.0,,12015,1165495,2013年04月01日至2013年06月30日,,-52346.0,208685,156339,879171,621140,,,,,208685,268031.0,,0.09,,,897464,-29378.0,,4697,-29321,-27849
2013-11-20,3,2013,,-28370,-190295.0,,-1747,,59316,191629,668842,670738,390964,279774,45978,401839,-16414,0.12,,-57960,515893,24363,-32896.0,,15900,1339580,2013年07月01日至2013年09月30日,,-239605.0,338037,98432,1059806,617831,,,,,338037,395997.0,,0.12,,,943583,0.0,,107850,17485,13639
2014-03-26,4,2013,,8510,-199096.0,,11346,,299261,797135,2724425,2603726,1489222,1114504,22722,1636852,26932,0.52,,-241333,1836965,109018,-40040.0,,142383,5328151,2013年01月01日至2013年12月31日,,-210673.0,1406587,1195914,4213647,2543005,,371.0,,,1406587,1647920.0,,0.52,,1160.0,3680231,-46573.0,,472533,56377,65254
2014-05-21,1,2014,,41120,53764.0,,-16682,,110046,197485,1014332,686422,436804,249618,16455,452964,-1245,0.21,,-101842,547752,26212,10843.0,,15954,1700754,2014年01月01日至2014年03月31日,,63362.0,656178,719540,1451136,676661,,,,0.21,656178,758020.0,,,,,942734,,,316142,124375,146801
2014-08-27,2,2014,,48094,24478.0,,-9084,,204835,210569,899177,563872,334822,229050,393,440062,-15697,0.21,,5759,583125,25152,12485.0,,15211,1463049,2014年第2季,,21266.0,563582,584848,1233999,675783,,,,0.21,563582,557823.0,,,,,905226,,-24537.0,81533,11773,8695
2014-11-26,3,2014,,26971,-194771.0,,13749,48051.0,128630,200444,719178,692778,422984,269794,50929,421019,30424,0.14,,-79389,573044,25350,-7220.0,,17786,1411956,2014年第3季,,-171567.0,365031,193464,1142162,646813,,,80579.0,0.14,365031,444420.0,,,,,967536,,0.0,-41002,-4249,-14135
2015-03-25,4,2014,,102651,49587.0,,25280,262013.0,576467,816927,3215713,2659871,1640325,1019546,80720,1783918,67233,0.66,,-263727,2222739,102380,22297.0,,66299,5875584,2014年度,,132010.0,1808366,1940376,4856038,2703225,,-8537.0,314454.0,0.66,1808366,2072093.0,,,,1430.0,3803491,,-106278.0,328555,75568,92201
2015-05-27,1,2015,,57676,,105391.0,-14075,46116.0,66886,193272,782672,752029,479656,272373,30247,417831,-21292,0.18,91388.0,-103123,504577,26173,,7289.0,21242,1534701,2015年01月01日至2015年03月31日,91388.0,,491682,583070,1262328,637276,,,20770.0,0.18,491682,,594805.0,,,,939896,,-2444.0,148810,25659,18744
2015-08-26,2,2015,,61002,,-168028.0,-2745,45509.0,66480,220043,855994,749389,476293,273096,147402,445572,-25708,0.15,-188838.0,-83578,555658,25932,,4898.0,20895,1605383,2015年第2季,-188838.0,,409760,220922,1332287,691547,,,20971.0,0.15,409760,,493338.0,,,,1112045,,0.0,154704,7532,-17155
2015-11-25,3,2015,,-291,,-54438.0,-8883,63048.0,83084,249722,744997,690433,431957,258476,18635,434217,88621,0.12,51221.0,-123840,542706,25105,,17038.0,29675,1435430,2015年第3季,51221.0,,325435,376656,1176954,709044,,,20036.0,0.12,325435,,449275.0,,,,986155,,0.0,98706,647,-54920
2016-03-28,4,2015,-19530.0,131093,,192020.0,-77054,155549.0,238534,874007,3099933,2880943,1839733,1041210,259460,1731892,14348,0.58,258305.0,-377296,2187089,102465,,51937.0,92101,5980876,2015年度,238775.0,,1594546,1833321,4939666,2708364,-23556.0,,82985.0,0.58,1594546,,1971842.0,,4026.0,,4009034,,-100842.0,629012,31287,-25801
2016-05-25,1,2016,,29362,,424009.0,-30253,58399.0,78544,194909,1030923,716765,486769,229996,22293,453495,-27508,0.24,412560.0,-115122,569454,23489,,16059.0,25655,1747688,2016年01月01日至2016年03月31日,412560.0,,708384,1120944,1517692,671893,,,20145.0,0.24,708384,,823506.0,,,,924182,,0.0,358161,54256,71443
2016-08-24,2,2016,,40046,,181945.0,-31676,174583.0,195196,205833,865609,738403,525410,212993,-23968,441926,-23058,0.22,167081.0,-140842,552382,22061,,8194.0,24575,1604012,2016年第2季,167081.0,,604325,771406,1391019,669820,,,20613.0,0.22,604325,,745167.0,,,,858845,,-38439.0,123525,13474,24721
2016-11-23,3,2016,,16569,,201751.0,-40263,94778.0,114228,186585,938924,726655,525643,201012,57923,443493,-53001,0.21,168480.0,-124693,579038,22611,,19730.0,25553,1665579,2016年第3季,168480.0,,629262,797742,1464567,652689,,,19450.0,0.21,629262,,753955.0,,,,911624,,-15261.0,259060,44003,45279
