date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,151787,-618,109747,2198456,2058432,0.3,,802757,,-15518.0,-13888,,688904,2013年01月01日至2013年03月31日,2355988,4554444,2230632,4352000,3602741,-443996,39909301,48189873,8280572,8280572,4677831,4524.0,,1984320,,,0.29,2004607,2355988,3158745,,769.0,539237,,125356,202444
2013-08-09,2,2013,,-25208,97051,89926,954086,962622,0.51,,1126786,,14732.0,-16893,,728281,2013年04月01日至2013年06月30日,3911138,4865224,3820412,4728744,5399802,-361878,40327872,50759768,10431896,10431896,5032094,1940.0,,2260063,,,0.5,2043750,3911138,5037924,,0.0,531962,,90726,136480
2013-11-12,3,2013,,6412,-299889,138396,-1024396,-1103586,0.59,,821884,,75104.0,6751,,755666,2013年07月01日至2013年09月30日,4546244,3521848,4430433,3437778,6098506,-730378,45161170,56748403,11587233,11587233,5488727,-2326.0,,2421399,,,0.57,2311662,4546244,5368128,,0.0,575636,,115811,84070
2014-03-12,4,2013,,14839,-963490,557014,3238026,2817268,2.09,,3201652,,55183.0,26300,,2983874,2013年01月01日至2013年12月31日,16155040,19393066,15689074,18798923,22044323,-2687631,177048702,219862446,42813744,42813744,20769421,1245.0,,9069018,,418843.0,2.03,8716529,16155040,19356692,,69352.0,2307455,,465966,594143
2014-05-08,1,2014,,58173,-240489,116713,1787899,1588607,0.45,,726839,,138250.0,-64226,,793635,2014年01月01日至2014年03月31日,3556478,5344377,3437872,5176219,5069678,-786361,44350522,54699586,10349064,10349064,5279386,2869.0,,2293666,,,0.44,2192085,3556478,4283317,,0.0,598359,,118606,168158
2014-08-11,2,2014,,-54762,-80301,139807,-1659595,-1718441,0.66,,818155,,113198.0,-30601,,845065,2014年第2季,5232937,3573342,5094365,3501205,6600187,-549095,46015351,58615249,12599898,12599898,5999711,410.0,,2680342,,,0.64,2474304,5232937,6051092,,0.0,578000,,138572,72137
2014-11-06,3,2014,,-58068,852981,209129,1303829,1439183,0.94,,1237088,,-77286.0,13436,,824018,2014年第3季,7352694,8656523,7204710,8446321,8083899,505883,52434333,66631897,14197564,14197564,6113665,0.0,,2551976,,,0.82,2737671,7352694,8589782,,0.0,569663,,147984,210202
2015-02-26,4,2014,,-133714,776290,588875,5475203,5404358,3.07,,4251513,,234125.0,-108726,,3439258,2014年度,24222086,29697289,23592667,28730614,29571257,-1097658,203051691,256591447,53539756,53539756,23968499,3279.0,,10295363,,-45884.0,2.95,10233878,24222086,28473599,,-13039.0,2354097,,629419,966675
2015-05-08,1,2015,,-54710,-385776,178708,-1677242,-1715519,0.58,-1677242,856180,,,3804,92987,879419,2015年第1季,4650436,2973194,4469201,2889947,6292268,-785652,52348743,64662158,12313415,12313415,6021147,,0,2547317,,,0.56,2594411,4650436,5506616,,,582388,,181235,83247
2015-08-05,2,2015,,13886,466670,119583,-1464709,-1468409,0.48,-1464709.0,1596176,,,-54394,-10186.0,871735,2015年第2季,3803635,2338926,3651434,2244300,5409347,-9536,58656524,70221812,11565288,11565288,6155941,,0.0,2732334,,,0.43,2551872,3803635,5399811,,,541395,,152201,94626
