date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,0.0,-17430,,,2049,2100,,,-17175,255,0.76,,14301,,,199342,2013年01月01日至2013年03月31日,68672,51497,68521,51499,78968,4005,207591,532755,325164,325164,246196,14301.0,352,,,,46502,68672,82973,,,144,207591.0,207591.0,646.0,,538759.0,532755.0,5358.0,151.0,-2.0
2013-08-12,2,2013,,0.0,-21174,,,672,12844,,,-21345,-171,0.56,,10293,,,196357,2013年04月01日至2013年06月30日,50950,29605,50644,29720,47727,13516,182737,466644,283907,283907,236180,10293.0,399,,,,39424,50950,61243,0.0,,0,182737.0,182737.0,277.0,,468961.0,466644.0,2040.0,306.0,-115.0
2013-11-12,3,2013,,0.0,6656,,,-421,9066,,,6147,-509,0.71,,12489,,,207954,2013年07月01日至2013年09月30日,64045,70192,63599,69889,68059,8475,209935,531802,321867,321867,253808,12489.0,389,,,,45465,64045,76534,0.0,,170,209935.0,209935.0,449.0,535161.0,535161.0,531802.0,2910.0,446.0,303.0
2014-03-14,4,2013,,,-11766,,,-2347,41566,,0.0,-25541,-393,2.55,,47115,,,814124,2013年01月01日至2013年12月31日,230577,205036,230963,206291,238964,38728,822203,2076258,1254055,1254055,1015091,,1629,,-16123.0,,199338,230577,277692,-2741.0,,491,822203.0,822203.0,2841.0,2090845.0,2090845.0,2076258.0,11746.0,-386.0,-1255.0
2014-05-13,1,2014,,0.0,-26350,,,3586,8198,,,-26012,338,0.92,,15704,,,210253,2014年01月01日至2014年03月31日,84577,58565,83060,56882,88570,11711,214911,556674,341763,341763,253193,,438,,,0.92,42502,84577,100281,,,73,,,,556674.0,556674.0,556674.0,,1517.0,1683.0
2014-08-12,2,2014,,,-22805,0.0,,-1688,9551,9551.0,,-22827,-22,0.54,,10198,,,203405,2014年第2季,49700,26873,49231,26415,52035,7863,210826,513884,303058,303058,251023,,472,,,0.54,47146,49700,59898,,,0,,,,,,,,469.0,458.0
2014-11-11,3,2014,,,-6416,,,-121,4811,,,-6411,5,0.55,,10337,,,214068,2014年第3季,50244,43833,49924,43511,56129,4452,215213,534906,319693,319693,263564,,485,,,0.55,49011,50244,60581,,,238,,,,,,,,320.0,322.0
2015-03-16,4,2014,,,-61149,,,7740,31178,,,-43735,1222,2.54,,46806,,,834398,2014年度,231846,188111,229782,185436,240339,38313,867724,2149080,1281356,1281356,1041017,,1810,,19508.0,,204809,231846,278652,3316.0,,605,867724.0,867724.0,,2149080.0,2149080.0,2149080.0,,2064.0,2675.0
2015-05-12,1,2015,,0.0,-3288,,,-842,2765,,,-4526,-1238,0.66,-4526.0,12673,,,213693,2015年01月01日至2015年03月31日,60119,55593,60104,56191,71067,1725,230412,565923,335511,335511,264444,,551,,,0.66,50200,60119,72792,,,198,,,,565923.0,565923.0,565923.0,,15.0,-598.0
2015-08-12,2,2015,,0.0,12629,0.0,,-2103,10293,,,12796,167,0.37,12796.0,6848,,,205668,2015年第2季,33018,45814,33523,46257,31700,8166,210715,497936,287221,287221,255521,,893,,,0.37,48960,33018,39866,,,24,,,,,,,,-505.0,-443.0
2015-11-09,3,2015,,0.0,-13800,0.0,,5534,9450,,,-14682,-961,0.48,-14682.0,8738,-848.0,79.0,216646,2015年第3季,43827,29145,43145,28908,38718,13847,226950,527159,300209,300209,261491,,804,,,0.48,44041,43827,52565,,,289,,,,527159.0,527159.0,527159.0,,682.0,237.0
2016-03-14,4,2015,4619.0,0.0,-7980,97.0,-783.0,38302,23896,,,-6179,-1796,2.31,-10798.0,36540,-1023.0,-236.0,840631,2015年度,209277,203098,209180,203881,185460,60357,909978,2132584,1222606,1222606,1037146,,3199,4619.0,,2.3,193316,209277,245817,,786.0,818,,,,2132584.0,2132584.0,2132584.0,,,
