date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位稅後損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,停業單位資產或處分群組處分損益（稅後）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,,,,381,2281,10564,10564.0,,7237,,,6856,0.01,,,,,,,0.0,,9313.0,2013年01月01日至2013年03月31日,,,-681,6556,,2387,9624,-12781,12100,181373,199473,18100,18100,30881,,,3508.0,,,,,18060.0,-681,-681,,,,,,745.0,,,181373.0,181373.0,6945.0,206418.0,206418,199473,,-3068,-3068
2013-08-12,2,2013,,,,,,,231,-7740,7155,7155.0,,-481,,,-712,-0.01,,,-64.0,,,,0.0,,4416.0,2013年04月01日至2013年06月30日,,,-4169,-4650,,-1243,-1385,-2842,-1391,210623,235105,24482,24482,27324,,-64.0,2994.0,,,,,19914.0,-4169,-4233,,,,,,806.0,,0.0,,,4700.0,239805.0,239805,235105,0.0,-2926,-3265
2013-11-12,3,2013,,,,,,,92,-1441,14508,14508.0,0.0,-4148,,,-4240,0.01,,,0.0,,,,,,6091.0,2013年07月01日至2013年09月30日,,,621,-3527,,1434,-594,-12388,13009,226307,241177,14870,14870,27258,,,2955.0,,,0.0,,18212.0,621,621,0.0,,0.0,,,58.0,,0.0,226307.0,226307.0,3763.0,244940.0,244940,241177,0.0,-813,-2933
2014-03-21,4,2013,,,,,,,732,-6429,100695,100695.0,,7110,,,5783,0.33,0.0,,1309.0,,,,,,28187.0,2013年01月01日至2013年12月31日,0.0,,58674,65784,,54017,58219,-31893,91876,842008,929510,87502,87502,119395,,,12435.0,,595.0,,0.33,78773.0,58674,59983,,,,,,2390.0,,,,,20183.0,949693.0,949693,929510,,4657,7565
2014-05-13,1,2014,,,,,,,359,-1112,9638,9638.0,,7745,,,7386,0.06,,,,,,,0.0,,7285.0,2014年01月01日至2014年03月31日,,,5701,13446,,9022,13074,-2334,8035,240555,267094,26539,26539,28873,,,2795.0,,,,,18793.0,5701,5701,,,,,,491.0,,,240555.0,240555.0,4480.0,271574.0,271574,267094,,-3321,372
2014-08-14,2,2014,,,,,,,78,1325,11887,,,-10040,,,-10118,0.1,,,3958.0,,,,,,8190.0,2014年第2季,,,10910,870,,15752,10771,2212,12656,229116,261239,32123,32123,29911,,,2886.0,,,,0.1,18835.0,10910,14868,,,,,,556.0,,,229116.0,229116.0,4959.0,266198.0,266198,261239,,-4842,-9901
2014-11-12,3,2014,,,,,,,-141,1866,14006,,,7013,,,7154,0.1,,,0.0,,,,,,7746.0,2014年第3季,,,11168,18181,,15645,19081,-3971,15139,238123,264193,26070,26070,30041,,0.0,2841.0,,,,,19454.0,11168,11168,,,,,,733.0,,,238123.0,238123.0,4759.0,268952.0,268952,264193,,-4477,-900
2015-03-23,4,2014,,,30945.0,-26893.0,57838.0,,367,-12443,46835,,,9747,,,8650,0.63,,,4626.0,,,3126.0,3126.0,,17006.0,2014年度,,,89402,99149,,102311,112058,25565,37518,427533,534742,107209,107209,81644,,4626.0,11181.0,,730.0,,0.63,53457.0,58457,63083,,,,,,,,,427533.0,427533.0,13741.0,548483.0,548483,534742,,-12909,-12909
2015-05-12,1,2015,,,0.0,0.0,,,846,516,9616,,,-4849,,,-5695,0.14,,-4849.0,2040.0,,,,7934.0,,4626.0,2015年01月01日至2015年03月31日,,2040.0,22238,17389,,22601,17752,6212,18066,107236,134186,26950,26950,20738,,,2884.0,,,,0.14,13228.0,22238,24278,,,,,,0.0,,0.0,,,2595.0,136781.0,136781,134186,0.0,-363,-363
2015-08-11,2,2015,0.0,0.0,0.0,0.0,,,-36,-1653,9708,,,-83,0.0,0.0,-47,0.03,,-83.0,1638.0,,0.0,,-1285.0,0.0,4157.0,2015年第2季,,,5172,5089,0.0,5525,5442,40,6770,106408,124908,18500,18500,18460,,,2819.0,0.0,,,0.03,11484.0,5172,6810,,,,0.0,0.0,,0.0,,106408.0,106408.0,2772.0,127680.0,127680,124908,,-353,-353
