date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,408034,-111463,464717,3254807,1435349,2.79,,186315,1411424.0,497324,,849226,2013年01月01日至2013年03月31日,3735766,6990573,3740904,7000829,3087385,834696,13884058,23974209,10090151,10090151,7002766,5491352,,,2.78,662188,3735766,3922081,,,,15882,23974209.0,-5138,-10256
2013-08-05,2,2013,,,232401,-148141,635265,1270224,597405,5.01,,426860,440418.0,804166,,1101459,2013年04月01日至2013年06月30日,6716448,7986672,6722963,7985913,5887568,1255740,18891225,33276043,14384818,14384818,8497250,6516059,,,4.99,879732,6716448,7143308,,,,35550,,-6515,759
2013-11-04,3,2013,,,-47165,-61957,584217,-1807920,-893233,6.28,,618870,-867522.0,683989,,1204733,2013年07月01日至2013年09月30日,8416227,6608307,8428301,6616378,7865942,1169155,21867352,39007788,17140436,17140436,9274494,7074994,,,6.26,994767,8416227,9035097,,0.0,,37094,,-12074,-8071
2014-03-21,4,2013,,0.0,929781,-103672,2402627,4253825,1811177,20.51,,2062172,1554911.0,2150963,,4561934,2013年01月01日至2013年12月31日,27484650,31738475,27515052,31760633,25243720,4303102,76250370,136055954,59805584,59805584,34561864,26453942,,-42044.0,20.42,3545988,27484650,29546822,,0.0,,146816,,-30402,-22158
2014-04-30,1,2014,,,-298445,-455815,742204,1117999,1428233,6.82,,1361623,-11789.0,483744,,1133935,2014年01月01日至2014年03月31日,10139341,11257340,10147366,11235269,10812930,688034,23779339,46005002,22225663,22225663,11412733,8915460,,,6.8,1363338,10139341,11500964,,,,82099,46005002.0,-8025,22071
2014-07-31,2,2014,,,-160325,413685,948904,-3104474,-2936309,8.03,,1604605,-7840.0,143727,,2072204,2014年第2季,12548608,9444134,12558406,9467526,12760324,1392889,27309245,54133047,26823802,26823802,14063478,10402758,,,8.0,1588516,12548608,14153213,,,,113427,,-9798,-23392
2014-11-06,3,2014,,,750970,-74949,1191919,3463195,2703892,8.51,,1612328,8333.0,149779,,1521020,2014年第3季,13301237,16764432,13299240,16755299,13794101,1119464,29238133,57472148,28234015,28234015,14439914,11537947,,,8.46,1380947,13301237,14913565,,0.0,,147285,,1997,9133
2015-03-19,4,2014,,0.0,878929,1120151,3483335,7268758,6684653,30.04,,5950882,-22549.0,983941,,7372827,2014年度,46399073,53667831,46397892,53627479,47241310,5108645,109194295,213062916,103868621,103868621,56627311,43337348,,-328043.0,29.96,5917136,46399073,52349955,,-55768.0,,478782,,1181,40352
2015-04-30,1,2015,,,-533496,-336314,883834,-1341116,-809109,4.62,-1341116.0,891186,,77716,1489.0,2168569,2015年01月01日至2015年03月31日,7250997,5909881,7225621,5888053,7671977,470206,25037623,47536221,22498598,22498598,14826621,10851192,,,4.61,1806860,7250997,8142183,,,,155030,47536221.0,25376,21828
2015-07-31,2,2015,,,262236,-620213,1119616,-379472,-641217,4.06,-379472.0,1029745,,141004,-491.0,1654870,2015年第2季,6377407,5997935,6350223,5956387,6866377,540775,25447682,47044056,21596374,21596374,14729997,10897246,,,4.05,2177881,6377407,7407152,,,0.0,99632,47044056.0,27184,41548
2015-10-30,3,2015,,,-1195064,726400,733517,3434301,4702549,5.09,3434301.0,1114408,,154906,-73184.0,1903708,2015年第3季,7959768,11394069,7954447,11403152,7621767,1452409,32657866,56962044,24304178,24304178,16682411,12342909,,,5.08,2435794,7959768,9074176,,,0.0,162414,56962044.0,5321,-9083
2016-03-17,4,2015,261795.0,,-869752,-116187,3463849,1594830,2396294,16.6,1333035.0,3599761,,658079,-100603.0,9326054,2015年度,25768732,27363562,25958429,27527096,25907970,3460523,121075654,213255240,92179586,92179586,66271616,49528765,315416.0,,16.57,7416797,25768732,29368493,53621.0,,92904.0,545218,213255240.0,-189697,-163534
2016-04-29,1,2016,,,99652,108560,772867,-1771566,-1865958,2.79,-1771566.0,805200,,128151,13562.0,1995893,2016年01月01日至2016年03月31日,4472987,2701421,4362997,2587058,4403092,875095,34598088,55905486,21307398,21307398,16904306,13417166,,,2.79,1491247,4472987,5278187,,,18822.0,134483,55905486.0,109990,114363
2016-08-03,2,2016,,,-218796,-139685,881125,-1379321,-1120755,4.16,-1379321.0,1161769,,66892,-45739.0,3210590,2016年第2季,6589719,5210398,6499546,5167520,7069191,682297,46974155,72527311,25553156,25553156,18483965,13641491,,,4.15,1631884,6589719,7751488,,,-5969.0,126035,,90173,42878
2016-10-28,3,2016,,,354431,-83242,765657,-2452448,-2783499,4.98,-2452448.0,785120,,454864,13232.0,3532233,2016年第3季,7830287,5377839,7792050,5372555,7622077,993330,50786898,78403491,27616593,27616593,19994516,14591664,,,4.98,1870619,7830287,8615407,,,36612.0,143949,,38237,5284
