date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,459,1028.0,1391553,393590,205601,1625057,187989,86544,1617349,5.22,5.22,1400598,,,724206,,6680.0,21161,,68091,2013年01月01日至2013年03月31日,3925731,5550788,3922330,5575397,2930177,1719760,5380450,9232427,3851977,3851977,921800,196517,,,5.11,5.11,657192,3925731,4649937,,,215.0,86544,0.0,8801.0,,,,,,3401,-24609
2013-07-31,2,2013,,3081,-21792.0,1114091,197941,33451,971430,164490,77502,991699,4.84,4.84,1085860,0.0,,1225141,,1523.0,4835,,86819,2013年04月01日至2013年06月30日,3641144,4612574,3635954,4572041,3626920,1239365,5807392,10459627,4652235,4652235,1025315,250961,,,4.71,4.71,687535,3641144,4866285,,,12348.0,77502,18964.0,0.0,,,,,,5190,40533
2013-11-01,3,2013,,-25806,-10343,-94757,332695,234690,-755816,98005,59768,-741809,3.69,3.69,-120563,,,639040,,-3664,-8328,,82202,2013年07月01日至2013年09月30日,2776235,2020419,2770944,2016776,3245433,169842,6089893,10438226,4348333,4348333,1102900,194844,,,3.60,3.60,825854,2776235,3415275,,,,59768,,,,,,,,5291,3643
2014-02-06,4,2013,,-113021,-36667.0,2548399,1299822,641222,2760864,658600,291413,2788824,18.38,18.38,2435378,,,3711155,,6634.0,55806,,326495,2013年01月01日至2013年12月31日,13817120,16577984,13801184,16553748,13915661,3612614,24924824,43245550,18320726,18320726,4405065,843210,,2533.0,17.91,17.91,3235360,13817120,17528275,,460.0,,291413,,,,,,,,15936,24236
2014-04-29,1,2014,,-91842,1025.0,411581,291666,79377,1094957,212289,55914,1088591,3.97,3.97,319739,,,872009,,5341.0,3226,,88213,2014年01月01日至2014年03月31日,2986804,4081761,2983809,4076376,3208254,650559,6112490,10415869,4303379,4303379,1095125,181998,,,3.89,3.89,824914,2986804,3858813,,,,55914,,,,,,,,2995,5385
2014-08-11,2,2014,,-47844,0.0,-227891,525247,316301,-1469192,208946,40654,-1464795,4.84,4.84,-275735,,,1790040,,-4397.0,21961,,115448,2014年第2季,3645992,2176800,3643676,2178014,5157369,278663,6762263,13319014,6556751,6556751,1399382,285549,,,4.78,4.78,998385,3645992,5436032,,,,40654,,,,,,,,2316,-1214
2014-11-06,3,2014,,-51069,0.0,351733,518851,297626,1445428,221225,29577,1442274,6.36,6.36,300664,,,1481295,,3154.0,-4827,,178591,2014年第3季,4812180,6257608,4811219,6253378,5457295,836180,7434436,14528751,7094315,7094315,1637020,281421,,,6.25,6.25,1177008,4812180,6293475,,,,29577,,,,,,,,961,4230
2015-03-19,4,2014,,-209763,-14077,1384118,2297846,1472203,4783066,825643,164208,4788697,23.52,23.52,1174355,,,5656846,,11211,1922,,600724,2014年度,17887757,22670823,17877167,22649946,20024925,3519678,29176017,55277365,26101348,26101348,6076423,1060230,,-3332,23.21,23.21,4415469,17887757,23544603,,-567,,164208,,,,,,,,10590,20877
2015-04-28,1,2015,,-15496,0.0,-163371,218662,41720,-1289450,176942,38099,-1287351,6.04,,-178867,,-1289450.0,1584777,,,-10809,-2099.0,168554,2015年01月01日至2015年03月31日,4664919,3375469,4652343,3410656,6243313,6383,9290649,17400119,8109470,8109470,1866157,284387,,,6.03,,1413216,4664919,6249696,,,,38099,,,,,,,,12576,-35187
2015-08-05,2,2015,,-9884,0.0,-178186,869050,747043,-940439,122007,39801,-937840,6.81,6.81,-188070,,-940439.0,2903016,,,1260,-2599.0,266316,2015年第2季,5258352,4317913,5246992,4308016,7509045,652323,10581405,20129280,9547875,9547875,2038830,325709,,,6.8,6.8,1446805,5258352,8161368,,,,39801,,,,,,,,11360,9897
