date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,42221,-22963,8940,136128,,,109089,1.0,,,50529,,,3522.0,-2895,,,41929,2013年01月01日至2013年03月31日,,165564,301692,,166176,302168,233757,-17664,1785806,2278021,492215,492215,258458,,105180,,,1.0,111349,165564,216093,,18704.0,,,746,,-612,-476
2013-08-13,2,2013,,,8641,-16511,15582,47957,,,47459,0.54,,,19477,,,0.0,3175,,,47366,2013年04月01日至2013年06月30日,,90387,138344,,95219,143154,109386,478,1848371,2226549,378178,378178,268792,,117837,,,0.54,103589,90387,109864,,8143.0,,,1768,,-4832,-4810
2013-11-13,3,2013,,,-13164,-20895,15413,-41937,,,-34786,1.79,,,74116,,,0.0,8936,,,55179,2013年07月01日至2013年09月30日,,316161,274224,,315847,273967,388352,1925,2332378,3022827,690449,690449,302097,,123164,,,1.79,123754,316161,390277,,-6013.0,,,1529,,314,257
2014-03-24,4,2013,,,39969,-80512,52950,176315,,,172358,5.86,0.0,,244949,,,1696.0,1559,,,204653,2013年01月01日至2013年12月31日,0.0,1031146,1207461,,1030857,1207025,1307895,-31800,8773722,11258248,2484526,2484526,1176631,,481402,,-9543.0,5.84,490576,1031146,1276095,,28165.0,,,5797,,289,436
2014-05-13,1,2014,,,-8487,21507,15526,-5647,,,1544,1.56,,,53220,,,49.0,764,,,47319,2014年01月01日至2014年03月31日,,284595,278948,,274310,268443,300959,36856,2055960,2662575,606615,606615,305656,,140611,,,1.55,117726,284595,337815,,-1247.0,,,941,,10285,10505
2014-08-13,2,2014,,,419,-25644,22033,-56248,,,-64975,1.56,,,76549,,,0.0,4189,,,56335,2014年第2季,,298820,242572,,288627,230706,375172,197,2198321,2926561,728240,728240,353068,,162960,,,1.56,133773,298820,375369,,-8308.0,,,381,,10193,11866
2014-11-12,3,2014,,,261,9900,25174,74403,,,89298,2.15,,,87604,,,0.0,4316,,,65444,2014年第3季,,406598,481001,,397491,471199,454982,39220,2630003,3464156,834153,834153,379171,,162968,,,2.14,150759,406598,494202,,15156.0,,,170,,9107,9802
2015-02-25,4,2014,,,-9003,31812,88081,119724,,,161000,6.72,0.0,,280874,,,828.0,2110,,,266382,2014年度,0.0,1278215,1397939,,1243946,1359364,1438695,120394,9344147,12315998,2971851,2971851,1533156,,696262,,-7429.0,6.7,570512,1278215,1559089,,25672.0,,,1609,,34269,38575
2015-04-29,1,2015,0.0,0.0,18196,-36451,18962,-10446,0.0,0.0,-32664,0.35,,-10446.0,27377,0.0,0.0,,-3173,0.0,,66607,2015年第1季,,71466,61020,0.0,65139,50260,123547,-24704,2198602,2708332,509730,509730,386183,0.0,157028,0.0,,0.35,162548,71466,98843,0.0,,-4022.0,,4042,0.0,6327,10760
2015-07-30,2,2015,0.0,0.0,18382,-28763,20387,-56975,,,-88042,0.15,,-56975.0,-9222,0.0,0.0,,-3991,0.0,,61849,2015年第2季,,28721,-28254,0.0,28210,-15105,38888,-19389,2209224,2613940,404716,404716,365828,,152490,0.0,,0.15,151489,28721,19499,0.0,,-12685.0,0.0,7022,0.0,511,-13149
