date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資性不動產減損損失,投資性不動產減損迴轉利益,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備損失,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,759,,,45876,10290,1830,111598,8460,4400,111598,1.25,,12621.0,,,42137,,,,,40587,2013年01月01日至2013年03月31日,203133,314731,,203133,314731,,,193504,51766,955304,1283269,327965,327965,134461,,14972,,,1.25,,78902,203133,245270,,,,,,34014.0,4400,,,0.0,0.0,0.0,0.0
2013-07-29,2,2013,,,854,,,12725,15265,2910,51330,12355,4295,56463,1.43,,13579.0,,,56565,,,,,50296,2013年04月01日至2013年06月30日,233801,285131,,233801,285131,,,266671,23695,1130408,1562812,432404,432404,165733,,15424,,,1.43,,100013,233801,290366,,5133.0,,,,0.0,4295,,,0.0,0.0,0.0,0.0
2013-10-23,3,2013,,,2546,,,11871,16332,3738,-40314,12594,4963,-45447,1.56,1.56,-9455.0,,,60135,25278.0,,,,48526,2013年07月01日至2013年09月30日,254444,214130,,254444,214130,25278.0,,291339,23240,1193932,1623518,429586,429586,138247,,12702,,,1.56,1.56,77019,254444,314579,,-5133.0,,,,49150.0,4963,,,,,,
2014-02-26,4,2013,,,2742,,,95053,73709,20584,167163,53125,20250,174324,5.55,5.55,45842.0,,,204391,25278.0,,,,194282,2013年01月01日至2013年12月31日,905170,1072333,,905170,1072333,25278.0,,961049,148512,4369329,5927937,1558608,1558608,597559,,58692,,-1558.0,5.55,5.55,344585,905170,1109561,,5603.0,,,5933.0,83164.0,20250,,,,,,
2014-04-23,1,2014,,,4481,,,-69041,28999,8109,57875,20890,6547,69729,0.54,0.54,-17161.0,,,22134,,,,,41504,2014年01月01日至2014年03月31日,88825,146700,,88825,146700,,,157548,-46589,1095886,1397751,301865,301865,144317,,14345,,,0.54,0.54,88468,88825,110959,,11854.0,,,,0.0,6547,47399.0,,,,0.0,0.0
2014-07-18,2,2014,,,503,0.0,0.0,-12978,16528,927,-69815,15601,5827,-84114,0.72,,-9349.0,,,46870,,,,,62469,2014年第2季,118099,48284,,118099,48284,,,167246,-2277,1201950,1540688,338738,338738,171492,,9806,,,,,99217,118099,164969,,-14299.0,,,,0.0,5827,3126.0,,,,0.0,0.0
2014-10-22,3,2014,,,4697,0.0,0.0,56123,18171,5213,64407,12958,5842,77599,1.22,1.22,32173.0,,,42951,0.0,,,,68508,2014年第3季,198882,263289,,198882,263289,0.0,,173381,68452,1238128,1594001,355873,355873,182492,,16300,,,1.22,1.22,97684,198882,241833,,13192.0,,,,0.0,5842,-28647.0,,,,0.0,0.0
2015-02-25,4,2014,,,10508,0.0,0.0,46682,83589,20631,207321,62958,24420,253074,3.82,3.82,59529.0,,,166101,,4213.0,,,246246,2014年度,622167,829488,,622167,829488,,4213.0,682417,105851,4790044,6169791,1379747,1379747,697330,,66895,,-3284.0,3.81,3.81,384189,622167,788268,,42469.0,,,6552.0,0.0,24420,,,,,0.0,0.0
2015-04-20,1,2015,0.0,0.0,1730,0.0,0.0,-3901,13661,2534,-51601,11127,5524,-62175,0.77,0.77,,2171.0,-51601.0,37872,,,0.0,0.0,65703,2015年01月01日至2015年03月31日,124746,73145,0.0,124746,73145,,,158382,4236,1192454,1541058,348604,348604,190222,,16217,0.0,,0.76,0.76,108302,124746,162618,0.0,,-10574.0,0.0,,,5524,0.0,0.0,,,0.0,0.0
2015-07-20,2,2015,,,1183,,,-7352,7267,2031,-41925,5236,7883,-50512,0.68,0.68,,6169.0,-41925.0,43205,,,,,65213,2015年第2季,110302,68377,,110302,68377,,,161475,-7968,1331336,1693017,361681,361681,200206,,18981,,,0.68,0.68,116012,110302,153507,,,-8587.0,,,,7883,0.0,,,,,
