date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,77151,12563,20542,256213,171614,-0.26,,25353,7188.0,-4191,,216528,2013年01月01日至2013年03月31日,-680469,-424256,-691603,-407410,-600848,-54268,3720287,3656859,-63428,-63428,537420,115643,,,205249,-680469,-655116,,-260.0,,83182,11134,-16846
2013-08-14,2,2013,,-29205,-58534,68683,82435,109741,-0.24,,35566,935.0,-3967,,230421,2013年04月01日至2013年06月30日,-684142,-601707,-614631,-588729,-578561,-70015,3990924,3861546,-129378,-129378,449183,106085,,,112677,-684142,-648576,,-964.0,,76197,-69511,-12978
2013-11-14,3,2013,,-74296,51411,45502,-179018,-108010,-0.22,,217,5560.0,-1841,,252124,2013年07月01日至2013年09月30日,-660991,-840009,-575933,-754204,-680983,20209,3689085,3598590,-90495,-90495,590488,127699,,,210665,-660991,-660774,,2272.0,,74863,-85058,-85805
2014-03-28,4,2013,,246441,-134560,112464,592953,355802,-1.22,,254970,14079.0,-22022,,1175483,2013年01月01日至2013年12月31日,-3476608,-2883655,-3126948,-2565949,-2869589,-352049,15355991,14753588,-602403,-602403,2267186,325670,,-20572.0,766033,-3476608,-3221638,,2797.0,,307931,-349660,-317706
2014-05-14,1,2014,,159828,17616,78602,191638,30888,-0.33,,34441,1428.0,-7534,,242650,2014年01月01日至2014年03月31日,-942596,-750958,-853839,-728023,-928700,20545,3550385,3130197,-420188,-420188,508512,110144,,,155718,-942596,-908155,,506.0,,68139,-88757,-22935
2014-08-14,2,2014,,-160618,-162476,64603,-368806,-204860,-0.37,,54862,-1848.0,-8219,,216339,2014年第2季,-1019335,-1388141,-943701,-1204227,-787864,-176609,3077214,2794119,-283095,-283095,504769,105170,,,183260,-1019335,-964473,,1480.0,,70517,-75634,-183914
2014-11-14,3,2014,,-94250,47067,53929,113055,205516,-0.24,,46776,867.0,7438,,190963,2014年第3季,-663963,-550908,-614487,-489163,-658009,40822,3120847,2937712,-183135,-183135,474874,73795,,,210116,-663963,-617187,,-922.0,,67612,-49476,-61745
2015-03-23,4,2014,,-161241,-233379,153298,137349,311311,-1.29,,282750,2539.0,26382,,1027130,2014年度,-3737386,-3600037,-3316457,-3133367,-3118105,-336531,13457496,12353998,-1103498,-1103498,2014607,380791,,-15260.0,606686,-3737386,-3454636,,,,282832,-420929,-466670
2015-05-12,1,2015,,158588,-113126,46206,8414,-150441,-0.28,8414,32041,,-10675,-1085,263119,2015年01月01日至2015年03月31日,-751010,-742596,-723692,-782022,-583035,-135934,3000652,2920124,-80528,-80528,502507,88677,,,150711,-751010,-718969,,,-1352,58339,-27318,39426
2015-08-12,2,2015,,78393,512640,33801,-77046,-154518,0.01,-77046.0,33707,,-4827,-1695.0,188694,2015年第2季,28944,-48102,34991,-65879,-420347,482998,2602148,2612582,10434,10434,430781,100917,,,141170,28944,62651,,,-774.0,58616,-6047,17777
2015-11-12,3,2015,,-95246,59561,51733,317637,410312,-0.22,317637,50390,,-6961,2515,210358,2015年第3季,-576821,-259184,-586508,-262071,-553064,26633,2704355,2662883,-41472,-41472,511592,94032,,,207202,-576821,-526431,,,-56,77700,9687,2887
2016-03-23,4,2015,18936,207415,401177,176159,91442,-136218,-0.84,72506,248721,,-30635,-315,972435,2015年度,-2252798,-2161356,-2162664,-2124584,-2300415,296338,11155505,11080145,-75360,-75360,2225055,364750,22951,,887870,-2252798,-2004077,4015,,-1624,250363,-90134,-36772
2016-05-04,1,2016,,17535,-94037,45982,-76842,-93660,-0.19,-76842.0,33981,,-2892,-490.0,218794,2016年01月01日至2016年03月31日,-499571,-576413,-477216,-572313,-363407,-102183,2649344,2739580,90236,90236,453643,90633,,,144216,-499571,-465590,,,227.0,51236,-22355,-4100
2016-08-11,2,2016,,-38688,-59782,67915,-193145,-154508,-0.24,-193145.0,28877,,-8106,74.0,220628,2016年第2季,-415624,-608769,-413828,-574471,-340669,-46078,2638260,2779614,141354,141354,482023,91882,,,169513,-415624,-386747,,,23.0,46105,-1796,-34298
2016-11-10,3,2016,,98781,-127400,42829,-147216,-245444,-0.23,-147216.0,54985,,-4360,-680.0,157443,2016年第3季,-377368,-524584,-391280,-594145,-186312,-136071,2263395,2493071,229676,229676,415988,91021,,,167524,-377368,-322383,,,-127.0,47140,13912,69561
