date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）
2013-05-10,1,2013,,-27651,,50372,15036,17237,13651,53850,0.16,,-9149,,,9334,,101793,2013年01月01日至2013年03月31日,52361,69598,52361,69598,-17879,61091,4254033,4389762,135729,135729,153608,6111,,,0.16,45704,52361,43212,,8962.0,,13651,4254033,4389762,
2013-08-07,2,2013,,-18954,0.0,49385,39989,18664,15789,45208,0.16,,159,,,11463,,113137,2013年04月01日至2013年06月30日,52624,71288,52624,71288,-32265,85048,5623172,5753362,130190,130190,162455,5374,,,0.16,43944,52624,52783,,7590.0,,15789,5623172,5753362,0.0
2013-11-11,3,2013,,17319,,-10645,16530,4143,12498,-15757,-0.02,,-3192,,,6162,,118933,2013年07月01日至2013年09月30日,-8115,-3972,-8115,-3972,-10856,-451,5801822,5961926,160104,160104,170960,5778,,,-0.02,46249,-8115,-11307,,-2581.0,,12498,5801822,5961926,
2014-03-13,4,2013,,-36560,,109900,101317,47866,57197,115717,0.05,,-2509,,5689.0,32202,,477683,2013年01月01日至2013年12月31日,17383,65249,17383,65249,-171348,186222,20930084,21438961,508877,508877,680225,23209,,-20684.0,0.05,179333,17383,14874,,16296.0,,57197,20930084,21438961,
2014-05-09,1,2014,,-14523,,-43088,15978,-4486,21359,18452,-0.65,,-7486,,-5278.0,1425,,116483,2014年01月01日至2014年03月31日,-212860,-217346,-212860,-217346,-173302,-47044,4369599,4363504,-6095,-6095,167207,4969,,,-0.65,45755,-212860,-220346,,3137.0,,21359,4369599,4363504,
2014-08-07,2,2014,,-9151,0.0,-27291,29786,-34035,28130,-32547,-0.24,,951,,2130.0,1978,,127747,2014年第2季,-79838,-113873,-79838,-113873,-55230,-23657,5596495,5721611,125116,125116,180346,4629,,,-0.24,47970,-79838,-78887,,-5533.0,,28130,5596495,5721611,0.0
2014-11-07,3,2014,,-59861,,23509,19952,-46525,28438,28145,-0.34,,-8395,,-10025.0,2740,,130733,2014年第3季,-111898,-158423,-111898,-158423,-138056,17763,5779254,5827497,48243,48243,186299,4979,,,-0.34,50587,-111898,-120293,,4784.0,,28438,5779254,5827497,
2015-03-11,4,2014,,-46671,,16229,92806,9577,103036,81014,-1.93,,-7024,,-4255.0,3738,,516681,2014年度,-631186,-621609,-631186,-621609,-647947,9737,20855152,20933816,78664,78664,726611,19483,,-8119.0,-1.93,190447,-631186,-638210,,12392.0,,103036,20855152,20933816,
2015-05-11,1,2015,,-19280,,-12591,22380,-47202,20254,-25546,0.25,-47202.0,-8484,,,-754,-6718.0,138028,2015年01月01日至2015年03月31日,82198,34996,82198,34996,84933,-11219,3798998,4075100,276102,276102,191169,4976,,,0.25,48165,82198,73714,,,-4342.0,20254,3798998,4075100,
2015-08-07,2,2015,,-52805,0.0,-16014,33315,-69516,17036,-11079,0.58,-69516.0,40143,,,3347,-7516.0,125399,2015年第2季,190194,120678,190194,120678,226725,3612,4617025,5026391,409366,409366,182641,5207,,,0.58,52035,190194,230337,,,-1884.0,17036,4617025,5026391,0.0
2015-11-11,3,2015,,13470,,-39451,41312,19696,18275,3436,-0.55,19696.0,-10504,,,-4449,3374.0,101240,2015年第3季,-181325,-161629,-181325,-161629,-170966,-20863,4102277,4090059,-12218,-12218,158748,4202,,,-0.55,53306,-181325,-191829,,,584.0,18275,4102277,4090059,
2016-03-11,4,2015,-21214.0,-65997,0.0,-90143,110994,-163002,70206,-73012,0.21,-141788.0,26940,-14.0,,-1483,-16135.0,490129,2015年度,67525,-95477,67525,-95477,145303,-50838,16155834,17028115,872281,872281,726978,19034,-25542.0,,0.21,217815,67525,94465,-4342.0,,-13356.0,70206,16155834,17028115,0.0
