date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨收入淨額
2013-04-29,1,2013,,4205,166016,29324,25619,188512,3705,4531,196785,0.61,0.61,72541.0,,,23200,-8273.0,,,,2013年01月01日至2013年03月31日,254156,442668,254156,442668,86547,190809,548939,668388,119449,119449,32902,,,0.61,0.61,254156,277356,,87907.0,9773.0,4531,,,
2013-08-12,2,2013,,4163,144963,11553,6826,29619,4727,5982,38897,0.36,0.36,101418.0,,,17300,-9278.0,3742.0,3742.0,,2013年04月01日至2013年06月30日,151175,180794,151175,180794,14199,154276,639013,690783,51770,51770,37571,,,0.36,0.36,151175,168475,,70888.0,0.0,5982,,23180.0,
2013-11-01,3,2013,,2095,2261,9927,5458,-73224,4469,5954,-106570,0.14,0.14,0.0,12663.0,,15528,33346.0,-4.0,-4.0,,2013年07月01日至2013年09月30日,57307,-15917,57307,-15917,66605,6230,624462,732540,108078,108078,41473,,,0.14,0.14,57307,72835,,0.0,0.0,5954,17019.0,0.0,
2014-02-27,4,2013,,13543,365877,82953,64914,208375,18039,22399,187295,1.3,1.3,209183.0,,,64970,16547.0,,3594.0,,2013年01月01日至2013年12月31日,542293,750668,542293,750668,177238,430025,2446826,2772840,326014,326014,148776,,4533.0,1.3,1.3,542293,607263,,159047.0,11190.0,22399,0.0,,
2014-05-05,1,2014,,1965,-5716,21537,15113,143034,6424,6898,164596,0.22,0.22,10968.0,,,18000,-21562.0,,,,2014年01月01日至2014年03月31日,93008,236042,93008,236042,102085,8923,571503,705939,134436,134436,32351,,,0.22,0.22,93008,111008,,0.0,0.0,6898,,14719.0,
2014-08-07,2,2014,,1016,-21107,119613,112967,-161567,6646,6872,-151539,0.19,0.19,0.0,10761.0,,70000,-10028.0,4008.0,4008.0,,2014年第2季,79425,-82142,79425,-82142,53783,95642,649731,735309,85578,85578,31795,,,0.19,0.19,79425,149425,,0.0,0.0,6872,,9330.0,
2014-11-03,3,2014,,1410,21975,6543,702,140325,5841,5152,139573,0.11,0.11,6977.0,0.0,,20000,752.0,3.0,3.0,,2014年第3季,44946,185271,44946,185271,41577,23369,670216,744220,74004,74004,32427,,,0.11,0.11,44946,64946,,0.0,0.0,5152,16408.0,0.0,
2015-03-12,4,2014,,9197,50956,156448,132300,432421,24148,23226,460113,0.73,0.73,20020.0,,,117000,-32844.0,,3905.0,,2014年度,305504,737925,305504,737925,234421,188083,2531797,2897517,365720,365720,131299,,5152.0,0.73,0.73,305504,422504,,0.0,0.0,23226,40133.0,,
2015-05-06,1,2015,,3821,11740,6968,3335,-95225,3633,3497,-87202,0.2,0.2,0.0,,-95225.0,2500,,,,-8023.0,2015年01月01日至2015年03月31日,83438,-11787,83438,-11787,70727,15211,567713,667287,99574,99574,28847,,,0.2,0.2,83438,85938,,,,3497,15561.0,0.0,
2015-08-07,2,2015,,1138,-94931,64438,61028,-123038,3410,3294,-108747,-0.08,-0.08,,5725.0,-123038.0,17500,,3191.0,3191.0,-14291.0,2015年第2季,-32651,-155689,-32651,-155689,15445,-30596,639647,683391,43744,43744,28299,,,-0.08,-0.08,-32651,-15151,,,,3294,,88068.0,
