date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,債息收入,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,利息收入,勞務收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,地產出售收入（開發投資公司適用）,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入合計,投資收入（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,酬勞收入,重估價之利益（損失）,重估增值,金融資產重分類淨損益,金融資產（負債）出售淨利益,銷貨成本,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,,,,,6953,4229,,,,,,,,,,,,,0.21,,,4249,,,,,,,,44720,,2013年01月01日至2013年03月31日,,20189,20189,,20189,20189,,19896,4542,1185282,1289235,103953,103953,84057,,,4249.0,16411,,,,0.2,22926,20189,24438,,,,,6640,,,,,,1185282.0,1185282,1289235.0,,,
2013-08-12,2,2013,,,0.0,,,,,-6851,7795,,,,,,,,,,,,,0.19,0.0,,9411,,,,,,0.0,,47153,,2013年04月01日至2013年06月30日,0.0,18237,18237,,18237,18237,,34946,-7298,1162221,1286348,124127,124127,89181,,,,18066,,,,0.17,23962,18237,27648,,,,,8242,,,,,,,1162221,,,,
2013-11-11,3,2013,,,0.0,0.0,,0.0,,1415,3977,,,0.0,0.0,,,,,0.0,,0.0,,0.37,0.0,,7871,,,,,0.0,,,47874,,2013年07月01日至2013年09月30日,0.0,35002,35002,0.0,35002,35002,,40857,2016,1170878,1301092,130214,130214,89357,0.0,,,21077,,0.0,,0.35,20406,35002,42873,,0.0,,,3376,,0.0,,,,,1170878,,,0.0,
2014-03-12,4,2013,,,0.0,0.0,,0.0,,2620,31108,0.0,,0.0,-70.0,,,,,0.0,,0.0,,1.02,0.0,,13569,,,,,0.0,0.0,,182782,,2013年01月01日至2013年12月31日,0.0,98279,98209,0.0,98279,98209,,99552,12296,4780263,5230464,450201,450201,350649,0.0,,,76657,,-84.0,,0.93,91210,98279,111848,,-14.0,,,21432,,0.0,,0.0,,,4780263,,0.0,0.0,
2014-05-14,1,2014,,,0.0,,,0.0,0.0,5490,2449,,,,,,,,,,,,,0.21,0.0,,70,,,,,,0.0,,40311,,2014年01月01日至2014年03月31日,0.0,21053,21053,,21053,21053,,16657,4466,1080593,1177013,96420,96420,79763,,,,20148,,,,0.2,19304,21053,21123,,,,,3473,,,,0.0,,,1080593,,0.0,0.0,0.0
2014-08-13,2,2014,,,0.0,0.0,,0.0,0.0,-553,16172,,,0.0,0.0,,,,,0.0,,0.0,,0.1,0.0,,3216,,,,,0.0,0.0,,43930,,2014年第2季,0.0,10043,10043,0.0,10043,10043,,-9,13268,1175574,1257621,82047,82047,82056,0.0,,,22917,,0.0,,0.1,15209,10043,13259,,0.0,,0.0,2351,,0.0,,0.0,,,1175574,,0.0,0.0,0.0
2014-11-11,3,2014,,,0.0,0.0,,0.0,0.0,182,8999,,,0.0,0.0,,,,,0.0,,0.0,,-0.01,0.0,,2292,,,,,0.0,0.0,,48008,,2014年第3季,0.0,-974,-974,0.0,-974,-974,,-4911,6229,1201817,1287468,85651,85651,90562,0.0,,,23098,,0.0,,-0.01,19456,-974,1318,,0.0,,0.0,2952,,0.0,,0.0,,,1201817,1287468.0,0.0,0.0,0.0
2015-03-09,4,2014,,,0.0,,,0.0,0.0,27633,33080,,,,3247.0,,,,,,,,,0.52,0.0,,10680,,,,,,,,182723,,2014年度,0.0,54005,57252,,54005,57252,,15414,49271,4649550,5011570,362020,362020,346606,,,,89058,,3912.0,,0.5,74825,54005,64685,,665.0,,,11442,,,,,,,4649550,,,0.0,0.0
2015-05-13,1,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4567,4521,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-401,0.0,0.0,0.0,0.0,,,0.0,39543,0.0,2015年01月01日至2015年03月31日,0.0,252,252,0.0,252,252,0.0,3338,-3487,969969,1047772,77803,77803,74465,,0.0,,20543,0.0,,0.0,0.0,14379,252,-149,0.0,,0.0,,3441,0.0,,0.0,,0.0,,969969,1047772.0,,0.0,0.0
2015-08-11,2,2015,0.0,0.0,0.0,0.0,,0.0,0.0,-15905,2974,,,,0.0,,,,0.0,,0.0,0.0,,-0.09,0.0,0.0,-1322,,,0.0,0.0,,,0.0,33175,,2015年第2季,0.0,-10057,-10057,0.0,-10057,-10057,,5636,-17015,965695,1040995,75300,75300,69664,,0.0,,18732,0.0,,,-0.09,17757,-10057,-11379,0.0,,0.0,,4084,,,0.0,,,,965695,,,0.0,0.0
