date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,39.0,30643,,69772,65298,56688.0,,,869947,8610.0,249219.0,839304,-0.93,,0.0,48100.0,,-20720,,,,146106,2013年01月01日至2013年03月31日,,-1709367,-839420,,-1710946,-840936,,,-1615938,-114149,19288290,18680619,-607671,-607671,1008267,,358419,,,-0.93,503742,-1709367,-1730087,,,,,0.0,2586.0,,,249219,120497.0,0.0,,,,,,,,,1579,1516
2013-08-06,2,2013,,,25.0,-32794,,344622,81163,50337.0,,,409463,9143.0,251830.0,442257,-0.94,,238240.0,0.0,,63898,,,,144737,2013年04月01日至2013年06月30日,,-1724352,-1314889,,-1729022,-1319351,,,-1834409,173955,18242179,17406379,-835800,-835800,998609,,400156,,,-0.94,453716,-1724352,-1660454,21683.0,,,,,1202.0,,3271.0,251830,110880.0,0.0,,,,,,,,,4670,4462
2013-10-29,3,2013,,,388.0,-764,,146794,64163,56780.0,,,-318307,7328.0,294952.0,-317543,-1.3,,236820.0,0.0,,-28720,,,,144002,2013年07月01日至2013年09月30日,,-2380375,-2698682,,-2394399,-2712746,,,-2325100,-83995,18477098,17046045,-1431053,-1431053,894047,,324357,,,-1.3,425688,-2380375,-2409095,55.0,,,,127.0,0.0,29.0,0.0,294952,0.0,89794.0,,,,,,,,,14024,14064
2014-03-04,4,2013,,,1721.0,233343,,821595,421875,362730.0,-3394590.0,-3394590.0,1550255,37407.0,,1324612,-5.55,,541642.0,,,31127,,,0.0,593549,2013年01月01日至2013年12月31日,,-10240063,-8689808,,-10254316,-8704059,,,-10535421,326485,79640376,76397725,-3242651,-3242651,3898180,,1449836,,-7700.0,-5.55,1854795,-10240063,-10208936,21738.0,,,,,,24623.0,,916985,257051.0,0.0,,,,,,,,,14253,14251
2014-05-08,1,2014,,,821.0,-77071,,20786,32518,17933.0,,,367661,14585.0,295664.0,444732,-0.81,,,366503.0,,7300,,,,142548,2014年01月01日至2014年03月31日,,-1493292,-1125631,,-1504209,-1136725,,,-1243632,-242360,16619786,16307399,-312387,-312387,931245,,337281,,,-0.81,451416,-1493292,-1485992,,,,,2659.0,0.0,154302.0,,295664,231149.0,0.0,,,,,,,,,10917,11094
2014-08-13,2,2014,,,5464.0,-44777,1920.0,106163,76277,41367.0,,,-584553,14935.0,301771.0,-539776,-0.89,,272634.0,0.0,,77973,,,,150809,2014年第2季,,-1694463,-2279016,,-1707827,-2292416,,,-1497159,-119331,21366668,20805111,-561557,-561557,935602,,371985,,,-0.89,412808,-1694463,-1616490,19975.0,,,,,0.0,20896.0,0.0,301771,0.0,183823.0,,,,,,,,,13364,13400
2014-11-14,3,2014,,,48276.0,-42296,,-28946,20524,7008.0,-7010424.0,-7010424.0,312894,13335.0,280917.0,355190,-7.62,,0.0,166412.0,,1457819,,,,170814,2014年第3季,,-15652949,-15340055,,-15611788,-15298851,21585.0,,-13905791,-289339,23274220,17463629,-5810591,-5810591,1084776,,393123,,,-7.62,520839,-15652949,-14195130,181.0,,,,,15768.0,15218.0,0.0,280917,207877.0,0.0,,21585.0,,,,,,,-41161,-41204
2016-03-18,4,2014,,,931217.0,-176580,1480.0,-7167812,13915311,13846091.0,,-27307908.0,-19374,53281.0,1210104.0,161043,-22.74,,-937756.0,,,1642460,,,94027.0,4559336,2014年度,,-44366915,-44386289,,-44289828,-44309202,5785113.0,0.0,-48355877,5631422,74388427,63048075,-11340352,-11340352,9707617,1642460.0,1194590,,-3837.0,,3953691,-44366915,-42724455,15939.0,,,0.0,35075.0,0.0,202424.0,,1210104,247295.0,0.0,,,74388427.0,74388427.0,1721006.0,64769081.0,64769081.0,63048075.0,-77087,-77087
2016-05-04,1,2015,,,5617.0,28635,0.0,328401,71338,67030.0,,,-4837,4308.0,258896.0,-33472,-0.04,,335738.0,,-4837.0,0,,,7241.0,160952,2015年01月01日至2015年03月31日,0.0,-89751,-94588,,-87399,-92236,0.0,0.0,-237835,148084,198900,253722,54822,54822,292657,,40990,,,,90715,-89751,-89751,,,0.0,,0.0,0.0,2216.0,,258896,-3936.0,0.0,,,198900.0,198900.0,0.0,253722.0,253722.0,253722.0,-2352,-2352
2016-05-12,2,2015,,,9527.0,5010,0.0,246145,20103,11229.0,,,-13583,5940.0,200248.0,-18593,-0.25,,255188.0,,-13583.0,0,,,-2513.0,17402,2015年第2季,0.0,-507171,-520754,,-506774,-520357,0.0,,-570658,63487,474408,16911,-457497,-457497,113161,,11051,,,,84708,-507171,-507171,2934.0,,0.0,,0.0,,0.0,,200248,484.0,,,,474408.0,474408.0,0.0,16911.0,16911.0,16911.0,-397,-397
