date,season,year,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額
2013-04-25,1,2013,-7,2683,-155.0,7555,7710,0.02,0.02,,8431,113625,2013年01月01日至2013年03月31日,1540,9095,1540,9095,7318,2653,200192,426990,226798,226798,219480,83971,,,21884,1540,,9971,23.0,,200192,,,426990
2013-07-30,2,2013,1207,3823,110.0,1310,1200,-0.05,-0.05,,8325,120810,2013年04月01日至2013年06月30日,-5320,-4010,-5320,-4010,-1427,4432,186700,403738,217038,217038,218465,75260,-0.05,-0.05,22395,-5320,,3005,598.0,,186700,,,403738
2013-11-05,3,2013,1348,2915,58.0,-4270,-4328,-0.09,-0.09,,19426,119881,2013年07月01日至2013年09月30日,-8365,-12635,-8365,-12635,7633,3428,204613,428897,224284,224284,216651,76958,-0.09,-0.09,19812,-8365,,11061,835.0,,204613,,,428897
2014-04-30,1,2014,311,2322,0.0,7045,7045,0.04,,,1268,132047,2014年01月01日至2014年03月31日,3664,10709,3664,10709,2308,2624,202331,414458,212127,212127,209819,59280,0.04,,18492,3664,0.04,4932,9.0,,202331,,,414458
2014-08-05,2,2014,-1428,2814,0,-6077,-6077,0.36,0.36,,6336,135873,2014年第2季,35360,29283,35360,29283,40315,1381,224466,482238,257772,257772,217457,61017,0.36,0.36,20567,35360,,41696,5,224466,224466,482238,482238,482238
2014-11-04,3,2014,-2737,2644,0.0,5509,5509,0.13,0.13,,7288,142993,2014年第3季,12781,18290,12781,18290,20164,-95,283181,528671,245490,245490,225326,59876,0.13,0.13,22457,12781,,20069,2.0,,283181,528671.0,528671.0,528671
2015-02-26,4,2014,-1431,11554,0.0,19215,19215,0.2,0.2,,16141,555302,2014年度,21010,40225,21010,40225,27044,10107,924586,1825611,901025,901025,873981,237701,0.2,0.2,80978,21010,,37151,16.0,,924586,1825611.0,1825611.0,1825611
2015-05-04,1,2015,-9548,2952,,78,78,-0.39,-0.39,78,502,126742,2015年01月01日至2015年03月31日,-38458,-38380,-38458,-38380,-31360,-6596,182467,358479,176012,176012,207372,57717,-0.39,-0.39,22913,-38458,,-37956,0,,182467,358479,358479,358479
2015-08-04,2,2015,2323,3307,,-4981,-4981,0.01,0.01,-4981.0,-1182,118383,2015年第2季,1038,-3943,1038,-3943,-5774,5630,213080,399865,186785,186785,192559,55033,0.01,0.01,19143,1038,,-144,0.0,,213080,399865.0,399865.0,399865
2015-10-28,3,2015,10061,2991,,16010,16010,0.21,0.21,16010.0,4627,123757,2015年第3季,19056,35066,19056,35066,10631,13052,271280,480298,209018,209018,198387,55406,0.21,0.21,19224,19056,,23683,0.0,,271280,480298.0,480298.0,480298
2016-03-04,4,2015,2497,12959,,11571,11571,-0.28,-0.28,11571.0,911,487477,2015年度,-26450,-14879,-26450,-14879,-40995,15456,872652,1622087,749435,749435,790430,221720,-0.28,-0.28,81233,-26450,,-25539,0.0,,872652,1622087.0,1622087.0,1622087
2016-04-26,1,2016,2018,3079,,-5272,-5272,0.04,0.04,-5272,2989,118275,2016年01月01日至2016年03月31日,3314,-1958,3314,-1958,1206,5097,191477,379988,188511,188511,187305,50400,0.04,0.04,18630,3314,,6303,,,191477,379988,379988,379988
2016-07-27,2,2016,-2029,3395,,2151,2151,0.43,0.43,2151.0,11199,125061,2016年第2季,40203,42354,40203,42354,50036,1366,242585,502254,259669,259669,209633,64216,0.43,0.43,20356,40203,,51402,,,242585,502254.0,502254.0,502254
2016-10-27,3,2016,-2597,3043,,-7432,-7432,0.66,0.66,-7432.0,14494,137114,2016年第3季,60862,53430,60862,53430,74910,446,270134,567259,297125,297125,222215,63532,0.65,0.65,21569,60862,,75356,,,270134,567259.0,567259.0,567259
