date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,歸墊收入,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備損失,處分投資利益,處分無形資產利益,處分無形資產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,金融資產重分類淨損益,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,172624,126426,-112428,612770,330003,26578.0,62810.0,1824766,280921,135072,1945254,0.7,0.7,146980.0,,,510713,,,,-31355,,2051596,2013年01月01日至2013年03月31日,1790907,3615673,,,1576661,3102919,1007,,1967705,333915,39885439,46768494,6883055,6883055,4915350,14773.0,,1427326,,,0.69,0.69,1436428,1790907,2301620,1846.0,,261687.0,,,5255,34105,,,135072,-114627,,,39858861,596098,47513424,46705684,211642,,214246,512754
2013-08-12,2,2013,,,126079,429704,-492554,1158305,840246,50052.0,96620.0,597688,300456,184051,266719,0.98,0.98,3221.0,,,566105,,,,-1413,,2062455,2013年04月01日至2013年06月30日,2326370,2924058,,,2239666,3301043,411526,,2412188,480287,42598570,50009185,7410615,7410615,4998427,15613.0,,1503246,,,0.98,0.98,1432726,2326370,2892475,17603.0,,114348.0,,,-10120,-23164,,0.0,184051,54874,,,42548518,471696,50733886,49912565,349625,,86704,-376985
2013-11-12,3,2013,,,182108,76395,-389910,633118,300850,30176.0,41456.0,-188479,322615,242336,-338887,1.06,1.06,-17654.0,,,719685,,,,-10135,,2072934,2013年07月01日至2013年09月30日,2316110,2127631,,0.0,2419608,1787108,114228,0.0,3045058,-9263,48741570,57077512,8335942,8335942,5290884,16404.0,,1645407,,,1.05,1.05,1572543,2316110,3035795,9653.0,,-57609.0,,,87847,957,390.0,0.0,242336,10580,,,48711394,554018,57851729,57036056,261655,,-103498,340523
2014-03-27,4,2013,,,938540,512434,-1488454,3743343,1543298,161682.0,277615.0,3141023,1244842,708831,2869963,3.83,3.83,213763.0,,,2629288,,,116528.0,-68569,,8390499,2013年01月01日至2013年12月31日,8890491,12031514,,916607.0,8754848,11608664,575119,,10042290,1477489,182713703,213214297,30500594,30500594,20458304,54594.0,,6229841,,-284.0,3.79,3.79,5837964,8890491,11519779,38596.0,,412212.0,,,267939,147283,,,708831,-67902,,,182552021,2211370,216242952,212936682,1094900,,135643,422850
2014-05-13,1,2014,,,122025,172554,-108724,737760,365151,26497.0,61442.0,247062,372345,161452,28802,0.62,0.62,38016.0,,,391637,,,38567.0,-46549,,2006918,2014年01月01日至2014年03月31日,1428592,1675654,,,1427781,1679687,0,209.0,1399194,421035,45320423,51741914,6421491,6421491,5022297,12035.0,,1549917,,,0.62,0.62,1465462,1428592,1820229,264.0,,4896.0,,,24414,60,,,161452,-570,,,45293926,713652,52886867,51680472,492743,,811,-4033
2014-08-12,2,2014,,,296873,95745,-313049,662358,304005,32622.0,87192.0,-1044065,336447,169141,-1309122,0.88,0.88,-36743.0,,,560575,,,-41280.0,32822,,2271257,2014年第2季,2018366,974301,,,2031278,1204388,75755,,2365951,212990,50366468,58234367,7867899,7867899,5501948,8375.0,,1637357,,,0.88,0.88,1593334,2018366,2578941,21906.0,,-202217.0,,,-1543,42494,,,169141,52285,,,50333846,771040,59469143,58147175,550928,,-12912,-230087
2014-11-11,3,2014,,,570408,-229620,-1099287,603980,261939,33374.0,119459.0,966100,324422,165168,1438304,0.67,0.67,-42286.0,,,571045,,,42080.0,83236,,2399532,2014年第3季,748233,1714333,,0.0,1549915,2270215,981642,,1896517,-577239,53170597,60607714,7437117,7437117,5540600,9053.0,,1616963,,,0.67,0.67,1524105,748233,1319278,17619.0,,293717.0,,,-4768,357459,0.0,0.0,165168,132822,,,53137223,1079720,62484069,60488255,916094,,-801682,-555882
2015-03-25,4,2014,,,703177,53856,-1448144,2702511,1305569,122617.0,404841.0,1952918,1357118,673634,2115652,2.8,2.8,58022.0,,,2071417,,,154687.0,41056,,8794035,2014年度,5679573,7632491,,0.0,6461659,8307615,1444257,,7129201,621789,202383002,230631974,28248972,28248972,21119771,34980.0,,6372383,,27065.0,2.76,2.76,5953353,5679573,7750990,39824.0,,433322.0,,,77334,468873,,,673634,249729,,,202260385,3733656,236908189,230227133,2947400,,-782086,-675124
2015-05-13,1,2015,,,186113,-74430,-81636,611157,295584,26323.0,55490.0,-1103044,315573,147196,-1150566,0.71,0.71,-51803.0,,-1103044.0,414526,,,,15757,-35902.0,1804798,2015年第1季,1692782,589738,,,1645748,651335,27451,0.0,1709226,398082,45078755,51540402,6461647,6461647,4752421,,5861.0,1534163,,,0.71,0.71,1413460,1692782,2107308,0.0,,,-151993.0,,17257,22851,,,147196,178137,,,45052432,1034998,52800392,51484912,280482,,47034,-61597
2015-08-11,2,2015,,,127621,-81270,-246584,593584,302226,38984.0,92431.0,-974819,278110,141744,-988356,0.62,0.62,34854.0,,-974819.0,417200,,,,104852,-39784.0,2011052,2015年第2季,1488319,513500,,,1430523,485570,121953,,1595411,310108,45183484,51646489,6463005,6463005,4867594,,3054.0,1443104,,,0.62,0.62,1413438,1488319,1905519,13248.0,,,-131537.0,,41640,392,,,141744,9384,,,45144500,1068502,53341329,51554058,718769,,57796,27930
