date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,3199,15704,2313,50052,,46853,0.75,,11788,,,43639,2013年01月01日至2013年03月31日,,55634,105686,55680,105271,51006,16416,354188,514592,160404,160404,109398,11788.0,4939,,,0.72,60820,55634,67422,,0.0,,1601,354188.0,354188.0,4210.0,520743.0,520743.0,514592,1941.0,-46,415
2013-08-12,2,2013,,,1428,-1530,3062,29165,,27737,0.84,,20323,,,46871,2013年04月01日至2013年06月30日,,63028,92193,62635,91534,83004,347,449546,645802,196256,196256,113252,,8038,,,0.8,58343,63028,83351,,0.0,,1185,,449546.0,4662.0,,655126.0,645802,4662.0,393,659
2013-11-11,3,2013,,,1088,-4891,3486,-17781,,-18869,1.03,,24763,,-181.0,47306,2013年07月01日至2013年09月30日,,77477,59696,77549,59133,105295,-3055,480360,698771,218411,218411,113116,,5117,,,0.99,60693,77477,102240,,0.0,,1469,,480360.0,5921.0,711597.0,711597.0,698771,6905.0,-72,563
2014-03-28,4,2013,,,8619,29991,13403,95631,,86338,3.67,,74671,-2979.0,-2979.0,187254,2013年01月01日至2013年12月31日,,275317,370948,274711,368684,316395,33593,1747301,2521296,773995,773995,457600,,20933,,-772.0,3.5,249413,275317,349988,,-1446.0,,6822,,1747301.0,21909.0,2560077.0,2560077.0,2521296,16872.0,606,2264
2014-05-13,1,2014,,,9122,20476,5466,1535,,-7587,1.06,,24179,-196.0,-196.0,46523,2014年01月01日至2014年03月31日,,79916,81451,79813,81417,80330,23765,412955,606735,193780,193780,113450,,5897,,,1.02,61030,79916,104095,,,,1981,,412955.0,6271.0,623420.0,623420.0,606735,10414.0,103,34
2014-08-12,2,2014,,,5183,-6647,4226,-28127,,-33310,1.13,,38234,,-242.0,50891,2014年第2季,,85013,56886,84723,56907,127638,-4391,519253,774595,255342,255342,127704,,7524,,,1.08,69289,85013,123247,,,,1728,,519253.0,3659.0,,783436.0,774595,5182.0,290,-21
2014-11-11,3,2014,,,-9332,6242,9225,38724,,48056,1.7,,27618,-230.0,-230.0,52488,2014年第3季,,128910,167634,128223,166506,142871,13657,613315,888661,275346,275346,132475,27618.0,8610,,,1.64,71377,128910,156528,,0.0,,1580,,613315.0,,,,888661,,687,1128
2015-03-19,4,2014,,0.0,6174,53825,22771,77133,,71181,5.18,,116270,-850.0,-850.0,204421,2014年度,,392225,469358,391250,467753,440118,68377,2131633,3085711,954078,954078,513960,116270.0,35482,,-267.0,4.95,274057,392225,508495,,-45.0,,7369,,2131633.0,30411.0,,3160184.0,3085711,44062.0,975,1605
2015-05-07,1,2015,,,2546,-6732,4463,-17323,0.0,-19869,0.96,-17323.0,12676,-133.0,-133.0,52887,2015年01月01日至2015年03月31日,,73157,55834,73250,56102,90251,-4418,575933,791564,215631,215631,125380,,5445,,,0.93,67048,73157,85833,,,,2016,,575933.0,7731.0,,801293.0,791564,1998.0,-93,-268
2015-08-06,2,2015,,,-8983,-52,7462,-38895,,-29912,0.67,-38895.0,37411,-93.0,-93.0,49522,2015年第2季,,51961,13066,52360,13722,84168,5204,522700,728497,205797,205797,121629,,7861,,,0.67,64246,51961,89372,,,,2113,,522700.0,6066.0,740240.0,740240.0,728497,5677.0,-399,-656
