date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,177648,-15129,22364,22364.0,295534,1179.0,2282,0.3,0.3,,2818,,116017.0,149956,,26956,2013年01月01日至2013年03月31日,183441,478975,181173,476706,30247,156012,1126012,1248072,122060,122060,91813,11330,,,0.3,0.3,53527,183441,186259,,413.0,,1179,2268,2269
2013-08-14,2,2013,,-59348,1587,154890,154890.0,-17539,1759.0,49,0.56,0.56,,18085,,37490.0,187316,,29148,2013年04月01日至2013年06月30日,337024,319485,335438,317900,13075,342034,1100883,1217277,116394,116394,103319,6854,,,0.55,0.55,67317,337024,355109,,-4270.0,,1759,1586,1585
2013-11-12,3,2013,,21040,-4581,15283,15283.0,-57688,1950.0,-122,0.39,0.39,,-872,,-73354.0,206073,,27423,2013年07月01日至2013年09月30日,238532,180844,238239,180551,22835,214825,1179544,1295292,115748,115748,92913,6395,,,0.39,0.39,59095,238532,237660,,5252.0,,1950,293,293
2014-03-19,4,2013,,326743,-5921,202419,202419.0,628425,6823.0,1500,1.84,1.84,,29514,,278534.0,843929,,79853,2013年01月01日至2013年12月31日,1118979,1747404,1113121,1741546,114889,1033604,4814387,5276157,461770,461770,346881,35029,,25982.0,1.84,1.84,231999,1118979,1148493,,4334.0,,6823,5858,5858
2014-05-06,1,2014,,5341,1110,12547,12547.0,130677,2320.0,188,0.4,0.4,,11138,,125322.0,193276,,25477,2014年01月01日至2014年03月31日,240829,371506,239661,370338,47354,204613,1243559,1379161,135602,135602,88248,6895,,,0.4,0.4,55876,240829,251967,,174.0,,2320,1168,1168
2014-08-13,2,2014,,70565,2523,137998,137998.0,-50036,2356.0,-171,0.73,0.73,,47677,,-120490.0,313150,,26057,2014年第2季,445035,394999,447978,397942,41397,451315,1341083,1456386,115303,115303,73906,7871,,,0.73,0.73,39978,445035,492712,,-60.0,,2356,-2943,-2943
2014-11-13,3,2014,,-55585,-2668,22050,22050.0,61703,2632.0,157,0.58,0.58,,11733,,117169.0,310534,,20606,2014年第3季,357824,419527,358093,419796,42273,327284,1270242,1406779,136537,136537,94264,8531,,,0.58,0.58,65127,357824,369557,,38.0,,2632,-269,-269
2015-03-24,4,2014,,50421,-10382,189463,189463.0,424424,10142.0,388,2.26,2.26,,83580,,380732.0,1120584,,95565,2014年度,1384455,1808879,1392582,1817255,178512,1289523,5275558,5819904,544346,544346,365834,37160,,-7989.0,2.26,2.26,233109,1384455,1468035,,-872.0,,10142,-8127,-8376
2015-05-13,1,2015,,123710,-3592,12857,,45966,,-40,0.43,0.43,45966.0,7897,,,239156,-77704.0,20341,2015年01月01日至2015年03月31日,261837,307803,263305,309271,24580,245154,1217267,1327430,110163,110163,85583,13438,,,0.43,0.43,51804,261837,269734,,,0.0,3267,-1468,-1468
2015-08-12,2,2015,,27187,-2215,176063,,-69846,,-49,0.56,0.56,-69846.0,51940,,,207227,-96984.0,25061,2015年第2季,349832,279986,352683,282837,24109,377663,1125238,1230846,105608,105608,81499,15579,,,0.56,0.56,40859,349832,401772,,,0.0,3412,-2851,-2851
2015-11-10,3,2015,,-544547,946,22542,,-93778,,226,0.48,0.48,-93778.0,13469,,,244005,450543.0,24497,2015年第3季,298063,204285,300621,206843,47818,263714,1069431,1212503,143072,143072,95254,21025,,,0.48,0.48,49732,298063,311532,,,0.0,3779,-2558,-2558
2016-03-29,4,2015,-8392.0,-403775,-6994,219875,219875.0,-589701,,-127,2.22,2.22,-581309.0,88490,-7287.0,,1100028,-177407.0,100022,2015年度,1383108,793407,1392731,803364,173283,1298315,4626191,5163751,537560,537560,364277,67033,-1579.0,,2.11,2.11,197222,1383108,1471598,-474.0,,0.0,14594,-9623,-9957
2016-05-12,1,2016,,181729,-5215,12751,,20078,,0,0.55,0.55,20078.0,-104,,,307871,-161651.0,21561,2016年01月01日至2016年03月31日,342983,363061,345289,365367,31658,311221,990332,1105803,115471,115471,83813,14530,,,0.55,0.55,47722,342983,342879,,,,4186,-2306,-2306
2016-08-12,2,2016,,-112141,-2969,188739,,-62485,,0,0.81,0.81,-62485.0,56093,,,305156,49656.0,32267,2016年第2季,509044,446559,512351,449866,78568,486569,1041364,1219662,178298,178298,99730,15237,,,0.81,0.81,52226,509044,565137,,,,4357,-3307,-3307
2016-11-09,3,2016,,-62226,-4307,22019,,-311676,,0,0.56,0.56,-311676.0,20667,,,289097,-249450.0,23694,2016年第3季,350053,38377,356022,44346,68011,302709,876602,1037243,160641,160641,92630,20999,,,0.56,0.56,47937,350053,370720,,,,4100,-5969,-5969
