date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,101651,-47953,9870,107002,5351,-0.95,,,29,-30236,37050,2013年01月01日至2013年03月31日,-298794,-191792,-298790,-191788,-206887,-91878,1225420,1108042,-117378,-117378,89509,,29.0,12257,,,40202,-298794,-298765,,,23559,,1225420,,1149890.0,1149890,1108042,41848.0,-4,-4
2013-07-31,2,2013,-15303,-119024,11865,-12704,3131,-0.44,,,0,-21429,28901,2013年04月01日至2013年06月30日,-140205,-152909,-140198,-152904,11475,-151680,1501659,1603157,101498,101498,90023,,,13995,,,47127,-140205,-140205,532.0,,23092,1501659.0,1501659,,1603532.0,1603532,1603157,375.0,-7,-5
2013-10-29,3,2013,19675,-9466,9424,17787,-2272,0.22,,,0,-25170,15188,2013年07月01日至2013年09月30日,71843,89630,71847,89639,119388,-47545,1789864,1983431,193567,193567,74179,,0,13740,,,45251,71843,71843,-384,,22333,1789864,1789864,,1984635,1984635,1983431,1204,-4,-9
2014-03-27,4,2013,350859,-302507,40213,359284,10151,-1.18,-1.18,,-54421,-96728,111353,2013年01月01日至2013年12月31日,-369683,-10399,-369665,-10393,23801,-447905,6644087,7020681,376594,376594,352793,,-54421.0,57785,,,183655,-369683,-424104,1726.0,,88883,6644087.0,6644087,,7108792.0,7108792,7020681,88111.0,-18,-6
2014-05-09,1,2014,56837,12490,9043,58260,1714,0.46,0.46,,36,-15878,30319,2014年01月01日至2014年03月31日,152236,210496,152239,210492,166168,-13896,2383413,2655814,272401,272401,106233,,,19671,0.46,0.46,56243,152236,152272,291,,19551,2383413,2383413,387,2656201,2656201,2655814,,-3,4
2014-08-11,2,2014,17488,-16836,10786,16087,-1687,0.23,,,0,-16588,38294,2014年第2季,85962,102049,85965,102059,122757,-36795,2444971,2684225,239254,239254,116497,,,20137,0.23,,58066,85962,85962,-286.0,,14157,,2444971,,2684717.0,2684717,2684225,492.0,-3,-10
2014-11-13,3,2014,-187999,8281,31930,-187955,53,-0.25,-0.25,,0,-17395,55242,2014年第3季,-90656,-278611,-90652,-278614,-97582,6926,1950531,1970763,20232,20232,117814,,,18392,0.0,0.0,44180,-90656,-90656,9.0,,15890,1950531.0,1950531,,1976000.0,1976000,1970763,5237.0,-4,3
2015-03-26,4,2014,100558,27614,62155,102184,1959,0.42,0.42,,36,-61819,161377,2014年度,152007,254191,152020,254181,191612,-39569,9004189,9641538,637349,637349,445737,,36.0,78452,0.42,0.42,205908,152007,152043,333.0,,67519,9004189.0,9004189,,9649811.0,9649811,9641538,8273.0,-13,10
2015-05-14,1,2015,-174883,14660,9911,-175850,-1165,-0.41,-0.41,-175850.0,25,-23091,34102,2015年01月01日至2015年03月31日,-149453,-325303,-149448,-325294,-132461,-16967,1943934,1910970,-32964,-32964,99497,,,19289,0.0,0.0,46106,-149453,-149428,,-198.0,18447,1943934.0,1943934,133104.0,2044074.0,2044074,1910970,,-5,-9
2015-08-10,2,2015,-181441,-15898,9244,-274906,-112608,-0.82,,-274906.0,0,-19597,57229,2015年第2季,-302221,-577127,-302216,-577116,-257982,-44239,2362082,2286449,-75633,-75633,182349,,,18506,0.0,,106614,-302221,-302221,,-19143.0,17988,,2362082,,2290431.0,2290431,2286449,3982.0,-5,-11
