date,會計項目,銷貨收入,銷貨收入合計,銷貨收入淨額,營業收入合計,銷貨成本,銷貨成本合計,營業成本合計,營業毛利（毛損）,營業毛利（毛損）淨額,推銷費用合計,管理費用合計,研究發展費用合計,營業費用合計,營業利益（損失）,其他收入－其他,其他收入合計,其他利益及損失淨額,營業外收入及支出合計,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）合計,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,國外營運機構財務報表換算之兌換差額,其他綜合損益（淨額）,本期綜合損益總額,母公司業主（淨利／損）,非控制權益（淨利／損）,母公司業主（綜合損益）,基本每股盈餘合計,稀釋每股盈餘合計,year,season
2013-05-08,2013年01月01日至2013年03月31日,553523,553523,553523,553523,266560,266560,266560,286963,286963,35403,36988,93736,166127,120836,2643,2643,1378,4021,124857,9105,115752,115752,112275,112275,228027,115752,0,228027,1.43,1.41,2013,1
2013-08-12,2013年04月01日至2013年06月30日,554025,554025,554025,554025,259905,259905,259905,294120,294120,36844,40755,103851,181450,112670,3281,3281,5506,8787,121457,27777,93680,93680,23969,23969,117649,93680,0,117649,1.19,1.17,2013,2
2013-11-13,2013年07月01日至2013年09月30日,451676,451676,451676,451676,207881,207881,207881,243795,243795,27583,10638,87461,125682,118113,3839,3839,-3395,444,118557,25085,93472,93472,-58109,-58109,35363,93472,0,35363,1.2,1.19,2013,3
2014-03-27,2013年01月01日至2013年12月31日,1988918,1988918,1988918,1988918,941336,941336,941336,1047582,1047582,123546,142532,357183,623261,424321,14680,14680,3389,18069,442390,12717,429673,429673,108226,108226,537899,429673,0,537899,5.46,5.38,2013,4
2014-05-07,2014年01月01日至2014年03月31日,446742,446742,446742,446742,217152,217152,217152,229590,229590,27325,27295,87782,142402,87188,8292,8292,-2388,5904,93092,17990,75102,75102,87673,87673,162775,75102,0,162775,1.01,1.0,2014,1
2014-08-05,2014年第2季,457521,457521,457521,457521,219642,219642,219642,237879,237879,28880,149647,82873,261400,-23521,7939,7939,269,8208,-15313,-4489,-10824,-10824,-80823,-80823,-91647,-10824,0,-91647,-0.15,0.0,2014,2
