date,season,year,什項支出,佣金支出,保全費,停業單位損益合計,其他利益及損失淨額,其他勞務成本,其他收入合計,其他收入－其他,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,呆帳損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,委託研究費,廣告費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,折舊及折耗,捐贈,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,漁業作業費用,漁貨銷售費用,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,進出口費用,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,437.0,9598.0,,0.0,26065,,35707,30598,,,76534,3679,12345.0,,9011.0,76534,1.85,1.85,16310.0,0.0,1291.0,1429.0,,39581,,0.0,1368.0,420.0,0.0,,41613,2013年01月01日至2013年03月31日,160048,236582,151402,222443,0.0,,,150202,49427,979674,1361227,381553,381553,231351,39581.0,961.0,59282,0.0,1.82,1.82,130456,,160048,199629,1430,,,,431.0,,12345,10623.0,5968.0,,3679.0,979674.0,979674.0,,1361227.0,1361227.0,1361227.0,,,8646,14139
2013-08-12,2,2013,2452,6871,0,0,10771,,47877,46403,,,62116,1456,9075,,-4588,62116,1.82,1.82,15090,,5448,,,63432,,0,999,,0,,66086,2013年04月01日至2013年06月30日,171759,233875,148944,206388,0,0,0,185618,49573,1034121,1448561,414440,414440,228822,63432,1085,62272,0,1.80,1.80,100464,0,171759,235191,18,,,,1197,,9075,-670,6667,,1456,1034121,1034121,,1448561,1448561,1448561,,,22815,27487
2013-11-11,3,2013,5459.0,9011.0,0.0,0.0,-1639,,24374,19996,,0.0,-33655,2830,9557.0,0.0,-5115.0,-33655,1.72,1.72,-3353.0,,4263.0,,,73032,,0.0,1182.0,,0.0,,55281,2013年07月01日至2013年09月30日,151399,117744,141188,110276,0.0,0.0,0.0,211253,13178,1268897,1719922,451025,451025,239772,,922.0,70908,1538.0,1.72,1.72,113583,0.0,151399,224431,10,,,,301.0,,9557,7474.0,8501.0,,2830.0,1268897.0,1268897.0,17093.0,1774709.0,1774709.0,1719922.0,37694.0,,10211,7468
2014-03-20,4,2013,46071.0,33893.0,0.0,0.0,23953,2317.0,162310,148248,906.0,906.0,160443,10292,36927.0,2317.0,-6052.0,190918,6.31,6.31,50435.0,0.0,12077.0,,,235834,,0.0,6054.0,,0.0,,236328,2013年01月01日至2013年12月31日,586244,746687,529340,678128,0.0,,,672742,149336,4401741,6047619,1645878,1645878,973136,,4149.0,270679,2311.0,6.27,6.27,466129,0.0,586244,822078,1459,30475.0,,,5655.0,,36927,25244.0,27921.0,,10292.0,4399424.0,4399424.0,26322.0,6130545.0,6130545.0,6046713.0,57510.0,,56904,68559
2014-05-12,1,2014,268.0,4790.0,,0.0,-16228,,56589,52130,,,34684,2866,6935.0,,5926.0,41178,0.68,0.68,9040.0,0.0,2469.0,1428.0,,20964,,0.0,1660.0,,0.0,,54096,2014年01月01日至2014年03月31日,60281,94965,61501,93209,0.0,,,47819,33426,976918,1275111,298193,298193,250374,20964.0,7647.0,70864,0.0,0.67,0.67,125414,,60281,81245,1593,6494.0,,,1257.0,,6935,-23743.0,5546.0,,2866.0,976918.0,976918.0,,1275111.0,1275111.0,1275111.0,,,-1220,1756
2014-08-12,2,2014,39549.0,5361.0,,0.0,-59727,,27487,26023,,,-71516,1464,5832.0,,1146.0,-78010,1.34,1.34,-16985.0,,1458.0,,,30632,0.0,0.0,1864.0,,0.0,0.0,62531,2014年第2季,147516,76000,121908,55910,0.0,,,216220,-38072,1265975,1737027,471052,471052,254832,30632.0,6732.0,73419,,1.34,1.34,118882,,147516,178148,0,-6494.0,,,1742.0,,5832,-1451.0,6978.0,0.0,1464.0,1265975.0,1265975.0,,1737027.0,1737027.0,1737027.0,,0.0,25608,20090
2014-11-03,3,2014,33430,6774,,0,-15145,,35219,31448,,,71422,3771,5850,,-6251,71422,2.26,2.26,-4033,,3944,1428,,27136,0,0,2099,100,0,0,60870,2014年第3季,231596,303018,205209,271319,0,,,244508,14224,1317285,1830537,513252,513252,268744,27136,7886,73450,,2.26,2.26,134424,,231596,258732,0,0,,,668,,5850,22986,7313,0,3771,1317285,1317285,,1830537,1830537,1830537,,0,26387,31699
2015-03-09,4,2014,74807.0,28968.0,0.0,0.0,-63442,,175866,154376,2433.0,2433.0,235623,16619,31482.0,,-1120.0,235623,6.07,6.07,64577.0,0.0,10213.0,,,132719,,0.0,13111.0,,0.0,,255342,2014年度,605078,840701,550997,774449,0.0,,,656855,80942,4822776,6556540,1733764,1733764,1076909,,28.0,326824,3293.0,6.05,6.05,494743,0.0,605078,737797,1578,0.0,,,10303.0,,31482,-42909.0,27309.0,,16619.0,4822776.0,4822776.0,21410.0,6606300.0,6606300.0,6554107.0,30783.0,,54081,66252
2015-05-08,1,2015,2751,,,,-30429,,33405,28371,,,-42678,1655,6635,,,-42678,0.74,0.74,-32498,,,,-42678,18349,,,,,,,61630,2015年01月01日至2015年03月31日,62083,19405,66969,8177,,,,84091,-3659,1069877,1409488,339611,339611,255520,,,74443,,0.74,0.74,119447,,62083,80432,3379,,0,,4506,,6635,9326,,,,,,,,,,,,-4886,11228
2015-08-13,2,2015,3074.0,,,,6274,,57063,54570,,,-30002,2493,6288.0,,,-30002,1.84,1.84,9148.0,,,,-30002.0,44442,,,,,,,59981,2015年第2季,170859,140857,167276,139696,,,,158252,57049,1281016,1726482,445466,445466,287214,,,81070,,1.84,1.84,146163,,170859,215301,0,,0.0,,4272.0,,6288,4472.0,,,,,,,,,,,,3583,1161
2015-11-12,3,2015,524.0,,,,98857,,52261,49992,,,154685,2269,7138.0,,,154685,2.67,2.67,110197.0,,,,154685.0,82979,,,,,,,66345,2015年第3季,238130,392815,242342,385360,,,,177129,143980,1411516,1909258,497742,497742,320613,,,90184,,2.66,2.66,164084,,238130,321109,0,,,,3253.0,1307.0,7138,-6256.0,,,,,,,,,,,,-4212,7455
2016-03-10,4,2015,,,,,77088,,213724,192201,,,-15883,16533,,,,-15883,6.73,6.73,,,,,-15883.0,170717,,,,,,,241689,2015年度,595764,579881,610952,575974,,,,530476,236005,4938919,6650841,1711922,1711922,1181446,,,368651,3285.0,6.71,6.71,571106,,595764,766481,1705,,,,,,54807,,,,,,4938919.0,,,,6650841.0,,,-15188,3907
2016-05-12,1,2016,2541.0,,,,44757,,186508,180635,,,-105834,4145,8123.0,,,-105834,1.51,1.51,,41134.0,,,-105834.0,48311,,,,,,,56990,2016年01月01日至2016年03月31日,185698,79864,137237,39140,,,,10867,223142,871000,1180922,309922,309922,299055,,,79982,,1.51,1.51,162083,,185698,234009,1728,,,78978.0,,,8123,9454.0,,,,,,,,,,,,48461,40724
2016-08-05,2,2016,347.0,,,,29297,,36415,32908,,,-116424,3507,6486.0,,,-116424,2.11,2.11,,-41032.0,,,-116424.0,45737,,,,,,,55568,2016年第2季,191339,74915,191708,82462,,,,177850,59226,1260197,1732461,472264,472264,294414,,,81835,,2.11,2.11,157011,,191339,237076,0,,,-11266.0,,,6486,-122.0,,,,,,,,,,,,-369,-7547
2016-11-10,3,2016,602,,,,-29296,,38422,29028,,,-184983,9394,10714,,,-184983,2.20,2.20,,15847,,,-184983,30566,,,,,,,55830,2016年第3季,202252,17269,200053,26906,,,,234406,-1588,1237028,1763246,526218,526218,291812,,,87645,,2.20,2.20,148337,,202252,232818,0,,,-3515,,0,10714,-9332,,,,,,,,,,,,2199,-9637
