date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產（負債）出售淨利益,金融資產（負債）出售淨損失,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,,-8200,-11266,1037,,,-8966,,103,-0.64,-0.64,,,2547,1702.0,,0.0,-852.0,-852.0,-11432,,,1247,2013年01月01日至2013年03月31日,,-34836,-43802,-34739,-43705,-7203,-25086,57380,58082,702,702,7905,157,,,,,6501,-34836,-32289,,17.0,,3425,0.0,1702.0,55678.0,55678,58082.0,58082.0,58082,-97.0,-97.0
2013-08-06,2,2013,,,-5402,-4290,2479,,,-6040,3859.0,19,-0.27,-0.27,,,104,0.0,,31.0,-653.0,-653.0,-5202,,,848,2013年04月01日至2013年06月30日,,-14673,-20713,-14576,-20616,-3697,-10872,67456,71835,4379,4379,8076,146,,,,,7082,-14673,-14569,,4.0,,3859,31.0,0.0,67456.0,67456,,71804.0,71804,-97.0,-97.0
2013-11-06,3,2013,,,17840,-715,12902,,0.0,17734,,-57,0.19,0.19,0.0,,95,18.0,,0.0,-59.0,-59.0,1014,,,595,2013年07月01日至2013年09月30日,0.0,10460,28194,10555,28289,1133,9422,52131,59976,7845,7845,6712,146,,,,,5971,10460,10555,,-10.0,,3779,0.0,18.0,,52113,,,59976,-95.0,-95.0
2014-03-24,4,2013,,,-62023,-18625,19793,,,-73283,,89,-0.84,-0.84,0.0,,2676,259.0,,,-11366.0,-11366.0,-18458,,,5297,2013年01月01日至2013年12月31日,0.0,-46024,-119307,-45637,-118920,-12612,-30736,231335,249386,18051,18051,30663,579,,32.0,,,24787,-46024,-43348,,15.0,,13446,,259.0,,231076,,249386.0,249386,-387.0,-387.0
2014-04-30,1,2014,,,96569,6520,6912,,,119387,,63,0.51,0.51,,,-48,0.0,,88.0,22766.0,22766.0,21773,,,449,2014年01月01日至2014年03月31日,,27712,147099,27812,147199,-3888,31552,35296,37669,2373,2373,6261,152,,,,,5660,27712,27664,,11.0,,3653,,0.0,,35296,,,37581,-100.0,-100.0
2014-08-05,2,2014,,,119373,18253,3480,0.0,,145092,,-57,0.67,0.67,,,113,0.0,,410.0,25766.0,25766.0,20115,,,358,2014年第2季,,35771,180863,35868,180960,-2161,38045,58357,63240,4883,4883,7044,157,,,,,6529,35771,35884,,-10.0,,3803,410.0,0.0,,58357,,,62830,-97.0,-97.0
2014-11-07,3,2014,,,282016,825,18050,,,321290,,46,1.35,1.35,,,779,0.0,,539.0,39236.0,39236.0,69781,,,296,2014年第3季,,73005,394295,73105,394395,-10826,84610,42958,44696,1738,1738,12564,129,,,,,12139,73005,73784,,8.0,,4046,539.0,0.0,,42958,,,44157,-100.0,-100.0
2015-03-19,4,2014,,0.0,288624,6380,31569,0.0,,334799,,107,0.97,0.97,,,-990,0.0,,1037.0,51035.0,51035.0,72484,,,3174,2014年度,,51449,386248,52341,387140,-41440,91899,162140,172096,9956,9956,51396,588,,-4949.0,0.97,0.97,47634,51449,50459,,18.0,,18534,1037.0,0.0,162140.0,162140,171059.0,171059.0,171059,-892.0,-892.0
2015-05-11,1,2015,,,20718,4757,1843,,,22255,,-6,0.0,,,22255.0,144,,,510.0,,,3182,1542.0,1542.0,356,2015年01月01日至2015年03月31日,,-192,22063,-192,22063,-4226,4178,21691,22330,639,639,4865,185,,,0.0,,4324,-192,-48,,,-1.0,5604,510.0,,,21691,,,21820,0.0,0.0
2015-08-10,2,2015,,,-56872,-9926,2064,,,-67662,,-7,-0.55,,,-67662.0,48,,,0.0,,,-14395,-10784.0,-10784.0,1308,2015年第2季,,-32155,-99817,-32155,-99817,-5242,-26865,22932,26563,3631,3631,8873,179,,,-0.55,,7386,-32155,-32107,,,-1.0,4608,0.0,,,22932,,,26563,0.0,0.0
