date,season,year,不動產重估增值,不重分類至損益之項目總額（稅後）,保險業務淨收益,保險負債準備淨變動合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他利息以外淨損益,其他業務及管理費用,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現損益,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,重估價之利益(損失),非控制權益,非控制股權
2013-05-03,1,2013,,,59368610,63848464,8277846,-12027723.0,,11708737,-524938,3790028,68774115,20788076,17324979,3463097,-189654,5761117,678577,1.06,,-2150996,-1075412,592862,591727,-476,55445.0,,,81018,2013年01月01日至2013年03月31日,,-11320831.0,10146416,-1174415,86099094,10142872,-27130,,,,10146416,12297412.0,,,,,42809.0,,-9696941,,,
2013-08-23,2,2013,,,66009162,72191583,10546633,-28825668.0,,1856074,-18211,4235944,75887262,20958074,17382242,3575832,115391,5857213,318980,0.81,,-2624490,-1329836,318654,492557,-533,-38896.0,,,127963,2013年04月01日至2013年06月30日,,-20646687.0,7752326,-12894361,93269504,10585714,-56500,,,,7752326,10376816.0,,,7955397.0,,151023.0,,-1773667,,,
2013-11-01,3,2013,,,71720671,77582946,12809825,-15928378.0,,-9951460,-104440,4394968,82957793,22504476,18807554,3696922,3890369,5666675,-438425,0.88,,-737201,-1577812,526896,527837,-276,-134234.0,,,77525,2013年07月01日至2013年09月30日,,-15961031.0,8965351,-6995680,101765347,10589480,-69016,,,,8965351,9702552.0,,,609022.0,,12931.0,,9443933,,-14710.0,-14710.0
2014-03-20,4,2013,,,266317557,288361779,35846164,-46939207.0,,9021102,-768870,17415998,300856743,87927936,73264250,14663686,4082710,24019672,810035,3.31,,-5573890,-4480859,1707539,2007623,-1587,-56534.0,,,435073,2013年01月01日至2013年12月31日,,-39011930.0,32659321,-6352609,374120993,43443293,-156176,,160448.0,3.31,32659321,38233211.0,,,7169504.0,,-129683.0,,-7089693,,-50030.0,-50030.0
2014-04-30,1,2014,,,61086749,69112119,10464306,20824324.0,,12322661,632158,4443278,75588757,28041617,21793663,6247954,-12815,6328430,236236,1.35,,-2901351,-954791,744537,675238,219,-33374.0,,,153873,2014年01月01日至2014年03月31日,,17706696.0,13934819,31641515,97382420,11446946,12453,,,,13934819,16836170.0,,,-3332943.0,,,-23266.0,-8837689,,69196.0,25834.0
2014-08-21,2,2014,,,49924368,54570337,12524295,17877989.0,,-12393616,1402804,4671415,60952111,28808200,22028888,6779312,411330,6334712,-1423674,1.32,,-2766257,-1578318,501597,676649,-3957,99316.0,,,263210,2014年第2季,,13909992.0,13550299,27460291,82980999,11682776,-22580,,,,13550299,16316556.0,,,-2621059.0,,,111244.0,10200484,,67979.0,-31345.0
2014-11-18,3,2014,,,65711718,70829586,23730252,-44837758.0,,9164447,503302,5309485,89721135,29233039,22266501,6966538,429932,6763471,1710617,2.46,,-2883733,-2376022,1256917,589853,-1552,100340.0,,,159948,2014年第3季,,-40652572.0,25181576,-15470996,111987636,12662809,-97459,,,,25181576,28065309.0,,,2392285.0,,,6032.0,-8433907,79403.0,56685.0,222568.0
2015-03-20,4,2014,,,230938241,257599143,55129028,23532594.0,,37329039,3104001,20016906,292593807,116090170,89241518,26848652,2988582,26433591,4010740,5.89,,-11466171,-6769741,4936075,2848288,-37633,110831.0,,,718430,2014年度,,21763222.0,60482644,82245866,381835325,49298785,-4402,,-579328.0,,60482644,71948815.0,,,-5624643.0,,,-125695.0,-32627938,317430.0,234232.0,530042.0
2015-04-28,1,2015,214376.0,214376.0,45818862,50667031,22150569,,13743461.0,-9393334,653368,4963241,65570293,29344989,22240847,7104142,5691,6625066,-1692180,1.96,11232169.0,-4541414,-1485195,1059619,865664,9326,,,-133825.0,276746,2015年第1季,11446545.0,,20143033,31589578,87811140,12453971,78499,,,,20143033,,24684447.0,0.0,,-763786.0,,10762.0,6469570,,48793.0,-66703.0
2015-08-25,2,2015,124580.0,124580.0,56538072,61766307,23815529,,-53924598.0,-8473811,696502,5474677,78032288,29403173,22387397,7015776,-617255,6776028,-119580,2.15,-47498310.0,-4126365,-2470518,1052498,866177,-9745,,,138396.0,292630,2015年第2季,-47373730.0,,22027386,-25346344,100419685,13116882,-62776,,,,22027386,,26153751.0,0.0,,6470248.0,,-614004.0,7205135,,68379.0,9574.0
