date,season,year,不動產、廠房及設備重估價利益,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,按攤銷後成本衡量之金融負債利益,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,無形資產重估價利益,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,生物資產當期公允價值減出售成本之變動之利益,當期原始認列生物資產之利益,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,處分投資性不動產利益,處分投資損失,處分無形資產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估價之利益（損失）,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,54958,85582,,5992,35076,22040,,,323504,13036,,,236764,0.53,59593.0,0.0,,,89637,,1178.0,,37493.0,-37493,,256732,2013年01月01日至2013年03月31日,,,224316,547820,,221997,521164,,,,336521,-22568,3893865,5023999,1130134,1130134,793613,,,,,180960,,,0.53,355921,224316,313953,,20.0,,,,,,,,26143,1357,,,,,3893865,,,5082476,5023999,58477.0,,2319,26656
2013-08-08,2,2013,,,69702,-95084,,-78721,71436,46338,,,85777,25098,,,180442,0.92,34157.0,0.0,,,158083,,851.0,10764.0,0.0,10764,,326238,2013年04月01日至2013年06月30日,,,400932,486709,,383997,452529,,,,579954,-20939,4369808,5935086,1565278,1565278,985324,,,,,202687,,,0.91,456399,400932,559015,,432.0,,,,,,42688.0,,24418,-488,,,,,4369808,89685.0,,6024771,5935086,,,16935,34180
2013-11-13,3,2013,,,104900,-254971,,-104709,169644,141598,,,-362226,28046,36964.0,,-106401,1.18,,-3458.0,,,154656,,-527.0,,,-24931,,391530,2013年07月01日至2013年09月30日,,,486070,123844,,497000,143620,,,,637686,3040,5258679,6988553,1729874,1729874,1092188,,,,,189232,,,1.16,511426,486070,640726,,327.0,,,,4215.0,,0.0,,36964,-7482,,,,,5258679,47051.0,,7035604,6988553,,,-10930,-19776
2014-03-24,4,2013,0.0,,98869,54957,0.0,-158840,304874,208423,0.0,0.0,578945,96451,,0.0,514891,3.51,0.0,-114529.0,0.0,,469847,0.0,19160.0,,100422.0,-100422,,1548787,2013年01月01日至2013年12月31日,0.0,,1461788,2040733,0.0,1470635,2007021,151396.0,0.0,0.0,2010464,-78829,18541682,24725947,6184265,6184265,4173801,0.0,0.0,0.0,469847.0,757764,,2963.0,3.44,1867250,1461788,1931635,,13026.0,,0.0,0.0,0.0,0.0,35803.0,0.0,124441,12699,0.0,0.0,96451.0,18541682.0,18541682,,25243227.0,25243227,24725947,517280.0,0.0,-8847,33712
2014-05-14,1,2014,,,30239,-272257,,75140,65167,33618,,,-304275,31549,,,-31234,1.0,71242.0,,,,114158,,2639.0,,55667.0,-55667,,419911,2014年01月01日至2014年03月31日,,,414616,110341,,418540,110101,,,,486302,42472,4649387,6253665,1604278,1604278,1117976,,,,,172183,,,0.85,525882,414616,528774,,3423.0,,,,41235.0,,,,42168,-7098,,,,,4649387,,,6463546,6253665,209881.0,,-3924,240
2014-08-13,2,2014,,,22690,412535,,-114910,96850,50785,,,240955,46065,,,-174323,1.16,0.0,25125.0,,,165082,,-641.0,0.0,13613.0,-13613,,466246,2014年第2季,,,492700,733655,,489124,744976,768468.0,,,719717,-61935,5744359,7647056,1902697,1902697,1182980,,,,,174725,,,1.02,542009,492700,657782,,-3384.0,,,,688554.0,,0.0,,30262,12819,,,,,5744359,217758.0,,7864814,7647056,,,3576,-11321
2014-11-07,3,2014,,,24430,-350623,,-31377,71792,34612,,,-158796,37180,9705.0,,181942,1.67,84354.0,,,,114808,,1204.0,,,-6659,,465988,2014年第3季,,,725629,566833,,709349,536157,64747.0,,,816386,24051,6442482,8525903,2083421,2083421,1267035,,,,,161312,,,1.48,639735,725629,840437,,-8681.0,,,,0.0,,8915.0,,9705,-17639,,,,,6442482,280430.0,,8806333,8525903,,,16280,30676
2015-03-18,4,2014,,,48428,-46321,,497,328148,178468,,,220872,149680,,,266976,5.12,293617.0,,0.0,,569568,,4674.0,,118397.0,-118397,,1933404,2014年度,0.0,,2180737,2401609,,2167131,2366114,924405.0,,,2641653,108652,22998068,30569450,7571382,7571382,4929729,,,,569568.0,728547,,-8711.0,4.48,2267778,2180737,2750305,,-4254.0,,,,722364.0,,0.0,,101596,-42651,,,,22998068.0,22998068,,31521800.0,31521800,30569450,952350.0,,13606,35495
2015-05-14,1,2015,,,3495,-219766,,9391,73061,35381,,,-395505,37680,,,-191148,1.31,0.0,12706.0,,-395505.0,135177,,,,22913.0,-22913,-436.0,429423,2015年01月01日至2015年03月31日,,,566696,171191,,560778,177818,3000.0,,,662961,38912,5445998,7233713,1787715,1787715,1124754,,,,,179200,,,1.15,516131,566696,701873,,,-15845.0,,,0.0,,,,20627,28592,,,,,5445998,,,7473228,7233713,239515.0,,5918,-6627
2015-08-06,2,2015,,,2233,-201381,,-27817,78419,36723,,,-287308,41696,,,-83138,0.74,14600.0,0.0,,-287308.0,115405,,,0.0,24529.0,-24529,-475.0,394473,2015年第2季,,,308662,21354,,315078,32358,9588.0,,,426382,-2315,5485944,7055741,1569797,1569797,1143415,,,,,194124,,,0.62,554818,308662,424067,,,2314.0,,,0.0,,15933.0,,28388,-14663,,,,,5485944,173982.0,,7229723,7055741,,,-6416,-11004
