date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,分期付款銷貨收入,利息收入,利息費用,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,6889,13964,120891,57805,,229283,35915,164434,,168975,182428,34685,1.62,1.62,,114161,168975,,,1232.0,6064,,2013年01月01日至2013年03月31日,414191,450106,383469,416758,501435,26917,2315097,3496126,1181029,1181029,800485,-2.0,,,,1452684,1710410,1.42,1.42,414191,528352,,,,635633,1209571.0,1209571,1374005,30722,33348
2013-08-08,2,2013,,41896,1676,114415,11379,,185653,24392,170145,,129543,186701,25387,1.53,1.53,,166698,129543,,,-971.0,6811,,2013年04月01日至2013年06月30日,394736,419128,366466,388947,511051,50383,2372837,3590615,1217778,1217778,821142,-24.0,,,,1432975,1717372,1.38,1.38,394736,561434,,,,798940,,1330744,1500889,28270,30181
2013-11-11,3,2013,,15941,4793,126126,13074,,197866,-11332,172626,,157702,203419,-12567,1.47,1.47,,122344,157702,,,1482.0,1879,,2013年07月01日至2013年09月30日,380922,369590,351407,341006,480653,22613,2177532,3456868,1279336,1279336,924809,-247.0,,,,1511174,1764245,1.31,1.31,380922,503266,,,,495582,,1118712,1291338,29515,28584
2014-03-24,4,2013,,94118,33944,462510,85661,,774124,69671,677550,,618759,800990,70226,5.68,5.68,,495158,618759,,,2977.0,22654,,2013年01月01日至2013年12月31日,1476207,1545878,1363873,1428345,1820649,150716,9199954,14177750,4977796,4977796,3619657,-595.0,,,-3513.0,5845553,6942997,5.07,5.07,1476207,1971365,,-576.0,,2649981,,4982089,5659639,112334,117533
2014-05-09,1,2014,,-41810,5185,115086,16149,,220048,17934,167005,,165187,242995,17566,1.68,1.68,,119463,165187,,,359.0,4566,,2014年01月01日至2014年03月31日,439355,457289,405333,422013,590877,-32059,2262297,3706153,1443856,1443856,968065,9.0,,,,1446121,1770258,1.55,1.55,439355,558818,,,,634840,,1305847,1472852,34022,35276
2014-08-04,2,2014,,8755,13196,113699,17528,,246272,-47239,172254,,180844,244629,-47777,1.72,1.72,,145072,180844,,,543.0,4830,,2014年第2季,469148,421909,437918,395167,587439,26781,2307210,3796011,1488801,1488801,1015061,-5.0,,,,1458345,1769226,1.62,1.62,469148,614220,,,,650493,,1363630,1535884,31230,26742
2014-11-10,3,2014,,-1013,2883,126859,17849,297557.0,297557,44653,178733,,195675,236860,45036,1.47,1.47,,141307,195675,,,-394.0,4805,,2014年第3季,411678,456331,379911,420404,546310,6675,2384793,3967048,1582255,1582255,1162804,11.0,,,,1491378,1821679,1.4,1.4,411678,552985,,,,679891,1432219.0,1432219,1610952,31767,35927
2015-03-23,4,2014,,3481,30063,457861,72558,330026.0,330026,118402,701027,840494.0,752729,946385,131822,5.9,5.9,,517455,752729,840494.0,,701.0,13928,,2014年度,1636813,1755215,1514421,1623293,2106796,47472,9507765,15637337,6129572,6129572,4480637,-1127.0,,,-15995.0,5907523,7098817,5.58,5.58,1636813,2154268,,-3001.0,,2774955,5720588.0,5720588,6421615,122392,131922
2015-05-11,1,2015,,-23358,7903,113223,20111,85063,85063,-66270,191990,336724,212201,222512,-66362,1.70,1.70,-66270,144494,212201,336724,,,6582,418,2015年01月01日至2015年03月31日,479613,413343,445641,385331,632980,-8873,2459221,4137741,1678520,1678520,1158763,,-326,,,1468112,1727028,1.64,1.64,479613,624107,,,,758797,1574424,1574424,1766414,33972,28012
2015-08-10,2,2015,,33324,10454,91129,17618,90967.0,90967,-38485,206496,357035.0,220643,215232,-37801,1.86,1.86,-38485.0,162793,220643,357035.0,,,5465,-837.0,2015年第2季,526263,487778,494400,459281,639813,49243,2415643,4123814,1708171,1708171,1159487,,153.0,,,1475191,1712847,1.81,1.81,526263,689056,,,,702191,1541237.0,1541237,1747733,31863,28497
2015-11-09,3,2015,,-323524,12828,116588,25779,96315.0,96315,102386,217232,388719.0,243290,216293,105504,0.95,0.95,102386.0,33768,243290,388719.0,,,5633,-2316.0,2015年第3季,280291,382677,252653,345420,619122,-305063,2483727,4205067,1721340,1721340,1218806,,-802.0,,,1497107,1745074,0.93,0.93,280291,314059,,,,717551,1541434.0,1541434,1758666,27638,37257
2016-03-21,4,2015,-14387.0,-500764,54758,443103,106428,374636.0,374636,57685,835202,1500385.0,913111,877650,74481,5.36,5.36,72072.0,392793,913111,1500385.0,-446.0,,30922,-2888.0,2015年度,1542030,1599715,1425054,1359209,2349907,-415084,9997088,16835933,6838845,6838845,4932041,,479.0,-16701.0,,5981302,6943922,5.22,5.22,1542030,1934823,-2760.0,,,2996247,6304138.0,6304138,7139340,116976,240506
2016-05-09,1,2016,,18189,30266,121821,32279,98990.0,98990,-112367,218325,397971.0,228154,215528,-102024,1.72,1.72,-112367.0,166079,228154,397971.0,,,4670,556.0,2016年01月01日至2016年03月31日,500459,388092,461658,390684,613413,53125,2492283,4263162,1770879,1770879,1279287,,-13279.0,,,1487928,1719963,1.69,1.69,500459,666538,,,-2380.0,743922,1612385.0,1612385,1830710,38801,-2592
2016-08-04,2,2016,,-168263,23505,152543,38613,114469.0,114469,-112133,265241,406360.0,219596,196002,-125663,1.44,1.44,-112133.0,101319,219596,406360.0,,,6478,1123.0,2016年第2季,408327,296194,386677,311654,647926,-138280,2583693,4398450,1814757,1814757,1319374,,12798.0,,,1465087,1693450,1.41,1.41,408327,509646,,,391.0,860397,1722928.0,1722928,1988169,21650,-15460
2016-11-07,3,2016,,-50464,30216,160120,38288,133030.0,133030,-187612,271177,431405.0,226083,182119,-190666,1.68,1.68,-187612.0,137656,226083,431405.0,,,5862,108.0,2016年第3季,482549,294937,456474,323933,634591,-14386,2465621,4366854,1901233,1901233,1426762,,-199.0,,,1472877,1712621,1.66,1.66,482549,620205,,,-3145.0,728373,1636502.0,1636502,1907679,26075,-28996
