date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,54873,190046,97925,194621,147651,0.31,0.31,,57606,,-24674,,324165,2013年01月01日至2013年03月31日,247922,442543,246766,429187,60414,245114,5830324,6424805,594481,594481,534067,147912,,,0.3,0.3,61990,247922,305528,,7903.0,,18183,1156,13356
2013-08-07,2,2013,,-4875,141768,89271,74238,83229,0.34,0.34,,41429,802.0,61686,,344673,2013年04月01日至2013年06月30日,277728,351966,275927,362437,35008,284149,6180427,6771870,591443,591443,556435,145105,,,0.34,0.34,66657,277728,319157,,4918.0,,8576,1801,-10471
2013-10-31,3,2013,,-46214,113508,109990,-109934,-62739,0.36,0.36,,40987,-4950.0,34055,,439281,2013年07月01日至2013年09月30日,287223,177289,288080,191215,76575,251635,7006937,7715491,708554,708554,631979,126901,,,0.36,0.36,65797,287223,328210,,-3969.0,,5918,-857,-13926
2014-03-11,4,2013,,86692,341428,529493,338968,268050,1.4,1.4,,195766,-425.0,158768,,1464583,2013年01月01日至2013年12月31日,1144186,1483154,1130245,1480657,345398,994554,26846592,29505342,2658750,2658750,2313352,577193,,6238.0,1.38,1.38,271576,1144186,1339952,,21587.0,,35135,13941,2497
2014-05-06,1,2014,,156625,216908,82797,136485,-14143,0.42,0.42,,57769,2543.0,59548,,335934,2014年第1季,347651,484136,342710,429296,54571,350849,5104912,5734972,630060,630060,575489,149295,,,0.42,0.42,90260,347651,405420,,8540.0,,8404,4941,54840
2014-08-04,2,2014,,-56233,-1387,127944,-159726,-102778,0.21,0.21,,25649,-2511.0,89275,,290501,2014年第2季,187311,27585,175610,36480,422,212538,3862579,4336863,474284,474284,473862,129771,,,0.21,0.21,53590,187311,212960,,-1796.0,,3294,11701,-8895
2014-10-30,3,2014,,-29471,-134403,282468,106437,137728,0.15,0.15,,31719,-2599.0,13117,,235748,2014年第3季,127672,234109,127054,244582,224,159167,2519949,2866563,346614,346614,346390,66223,,,0.15,0.15,44419,127672,159391,,-779.0,,2015,618,-10473
2015-03-19,4,2014,,58567,244587,612178,268389,206626,1.01,1.01,,116254,8447.0,73766,,1210665,2014年度,858208,1126597,834690,1102444,58383,916079,15724885,17835363,2110478,2110478,2052095,577166,,1567.0,1.0,1.0,264264,858208,974462,,6818.0,,14452,23518,24153
2015-05-07,1,2015,,20325,261031,92429,-20505,-57887,0.09,0.09,-20505.0,11555,,-90752,-2402.0,259472,2015年01月01日至2015年03月31日,68784,48279,74700,-23433,-181793,262132,2454118,2721166,267048,267048,448841,135857,,,0.09,0.09,53512,68784,80339,,,-19459.0,576,-5916,71712
2015-08-12,2,2015,,-114653,314849,74454,-194526,-86545,0.14,0.14,-194526.0,19673,,-79481,-1911.0,395316,2015年第2季,122258,-72268,120722,-36018,-167326,309257,4242537,4668009,425472,425472,592798,131927,,,0.14,0.14,65555,122258,141931,,,-8583.0,565,1536,-36250
2015-10-30,3,2015,,234887,54759,521256,418408,229641,0.61,0.61,418408.0,107533,,148135,-3480.0,448554,2015年第3季,516658,935066,508702,910993,-99385,723576,5541134,6104593,563459,563459,662844,130240,,,0.61,0.61,84050,516658,624191,,,42640.0,574,7956,24073
2016-03-18,4,2015,-7041.0,444266,2551844,749447,327894,-78771,2.12,2.12,334935.0,563988,,-59340,-7578.0,1683335,2015年度,1737720,2065614,1750279,1909645,-937624,3239332,18892670,20673921,1781251,1781251,2718875,699441,-8484.0,,2.05,2.05,336099,1737720,2301708,-1443.0,,22982.0,2619,-12559,155969
2016-05-09,1,2016,,-56978,1771017,30550,-78667,-26502,1.27,1.27,-78667.0,269151,,-46620,5998.0,318071,2016年01月01日至2016年03月31日,1043408,964741,1027359,986948,-441789,1754348,3635392,3895729,260337,260337,702126,266538,,,1.24,1.24,117517,1043408,1312559,,,1185.0,599,16049,-22207
2016-08-03,2,2016,,11535,206502,42160,-95483,-107770,0.44,0.44,-95483,98812,,117744,-484,392675,2016年第2季,369422,273939,352228,242912,102512,365722,6011545,6723320,711775,711775,609263,153735,,,0.42,0.42,62853,369422,468234,,,-1236,684,17194,31027
2016-11-09,3,2016,,73407,39020,125151,-67998,-148706,0.31,0.31,-67998.0,48592,,7568,7301.0,490098,2016年第3季,264201,196203,246860,140736,141891,170902,5774104,6681444,907340,907340,765449,138944,,,0.3,0.3,136407,264201,312793,,,0.0,837,17341,55467
