date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,3573,22156,235937,273207,-0.12,-0.12,,0,11054.0,-8488,,29108,2013年01月01日至2013年03月31日,-45730,190207,-46257,189680,-60416,14686,3748254,4014304,266050,266050,326466,244926,,,-0.12,-0.12,52432,-45730,-45730,,48324.0,,2555,527,527
2013-08-05,2,2013,,2692,20575,122403,145653,0.04,0.04,,513,1820.0,-8676,,31110,2013年04月01日至2013年06月30日,16033,138436,15765,138168,4567,11979,4544228,4853531,309303,309303,304736,218701,,,0.04,0.04,54925,16033,16546,,25070.0,,2612,268,268
2013-11-04,3,2013,,6584,21618,-96648,-119153,0.16,0.16,,5778,2710.0,-15648,,25918,2013年07月01日至2013年09月30日,61703,-34945,61262,-35386,57706,9775,5978809,6333611,354802,354802,297096,221458,,,0.16,0.16,49720,61703,67481,,-19795.0,,2779,441,441
2014-03-21,4,2013,,-336460,85858,368703,423312,-0.88,-0.88,,-36986,20908.0,-42087,,112037,2013年01月01日至2013年12月31日,-330515,38188,-332012,36691,-63840,-303661,18006989,19165825,1158836,1158836,1222676,908046,,0.0,-0.88,-0.88,202593,-330515,-367501,,75517.0,,10972,1497,1497
2014-05-05,1,2014,,12958,82412,150749,167532,0.22,0.22,,16188,5271.0,-14217,,23306,2014年01月01日至2014年03月31日,81794,232543,81696,232445,20212,77770,3495524,3804257,308733,308733,288521,214314,,7322.0,0.22,0.22,50901,81794,97982,,29376.0,,3383,98,98
2014-08-08,2,2014,,-3036,21976,-166820,-194454,0.34,0.34,,23139,-6534.0,-13680,,21223,2014年第2季,133201,-33619,132944,-33876,154812,1528,4347628,4851525,503897,503897,349085,270773,,0.0,0.34,0.34,57089,133201,156340,,-34168.0,,3732,257,257
2014-11-10,3,2014,,-4870,34208,140965,164232,0.09,0.09,,8717,5606.0,-42867,,15937,2014年第3季,30594,171559,30318,171283,59057,-19746,3143784,3520680,376896,376896,317839,246682,,0.0,0.09,0.09,55220,30594,39311,,28873.0,,6217,276,276
2015-03-10,4,2014,,-3534,179374,458362,533064,0.8,0.8,,34707,13880.0,-148933,,77825,2014年度,276175,734537,275335,733697,301251,9631,13870115,15431081,1560966,1560966,1259715,965249,,4791.0,0.79,0.79,216641,276175,310882,,93373.0,,17276,840,840
2015-05-05,1,2015,0.0,3953,28829,-106926,-127750,0.01,0.01,-106926.0,586,,-1534,-1077.0,12998,2015年01月01日至2015年03月31日,2618,-104308,2481,-104445,-23086,26290,2297412,2579178,281766,281766,304852,243503,0.0,,0.01,0.01,48351,2618,3204,,,-21901.0,4958,137,137
2015-08-10,2,2015,0.0,-12798,27017,-87930,-101703,0.15,0.15,-87930.0,9113,,-3550,-4236.0,16951,2015年第2季,40889,-47041,40617,-47313,43960,6042,2657544,3024205,366661,366661,322701,252614,0.0,,0.15,0.15,53136,40889,50002,,,-18009.0,4627,272,272
2015-11-13,3,2015,0.0,8563,21058,299445,357004,0.73,0.73,299445.0,-3619,,-5655,3773.0,18849,2015年第3季,197047,496492,196782,496227,174679,18749,3271941,3796163,524222,524222,349543,263202,0.0,,0.73,0.73,67492,197047,193428,,,61332.0,5217,265,265
2016-03-18,4,2015,-3645.0,1602,90192,-11764,-846,1.02,1.02,-8119.0,8131,,-15175,-8112.0,65012,2015年度,274380,262616,273643,265898,226351,56160,10923243,12492029,1568786,1568786,1342435,1046831,-4392.0,,1.01,1.01,230592,274380,282511,-747.0,,-839.0,20459,737,-3282
2016-05-05,1,2016,,5524,18864,-127506,-151437,-0.18,-0.18,-127506.0,-5129,,0,-2092.0,18122,2016年01月01日至2016年03月31日,-54208,-181714,-47582,-174633,-77285,17948,2173457,2424840,251383,251383,328668,250246,,,-0.18,-0.18,60300,-54208,-59337,,,-26023.0,6440,-6626,-7081
2016-08-12,2,2016,,14561,18087,-97828,-114606,0.01,0.01,-97828.0,10466,,0,-3272.0,15029,2016年第2季,14222,-83606,1081,-96811,-1520,26208,2460414,2789236,328822,328822,330342,257745,,,0.01,0.01,57568,14222,24688,,,-20050.0,6440,13141,13205
2016-11-08,3,2016,,4196,29563,-246164,-291594,0.05,0.05,-246164.0,15623,,0,-4856.0,32923,2016年第3季,28674,-217490,12113,-233402,16881,27416,2467183,2924158,456975,456975,440094,248463,,,0.05,0.05,158708,28674,44297,,,-50286.0,6343,16561,15912
