date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,166693,24587,7207,355073,188380,0.88,0.88,,58785,,-1299,,519200,2013年01月01日至2013年03月31日,297547,652620,297558,652621,386868,-30536,18849611,20016064,1166453,1166453,779585,65890,,,0.88,0.88,194495,297547,356332,,,61031,-11,-1
2013-08-08,2,2013,,1229,67373,6097,15772,14774,0.96,0.96,,108818,-231.0,-2615,,587275,2013年04月01日至2013年06月30日,322883,338655,322828,338597,423217,8484,19767392,21018646,1251254,1251254,828037,69845,,,0.96,0.96,170917,322883,431701,,,62371,55,58
2013-11-08,3,2013,,91892,10255,18234,5429,-86460,1.07,1.07,,87176,-3.0,-2006,,620683,2013年07月01日至2013年09月30日,360094,365523,360144,365577,489380,-42110,21918057,23274190,1356133,1356133,866753,71649,,,1.07,1.07,174421,360094,447270,,,68593,-50,-54
2014-03-17,4,2013,,750870,119363,41224,985590,226779,3.86,3.86,,336073,-139.0,-6459,,2357537,2013年01月01日至2013年12月31日,1304360,2289950,1304342,2290019,1754325,-113892,82643922,87759131,5115209,5115209,3360884,279409,,9735.0,3.86,3.86,723938,1304360,1640433,,1655.0,268020,18,-69
2014-05-05,1,2014,,-243763,-5842,9130,-88348,155581,1.0,1.0,,67820,-166.0,-4042,,615363,2014年01月01日至2014年03月31日,338838,250490,338803,250451,492072,-85414,21647051,23007779,1360728,1360728,868656,75630,,,1.0,1.0,177663,338838,406658,,,84660,35,39
2014-08-05,2,2014,,34393,47171,17063,-103286,-137639,1.29,1.29,,137265,-40.0,-10452,,643627,2014年第2季,457849,354563,457815,354537,620528,-25414,24188818,25711407,1522589,1522589,902061,78520,,0.0,1.29,1.29,179914,457849,595114,,0.0,79196,34,26
2014-11-05,3,2014,,265421,54576,17461,420591,155133,1.56,1.56,,111264,37.0,-5956,,675364,2014年第3季,553350,973941,553314,973848,691717,-27103,27081292,28720311,1639019,1639019,947302,79708,,,1.56,1.56,192230,553350,664614,,,93184,36,93
2015-03-20,4,2014,,80709,138267,49245,606728,525501,5.18,5.18,,408022,-1421.0,-35667,,2644951,2014年度,1837340,2444068,1837202,2443948,2461914,-216552,101585423,107766685,6181262,6181262,3719348,314762,,2336.0,5.18,5.18,759635,1837340,2245362,,397.0,368397,138,120
2015-04-28,1,2015,,542602,74336,4137,392110,-152827,1.24,1.24,392110.0,92274,,-18545,2335.0,664809,2015年01月01日至2015年03月31日,479238,871348,479202,871270,614517,-43005,26968333,28537762,1569429,1569429,954912,80603,,,1.24,1.24,209500,479238,571512,,,102933,36,78
2015-08-10,2,2015,,560610,53503,17482,460210,-100563,1.09,1.09,460210.0,106876,,-35715,163.0,687670,2015年第2季,487815,948025,487791,948127,644973,-50282,27142594,28755667,1613073,1613073,968100,80482,,,1.09,1.09,199948,487815,594691,,,85552,24,-102
2015-11-03,3,2015,,-1062291,77144,25251,-466062,601129,1.14,1.14,-466062.0,98390,,-47759,-4900.0,723198,2015年第3季,508345,42283,508291,42219,645640,-38905,27081468,28729214,1647746,1647746,1002106,82766,,,1.13,1.13,196142,508345,606735,,,93541,54,64
2016-03-15,4,2015,-5515.0,10243,297236,65912,270042,282581,4.49,4.49,275557.0,366149,,-118941,-17267.0,2787050,2015年度,1983418,2253460,1983249,2253253,2475682,-126115,107207896,113598195,6390299,6390299,3914617,325245,-6644.0,,4.48,4.48,802322,1983418,2349567,-1129.0,,370322,169,207
2016-04-28,1,2016,,-272012,-1535,32381,-485731,-218435,0.9,0.9,-485731.0,89994,,-28525,4716.0,662663,2016年01月01日至2016年03月31日,403259,-82472,403197,-82531,581671,-88418,25693776,27229050,1535274,1535274,953603,74056,,,0.9,0.9,216884,403259,493253,,,90739,62,59
2016-08-10,2,2016,,128647,-14498,38835,105930,-26296,0.93,0.93,105930.0,111434,,-33445,3579.0,664697,2016年第2季,438500,544430,438451,544395,647840,-97906,28523515,30141114,1617599,1617599,969759,76294,,,0.93,0.93,228768,438500,549934,,,88798,49,35
2016-11-07,3,2016,,409428,75919,2746,101,-409396,1.4,1.4,101.0,139917,,-19275,69.0,697925,2016年第3季,659957,660058,659906,660012,859064,-59190,39465933,41325258,1859325,1859325,1000261,77470,,,1.31,1.31,224866,659957,799874,,,118580,51,46
