date,season,year,不重分類至損益之其他項目,不重分類至損益之項目,以成本衡量之金融資產及負債利益,保險負債淨變動,保險費用,備供出售金融資產已實現利益,備供出售金融資產已實現損失,備供出售金融資產未實現評價利益（損失）,兌換利益,兌換損失,其他支出,其他收入,其他綜合損益淨額,再保佣金收入,出售承受擔保品損失,分離帳戶保險商品收益,利息收入,利息費用,勞務成本,勞務收入,可能重分類至損益之其他項目,呆帳費用及保證責任準備提存,國外營運機構淨投資避險屬有效避險部份之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外匯價格變動準備淨變動,後續可能重分類至損益之項目,所得稅費用（利益）,手續費收入,手續費用,投資性不動產利益,投資性不動產費用及損失,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,推銷費用,支出合計,收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,減損損失,減損迴轉利益,營建工程收入,營業費用合計,現金流量避險中屬有效避險部份之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理及總務費用,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,違約證券評價損失,重估增值,銷貨成本,銷貨收入淨額
2013-05-10,1,2013,,,,,,,5209.0,-58717,158609.0,0.0,1373,145700,43747,,,0.0,2327191,911557,,,,282075,,22006,0.6,,,121550,478909.0,70074,,0.0,,80458.0,,,4540.0,,1246149.0,6978192,8363585,2013年01月01日至2013年03月31日,1263843,1307590,,225657,,1246149,,,,0.6,0.0,1263843,1385393,,,,22442.0,,0.0,0.0,108892,,0.0,,4461755,4891645
2013-08-14,2,2013,,,,0.0,0.0,363.0,0.0,96882,67889.0,0.0,9855,6593,233521,,,,2454360,943658,,,,505129,,7749,0.14,,,114176,548468.0,70021,,,,128890.0,,,0.0,57506.0,,7830403,8789028,2013年04月01日至2013年06月30日,844449,1077970,0.0,473713,,1314765,,,,0.14,,844449,958625,,,,10679.0,0.0,0.0,881.0,0,67328.0,,,4861260,5226963
2013-11-11,3,2013,,,21178.0,,,23637.0,0.0,-146181,7486.0,0.0,1615,38761,-125700,,1910.0,,2545061,967368,,,,231539,,-30769,0.19,,,238895,450434.0,68958,43929.0,,,51250.0,,,,121508.0,,7608235,8636286,2013年07月01日至2013年09月30日,789156,663456,0.0,29535,,1280219,,,,0.19,,789156,1028051,,,,0.0,44139.0,0.0,0.0,94079,,,,4890979,5382186
2014-03-24,4,2013,,,,,,,,218340,304434.0,0.0,114550,272586,506224,,,,9950721,3821363,77085.0,90545.0,,1864173,,24265,0.85,0.0,,550498,2018751.0,243848,,,,332967.0,,,,175476.0,,29761847,33500385,2013年01月01日至2013年12月31日,3188040,3694264,0.0,884719,0.0,4974728,,,-71184.0,0.85,,3188040,3738538,,-1836.0,,,,0.0,882.0,266804,,,,18489742,19711825
2014-05-12,1,2014,,,,,,,,23108,203701.0,,1664,84498,58445,,,,2682294,1032914,24281.0,28855.0,,608509,,598,0.23,,,101133,624158.0,105660,,,,33976.0,,,0.0,19924.0,,7875666,9008260,2014年01月01日至2014年03月31日,1031461,1089906,,464080,,1379375,,,,0.23,,1031461,1132594,,-763.0,,,,,,0,8630.0,,,4694709,4920674
2014-08-13,2,2014,,,,,,,,141927,0.0,106521.0,6849,17729,680789,,,,2741553,1055575,21010.0,20130.0,,155674,,-20692,-0.06,,,215736,610852.0,108076,,,,559228.0,,,,28633.0,,8148385,9042282,2014年第2季,678161,1358950,6881.0,0,,1388019,,,,-0.06,,678161,893897,,-326.0,,,,,,197814,0.0,,,5271147,5454204
2014-11-10,3,2014,,,,,,,,-72718,180167.0,,758,594763,-486414,,,,2846862,1051413,17265.0,21150.0,,69264,,29404,0.38,,,287167,629018.0,146989,,,,-442823.0,,,43633.0,0.0,,7791258,9518659,2014年第3季,1440234,953820,,52791,,1511332,,,,0.38,,1440234,1727401,,277.0,,,,,,0,80128.0,,,4914109,5150275
2015-03-26,4,2014,,,,,,,,127760,497663.0,,10387,1292616,151626,2484033.0,,,11157662,4188195,81520.0,90060.0,,1982970,,88781,0.96,,,530909,,406849,,,,74851.0,,,181762.0,0.0,,32335964,36951240,2014年度,4084367,4235993,,736600,,5809226,,,-164608.0,0.96,,4084367,4615276,,-24842.0,,,,,,139964,,,,19856817,20370880
2015-05-11,1,2015,,0.0,,,,,,45759,24201.0,,3265,40170,-20205,,,,2888401,1073386,14006.0,16706.0,0.0,68014,0.0,-66099,0.34,,-20205.0,277999,667973.0,193842,,,,,0.0,0.0,23634.0,0.0,,6974585,8434674,2015年第1季,1182090,1161885,,21603,,1513530,0.0,,,0.34,,1182090,1460089,,,-135.0,,,,,143001,0.0,,,4108542,4608985
2015-08-10,2,2015,,0.0,,,,7795.0,,7134,0.0,112362.0,671,24757,-8809,,,,2876531,1085075,11915.0,12937.0,,1682,,-15591,0.31,,-8809.0,296751,605414.0,130326,,,,,0.0,0.0,,55008.0,,7337369,8756831,2015年第2季,1122711,1113902,0.0,0,,1558004,,,,0.3,,1122711,1419462,0.0,,352.0,,,,,172796,,,,4382326,5056601
2015-11-09,3,2015,,,,,,36629.0,,-22157,227156.0,,5241,123244,29048,,,,2963663,1108732,16266.0,18771.0,,94619,,51934,0.16,,29048.0,240921,644125.0,189681,,,,,,0.0,0.0,106223.0,,7808838,8828176,2015年第3季,778417,807465,,23151,,1647062,,,,0.16,,778417,1019338,,,729.0,,,,,0,124400.0,,,4516614,4791437
2016-03-21,4,2015,,-323284.0,,,,15529.0,,174721,126059.0,,10847,470452,-214200,,,,11635549,4334074,,,0.0,744291,0.0,-62370,0.48,,109084.0,814393,2528079.0,484629,,,,,,0.0,0.0,337850.0,,29992168,34001646,2015年度,3195085,2980885,,13176,,6402953,0.0,-387036.0,,0.48,,3195085,4009478,-63752.0,,3267.0,,,,,278868,,,,17677524,18933934
2016-05-09,1,2016,0.0,0.0,,,,,25.0,177220,31038.0,,1817,50215,158509,,,,2880789,1043537,,,,108084,,-19610,-0.1,,158509.0,132355,698676.0,266619,,,0.0,,0.0,,0.0,30127.0,,6918568,7553423,2016年01月01日至2016年03月31日,502500,661009,,24509,,1653237,,0.0,,-0.1,,502500,634855,0.0,,-899.0,,,,,4891,,,0.0,3815122,3863305
