date,season,year,不重分類至損益之項目,以成本衡量之金融資產及負債利益,備供出售金融資產已實現利益,備供出售金融資產未實現評價利益（損失）,兌換利益,兌換損失,共同控制下前手權益,其他支出,其他收入,其他綜合損益淨額,出售承受擔保品損失,利息收入,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目,所得稅費用（利益）,手續費收入,投資性不動產利益,投資性不動產費用及損失,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,推銷費用,支出合計,收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,減損損失,減損迴轉利益,營業費用合計,研究發展費用,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃收入,稀釋每股盈餘合計,管理及總務費用,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,銷貨成本,銷貨收入淨額,非控制股權
2013-05-10,1,2013,,,3189.0,315029,65493.0,,,63734,6020,491347,0.0,302252,186994,104674,0.11,,119650,86639,,,71644.0,,,4542.0,250943,9141108,9568620,2013年01月01日至2013年03月31日,307862,799209,,3148.0,734075,39252,,,1951,15539,0.11,443880,307862,427512,,,152.0,,13707,,10105.0,,8149812,9062376,
2013-08-13,2,2013,,,4238.0,255310,28792.0,0.0,,50766,44576,287084,,312340,185648,24003,0.25,,138875,76614,,,7771.0,,,5289.0,179610,10961497,11663420,2013年04月01日至2013年06月30日,563048,850132,,0.0,596199,54982,,,6197,30691,0.25,361607,563048,701923,,,0.0,627.0,4133,,,22838.0,10093933,11162036,
2013-11-12,3,2013,,,,64437,0.0,48203.0,,38120,231812,236254,,328007,193454,-50294,0.22,,64928,142565,,,222111.0,,10999.0,0.0,185620,10928957,11531128,2013年07月01日至2013年09月30日,537243,773497,3148.0,0.0,614657,50358,,,4107,15433,0.22,378679,537243,602171,,,33771.0,,42419,,34302.0,,10027268,10691820,
2014-03-28,4,2013,,,,962912,96259.0,0.0,,208290,290325,1466089,,1332964,728328,137820,0.65,,289643,344453,,,332698.0,,,19806.0,895560,40277842,42251225,2013年01月01日至2013年12月31日,1683740,3149829,,,2847836,213381,,33794.0,18960,95341,0.65,1738895,1683740,1973383,,1135.0,34830.0,,88832,,0.0,8141.0,36446481,39968221,
2014-05-14,1,2014,,,,-167108,45022.0,,,72513,32679,-164516,,339008,181784,86359,0.35,,96479,119501,2196539.0,1808581.0,-83767.0,,,4611.0,217558,10882084,11674304,2014年01月01日至2014年03月31日,695741,531225,,,712690,44815,,,1520,12181,0.35,450317,695741,792220,,,0.0,438.0,2154,,12974.0,,8099947,8914246,
2014-08-12,2,2014,,,17184.0,99685,0.0,44544.0,,68854,73342,138686,,357711,189321,-105095,0.19,,125803,138721,0.0,0.0,144096.0,,,11841.0,171616,10211719,10756147,2014年第2季,418625,557311,,0.0,748471,72735,,,937,6575,0.19,504120,418625,544428,,,,5929.0,1449,,20077.0,0.0,9141822,10141088,
2014-11-13,3,2014,,,51453.0,-31114,38864.0,0.0,,663,233131,45631,,371282,191709,70377,0.2,,58557,142427,0.0,0.0,6368.0,,24455.0,,190140,10251518,10748993,2014年第3季,438918,484549,0.0,,780138,75994,,,139,6528,0.2,514004,438918,497475,,,343.0,0.0,0,573.0,0.0,36962.0,9241334,9880510,
2015-03-26,4,2014,,,83054.0,-291060,120751.0,,,198687,355520,-153274,,1441133,751669,222912,0.81,,313027,523685,2196539.0,1808581.0,-15826.0,,827.0,0.0,923713,42314303,44350318,2014年度,1722988,1569714,,,3150196,282934,,-75717.0,3369,49325,0.81,1943549,1722988,2036015,,-6417.0,0.0,44904.0,3170,,,23010.0,36333887,39576314,
2015-05-12,1,2015,,,1091.0,28115,0.0,66958.0,,73635,54229,-4815,,374332,194050,-56687,0.11,-4815.0,55692,109202,0.0,0.0,,23757.0,,9841.0,232870,8829763,9109647,2015年01月01日至2015年03月31日,224192,219377,,,740730,30977,,,162,8728,0.11,476883,224192,279884,,,,161.0,3279,,45002.0,,7744226,8513784,
2015-08-11,2,2015,,,2316.0,-55950,0.0,8018.0,,17353,42814,-223682,,394813,194674,-124677,0.06,-223682.0,75480,144244,0.0,0.0,,-43055.0,,10326.0,220254,9320277,9521095,2015年第2季,125338,-98344,,,733119,57459,,,1197,10413,0.06,455406,125338,200818,,,496.0,0.0,2472,,0.0,19238.0,8336352,8923527,
