date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不動產、廠房及設備重估價利益,什項支出,佣金支出,保全費,修繕費,停業單位損益合計,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他減損迴轉利益,其他營業收入,其他營業收入淨額,利息收入合計,利息費用,勞務收入,勞務收入合計,勞務收入淨額,各項攤提,呆帳損失,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,委託研究費,工程收入,工程收入淨額,工程收入退回及折讓,廣告費,所得稅費用（利益）合計,手續費支出合計,投資支出（投資公司適用）合計,投資收入合計,投資收入（投資公司適用）合計,折舊,折舊及折耗,持有至到期日金融資產利息收入,按攤銷後成本衡量之金融資產利息收入,捐贈,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,文具用品,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權利金收入,母公司業主（淨利／損）,母公司業主（綜合損益）,水電瓦斯費,減損損失合計,減損迴轉利益合計,漁業作業費用,漁貨銷售費用,無活絡市場債券投資利息收入,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,租金支出,租金收入,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,職工福利,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,訓練費,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,運費,運輸收入淨額,金融資產減損損失,金融資產減損迴轉利益,金融資產（負債）出售淨利益,金融資產（負債）出售淨損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,,,,85.0,,,-571,1843,,,522.0,0.0,,,533,1190,,,,32.0,0.0,-0.03,-0.03,407.0,,139.0,,,,,0.0,0,,,,,,0.0,,,,0.0,258.0,-258.0,2184,2.0,2013年01月01日至2013年03月31日,,-6571,-6571,,-6571,-6571,,522.0,0.0,,,,,-6395,-176,14718,17195,2477,2477,8872,,,268,,903.0,6420,,-6571,-6571,17.0,,51.0,,,,9.0,1190,39.0,,,,,0.0,0.0,,,533.0,14718,14718,,17195,17195,17195,,0.0,0.0
2013-08-12,2,2013,19.0,311.0,,,0.0,0.0,,,,166,2736,,,476.0,77.0,,,909,1142,0.0,0.0,0.0,,0.0,-0.01,-0.01,1007.0,103.0,0.0,0.0,195.0,195.0,0.0,,0,,,,,,0.0,,,,,,,2199,,2013年04月01日至2013年06月30日,,-1894,-1894,,-1894,-1894,,495.0,388.0,,,,195.0,-3654,1760,29718,34588,4870,4870,8524,,0.0,35,,820.0,6290,0.0,-1894,-1894,,0.0,81.0,0.0,,,,1142,89.0,,,,0.0,,0.0,,,909.0,29718,29718,,34393,34393,34393,,0.0,0.0
2013-11-12,3,2013,0.0,-311.0,19.0,-69.0,0.0,0.0,,,1697.0,2745,294,,,,,,,1697,1209,0.0,0.0,0.0,,17058.0,-0.24,-0.24,-1414.0,,1.0,0.0,2704.0,2704.0,0.0,,139,0.0,,,,,156.0,,,,7.0,0.0,7.0,23060,,2013年07月01日至2013年09月30日,,-60359,-60359,,-60359,-60359,,0.0,-311.0,0.0,0.0,,2704.0,-62057,1837,52925,38851,-14074,-14074,47983,,0.0,1087,,,23836,0.0,-60359,-60220,,11.0,2847.0,,0.0,,,1209,122.0,,0.0,,,,0.0,,,,52925,52925,,36147,36147,36147,,0.0,0.0
2014-03-20,4,2013,22190.0,,,,0.0,0.0,,,2879.0,-19543,6437,,,823.0,,,,3131,4693,6437.0,6437.0,6437.0,,38859.0,-0.33,-0.33,0.0,,37.0,1126.0,5269.0,5269.0,,,3124,,,,,,167.0,0.0,0.0,,0.0,1332.0,-1332.0,12064,,2013年01月01日至2013年12月31日,,-83242,-83242,,-83242,-83242,,23013.0,0.0,0.0,0.0,0.0,5269.0,-60987,-19131,106714,125683,18969,18969,79956,,0.0,1927,,3306.0,65965,0.0,-83242,-80118,,0.0,2869.0,0.0,0.0,,,4693,638.0,,0.0,,,0.0,0.0,,,252.0,106714,106714,,113977,113977,113977,,0.0,0.0
2014-05-13,1,2014,,,,,,,,0.0,,2151,1252,,0.0,0.0,467.0,,,37,1079,,,,0.0,,-0.02,-0.02,431.0,,0.0,,,,,,61,,,,,172.0,17.0,,,,,951.0,-951.0,2208,0.0,2014年01月01日至2014年03月31日,,-5952,-5952,,-5952,-5952,,0.0,467.0,,,,,-7264,1373,14219,15571,1352,1352,8616,61.0,,129,,784.0,6279,,-5952,-5891,18.0,,0.0,14.0,,,2.0,1079,1698.0,,,73.0,,0.0,0.0,,,37.0,14219,14219,,15571,15571,15571,,,
2014-08-13,2,2014,,-21.0,,3986.0,0.0,0.0,,,,-5600,466,25.0,,,,,,85,1039,,0.0,,,3069.0,-0.15,-0.15,-431.0,,0.0,0.0,,,,,9607,,,,,,-11.0,,,,,300.0,-300.0,2349,,2014年第2季,,-38125,-38125,,-38125,-38125,,,-21.0,0.0,0.0,,,-22045,-6473,57136,46232,-10904,-10904,11141,9607.0,0.0,-12,,787.0,8804,0.0,-38125,-28518,,,8.0,-14.0,,,,1039,-1615.0,,0.0,,,,,,,85.0,57136,57136,1.0,46233,46233,46232,,,
2014-10-23,3,2014,0.0,269.0,0.0,112.0,0.0,0.0,,,42.0,19982,831,44.0,,,,,,42,850,0.0,0.0,0.0,,7484.0,0.01,0.01,0.0,,0.0,0.0,2451.0,2451.0,0.0,,619,0.0,,,,,0.0,,,,122.0,0.0,122.0,1918,,2014年第3季,,1773,1773,,1773,1773,,0.0,269.0,0.0,0.0,,2451.0,-17693,20085,23566,23213,-353,-353,17340,,0.0,0,,637.0,15422,0.0,1773,2392,,108.0,23408.0,,0.0,,,850,0.0,3583.0,0.0,,,,0.0,,,,23566,23566,200.0,20962,20962,20762,,0.0,0.0
2015-03-27,4,2014,0.0,,,6220.0,0.0,0.0,,,0.0,18127,3241,153.0,,0.0,,,,449,3546,,,,,3990.0,-0.25,-0.25,0.0,,0.0,0.0,,,,,37872,,9876.0,0.0,13148.0,,5.0,0.0,0.0,,,265.0,-265.0,8094,,2014年度,,-66000,-66000,0.0,-66000,-66000,,0.0,0.0,0.0,0.0,0.0,,-45685,17557,112193,105626,-6567,-6567,39118,37872.0,0.0,118,,2617.0,30906,0.0,-66000,-28128,,22.0,23420.0,,604.0,,,3546,323.0,,0.0,,,0.0,0.0,13148.0,9876.0,449.0,102317,102317,212.0,92690,92690,92478,,0.0,0.0
2015-05-13,1,2015,,,,,,,,,,-2197,461,21.0,,,0.0,776.0,776.0,33,561,,,,61.0,676.0,-0.02,-0.02,0.0,,,,,,,8.0,0,,,,,666.0,0.0,,,,,722.0,-722.0,1902,,2015年01月01日至2015年03月31日,0.0,-7046,-7046,,-7046,-7046,10.0,,0.0,,,,,-4027,-3019,22741,27014,4273,4273,8300,,,4,393.0,407.0,6394,,-7046,-7046,14.0,,,0.0,,,0.0,561,0.0,2197.0,,122.0,,,,,,33.0,22741,22741,,26238,26238,26238,,,
2015-08-14,2,2015,,0.0,,1.0,0.0,0.0,,,,-22384,603,161.0,,,,6076.0,6076.0,35,546,,0.0,,,104.0,-0.09,-0.09,0.0,,,0.0,0.0,0.0,,,0,,,,,,0.0,,,,,-845.0,845.0,2047,,2015年第2季,0.0,-27371,-27371,,-27371,-27371,,16000.0,0.0,0.0,0.0,,0.0,-5889,-21482,21656,24438,2782,2782,8671,,0.0,179,,407.0,6445,0.0,-27371,-27371,,,0.0,6.0,,,,546,0.0,6377.0,0.0,,,16000.0,,,,35.0,21656,21656,12.0,18374,18374,18362,,,
