date,season,year,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,-8245,3786,1866,164357,1920,17737,164357,0.84,0.84,8245,,27935,46101,2013年01月01日至2013年03月31日,84577,248934,84577,248934,134708,-22196,873494,1169187,295693,295693,160985,13582,,0.83,0.83,101302,84577,,112512,17737,,,
2013-08-07,2,2013,8517,4642,-359,104591,3576,17720,104591,1.23,,-5010,,38225,82599,2013年04月01日至2013年06月30日,123836,228427,123836,228427,166622,-4561,1047848,1414860,367012,367012,200390,25883,1425.0,1.22,,91908,123836,1.23,162061,17720,3507.0,0.0,0.0
2013-11-08,3,2013,2195,3735,2086,-47239,173,16973,-47239,1.85,1.85,-1881,,62297,107937,2013年07月01日至2013年09月30日,187035,139796,187035,139796,260375,-11043,1146950,1631011,484061,484061,223686,20149,1476.0,1.85,1.85,95600,187035,,249332,16973,314.0,,
2014-03-14,4,2013,-1365,-59697,-79793,286228,14507,71270,286228,5.36,5.36,7879,,188457,346197,2013年01月01日至2013年12月31日,541119,827347,541119,827347,861908,-132332,4212042,5899431,1687389,1687389,825481,89492,5589.0,5.35,5.35,389792,541119,,729576,71270,6514.0,,
2014-05-09,1,2014,-22067,10063,1803,76741,6464,14762,76741,2.06,2.06,8702,,59153,77670,2014年01月01日至2014年03月31日,208312,285053,208312,285053,294231,-26766,1145149,1636341,491192,491192,196961,16484,1796.0,2.06,2.06,102807,208312,,267465,14762,-13365.0,,
2014-08-04,2,2014,877,12329,-1065,-133013,11622,19876,-133013,2.97,2.97,2479,,97664,88938,2014年第2季,299885,166872,299885,166872,404219,-6670,1308146,1949090,640944,640944,236725,25129,1772.0,2.97,2.97,122658,299885,,397549,19876,3356.0,,
2014-11-05,3,2014,-21118,14921,3441,146381,11003,10037,146381,2.19,2.19,23694,,70743,118301,2014年第3季,226062,372443,226300,372248,313039,-16234,1226218,1787916,561698,561698,248659,25528,477.0,2.19,2.19,104830,226062,,296805,10037,2576.0,-238.0,195.0
2015-03-13,4,2014,-31124,58190,8170,455109,45441,54848,455109,9.78,9.78,28638,,319260,389526,2014年度,1001817,1456926,1002164,1453033,1348859,-27782,4948583,7206294,2257711,2257711,908852,90027,4579.0,9.62,9.62,429299,1001817,,1321077,54848,-2486.0,-347.0,3893.0
2015-05-07,1,2015,-15785,18249,2114,-120763,15592,8738,-120763,2.22,2.22,39718,-120763.0,77718,133939,2015年01月01日至2015年03月31日,233182,112419,233429,112742,317174,-6274,1281056,1862957,581901,581901,264727,17037,543.0,2.03,2.03,113751,233182,,310900,8738,23933.0,-247.0,-323.0
2015-07-31,2,2015,26007,12128,-2176,-101678,14126,7858,-101678,2.87,2.87,-19825,-101678.0,134816,157363,2015年第2季,308029,206351,308720,212686,412568,30277,1483726,2187996,704270,704270,291702,23935,178.0,2.72,2.72,110404,308029,,442845,7858,6182.0,-691.0,-6335.0
2015-11-03,3,2015,94530,59939,46336,204861,13338,11680,204861,3.29,3.29,-111949,204861.0,102328,150621,2015年第3季,368670,573531,369032,575020,328209,142789,1470665,2129498,658833,658833,330624,24195,265.0,3.23,3.23,155808,368670,,470998,11680,-17419.0,-362.0,-1489.0
2016-03-16,4,2015,188523,128042,70026,-261237,56784,43960,-261237,12.24,12.24,-162742,-261237.0,439390,537168,2015年度,1349123,1087886,1350717,1096129,1515908,272605,5454367,8122470,2668103,2668103,1152195,88597,1232.0,11.63,11.63,526430,1349123,,1788513,43960,25781.0,-1594.0,-8243.0
2016-05-06,1,2016,-12922,42565,36971,-149531,5226,15350,-149531,2.51,2.51,13098,-149531.0,105522,129551,2016年01月01日至2016年03月31日,298737,149206,297347,147388,389966,14293,1258836,1912870,654034,654034,264068,19927,368.0,2.22,2.22,114590,298737,,404259,15350,176.0,1390.0,1818.0
2016-08-05,2,2016,77725,21258,12813,-251327,8092,20936,-251327,2.77,2.77,-83796,-251327.0,125230,120955,2016年第2季,324374,73047,328925,77167,371557,78047,1296104,1998596,702492,702492,330935,19773,353.0,2.69,2.69,190207,324374,,449604,20936,-6071.0,-4551.0,-4120.0
2016-11-04,3,2016,-1200,19128,10787,-401236,7992,14829,-401236,1.34,1.34,362,-401236.0,27185,135681,2016年第3季,155898,-245338,158886,-236730,179984,3099,1197415,1714665,517250,517250,337266,35485,349.0,1.31,1.31,166100,155898,,183083,14829,-838.0,-2988.0,-8608.0
