date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,,11210,687,687,,9127,10996,1.29,1.29,,,,,12490,,,22547,2013年01月01日至2013年03月31日,,79178,88305,,78198,87325,,,80411,11257,193679,333067,139388,139388,58977,12490,19303,,,1.28,1.28,17127,79178,91668,,1869,,,640,,,,,339588,339588,333067,6521,980,980
2013-07-30,2,2013,,,,4026,3795,3795.0,,5811,7002,1.51,,,,,,13695,,,24891,2013年04月01日至2013年06月30日,,92198,98009,,91296,96275,,,98782,7111,204484,363867,159383,159383,60601,,21346,,,1.5,,14364,92198,105893,,1191.0,,,710,,204484.0,204484.0,1893.0,399861.0,399861,363867,34101.0,902,1734
2013-10-31,3,2013,,,,-6154,823,,,-4212,-5075,1.25,,,,,,14757,,,21089,2013年07月01日至2013年09月30日,,76321,72109,,75839,72001,,,97513,-6435,210289,366670,156381,156381,58868,,23304,,,1.25,,14475,76321,91078,,-863.0,,,1104,,210289.0,210289.0,9460.0,,376130,366670,,482,108
2014-02-21,4,2013,,,0.0,13779,8926,,,14860,19912,6.0,,,,,,65161,,,86670,2013年01月01日至2013年12月31日,,365643,380503,,363841,378040,,,412306,18498,852092,1498942,646850,646850,234544,,87674,,-1667.0,5.92,,60200,365643,430804,,3385.0,,,4207,,,,40461.0,,1539403,1498942,,1802,2463
2014-04-22,1,2014,,,,12389,2260,,,200,241,2.31,,,,,,24014,,,19135,2014年01月01日至2014年03月31日,,142661,142861,,141917,141541,,,153537,13138,230669,443106,212437,212437,58900,,21488,,,2.25,,18277,142661,166675,,41.0,,,1511,,,,,,445625,443106,2519.0,744,1320
2014-07-28,2,2014,,,,-13458,4453,,,-7474,-9005,2.62,,,,,,31602,,,20544,2014年第2季,,163225,155751,,162615,155666,,,205062,-10235,275368,539997,264629,264629,59567,,23113,,,2.58,,15910,163225,194827,,-1531.0,,,1230,,,,2958.0,543633.0,543633,539997,678.0,610,85
2014-11-10,3,2014,,,,14116,6101,,,10487,12635,2.73,,,,,,26072,,,19015,2014年第3季,,194558,205045,,195815,205823,,,200995,19635,261847,526179,264332,264332,63337,,26045,,,2.7,,18277,194558,220630,,2148.0,,,582,,,,2616.0,,528795,526179,,-1257,-778
2015-02-24,4,2014,,,0.0,49704,14855,,,18428,22878,10.43,,,,,,135020,,,82102,2014年度,,745499,763927,,745253,762116,,,821002,59517,1068308,2155184,1086876,1086876,265874,,105860,,-561.0,10.26,,77912,745499,880519,,3889.0,,,5042,,,,14607.0,,2169791,2155184,,246,1811
2015-04-23,1,2015,0,0,0,-7772,3283,,,-4914,-5920,3.56,,,,,-4914,34066,0,0,25296,2015年01月01日至2015年03月31日,34066,257985,253071,0,257841,253221,,,296819,-4768,292600,659764,367164,367164,70345,,26104,0,,3.54,,18945,257985,292051,0,,-1006,0,279,0,,,,,662274,659764,2510,144,-150
2015-07-30,2,2015,,0.0,0.0,-14595,702,,,-7250,-8735,3.45,,,,,-7250.0,46392,,0.0,26327,2015年第2季,,250327,243077,,249665,242786,,,310928,-14209,304875,692144,387269,387269,76341,,30724,,,3.43,,19290,250327,296719,,,-1485.0,,316,,304875.0,304875.0,,698218.0,698218,692144,6074.0,662,291
2015-10-28,3,2015,0.0,0.0,,76944,1765,,0.0,24129,29071,4.63,,,,,24129.0,54812,0.0,,25892,2015年第3季,,337454,361583,0.0,335586,357990,,,313785,78481,333783,730276,396493,396493,82708,,34718,0.0,,4.61,,22098,337454,392266,0.0,,4942.0,0.0,228,0.0,333783.0,333783.0,7525.0,,737801,730276,,1868,3593
2016-03-10,4,2015,,-2218.0,0.0,48004,8557,,0.0,-8029,-7001,13.45,,,,,-5811.0,181797,,,107651,2015年度,,1122100,1114071,,1120274,1111278,,,1249114,54783,1259917,2822080,1562163,1562163,313049,,139997,-2218.0,,13.38,,65401,1122100,1303897,,,-1190.0,,1778,,,,90989.0,2913069.0,2913069,2822080,,1826,2793
2016-05-05,1,2016,,0.0,0.0,-39905,1748,,,5201,15235,3.2,,14237.0,21255.0,21255.0,5201.0,45461,,0.0,36270,2016年01月01日至2016年03月31日,,270480,275681,,267373,273100,14237.0,21255.0,357147,-41206,366891,827320,460429,460429,103282,,45910,,,3.19,,21102,270480,315941,0.0,,10034.0,,3049,,352654.0,352654.0,30143.0,836208.0,836208,806065,,3107,2581
2016-08-08,2,2016,,,,4543,5237,,,-16194,-16194,3.35,,32410.0,43474.0,43474.0,-16194.0,72413,,,68433,2016年第2季,,279087,262893,,279823,263576,32410.0,43474.0,345838,5662,382163,871575,489412,489412,143574,,48335,,,3.28,,26806,279087,351500,,,0.0,,4118,,349753.0,349753.0,9538.0,837639.0,837639,828101,,-736,-683
