date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,遞延所得稅費用（利益）,重估增值,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,0.0,-3517,-8873,759,759.0,0.0,0.0,-3681,12915.0,0.0,-0.03,,0.0,,-4517,,,-164.0,-164.0,,,5.0,0.0,5,,1716,2013年01月01日至2013年03月31日,0.0,,-14018,-17699,,-14018,-17699,2489,-21024,186066,203192,17126,17126,14637,3030.0,,,20851.0,20851.0,,9891,-14018,-18535,,,,,12915,,,,186066.0,182341.0,,0.0,0.0
2013-08-12,2,2013,,,,-3517,-1791,946,,,,-3517,,,-0.1,-0.1,0.0,,-129,,,0.0,0.0,,,,,-279,,62,2013年04月01日至2013年06月30日,0.0,,-37428,-40945,,-37428,-40945,-23013,-14544,185552,177067,-8485,-8485,14528,2500.0,,,,20945.0,,11966,-37428,-37557,,,,,13420,,,0.0,,156122.0,0.0,0.0,0.0
2013-11-12,3,2013,,,,-1407,3883,2203,,,,-1407,,,-0.07,-0.07,0.0,,785,,,0.0,0.0,,,,,-305,,1448,2013年07月01日至2013年09月30日,0.0,,-29403,-30810,,-29403,-30810,-19156,-9462,192269,187722,-4547,-4547,14609,0.0,,,,20803.0,,13161,-29403,-28618,,,,,15243,,,0.0,,166919.0,0.0,0.0,0.0
2014-03-27,4,2013,,,,-8206,-13131,33357,,,,-13505,,,-0.69,,,,-7545,,,-108.0,-74.0,-31.0,-3.0,,622.0,-622,,18106,2013年01月01日至2013年12月31日,,,-112190,-125695,,-112190,-125695,-82416,-37319,816927,838805,21878,21878,104294,5530.0,,-5191.0,,83130.0,,80658,-112190,-119735,,,,,56923,,,,,755675.0,,0.0,0.0
2014-05-13,1,2014,,,,-4221,-6400,648,,0.0,,-4221,,,-0.17,,,,-2080,,,0.0,0.0,,,0.0,704.0,-704,,9493,2014年第1季,,,-33995,-38216,,-33995,-38216,-15798,-20277,233473,246999,13526,13526,29324,0.0,,,,20196.0,,19831,-33995,-36075,,,,,13821,,,,,226803.0,,0.0,0.0
2014-08-12,2,2014,,,0.0,-938,3572,506,,,,-938,,,-0.41,,,,-996,,,0.0,0.0,,,,,1624,,5413,2014年第2季,,,-88318,-89256,,-88318,-89256,-80329,-8985,260639,244680,-15959,-15959,64370,0.0,,,,20270.0,,58957,-88318,-89314,,,,,14687,,,,,224410.0,,0.0,0.0
2014-11-12,3,2014,,,,949042,-983908,460,,0.0,,949042,,,-4.6,,,,1928,,,,,,,,,1331,,1504,2014年第3季,,,-979713,-30671,,-979713,-30671,-15222,-962563,198751,203106,4355,4355,19577,0.0,,,,,,18073,-979713,-977785,,0.0,,,-19554,1928.0,,,,,,,
2015-03-23,4,2014,,,,974143,-988384,24965,,-3381.0,,985960,,,-5.33,,,,-2191,,,0.0,,,,,,1720,,12692,2014年度,,,-1119344,-133384,,-1119344,-133384,-95814,-1025721,897448,908525,11077,11077,103510,0.0,,11817.0,,,,90818,-1119344,-1121535,,0.0,,,64022,,,,,,,,
2015-05-11,1,2015,,,,1753,-161,133,,0.0,,1630,,,-0.1,,,1630.0,0,,,,,,,,,-1284,-123.0,2146,2015年第1季,,0.0,-22163,-20533,,-22163,-20533,-6407,-15756,111801,137992,26191,26191,32598,,,,,,,30452,-22163,-22163,,,0.0,,14444,0.0,,,,137992.0,,,
2015-08-10,2,2015,,,,33045,297,51,,0.0,,33045,,,-0.1,,,33045.0,0,,,,,,,,,-149,0.0,2286,2015年第2季,,0.0,-21135,11910,,-21135,11910,-3622,-17513,120242,136337,16095,16095,19717,,,,,,,17431,-21135,-21135,,,0.0,,17712,,,,,136337.0,,,
