date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,-18565,-9334,73280,,,288352,105889,0.94,0.94,,,31894,,201028.0,89739,,2013年01月01日至2013年03月31日,1431,306093,594445,286419,559939,189288,148699,1346506,2468196,1121690,1120259,930971,,,0.94,0.94,306093,337987,,4986,3281,2475815,2468196,4338,19674,34506
2013-08-07,2,2013,,-34569,21913,47753,,,-46043,61213,1.06,1.06,,,35452,,-72687.0,124158,,2013年04月01日至2013年06月30日,6113,342694,296651,323368,272563,188899,189247,1477896,2672202,1194306,1188193,999294,,,1.06,1.06,342694,378146,,4577,2390,2684679,2672202,10087,19326,24088
2013-11-12,3,2013,,34569,-6093,83089,,,63752,-42947,1.04,1.04,,,40877,,72130.0,91667,,2013年07月01日至2013年09月30日,21492,335743,399495,314904,382968,214517,162103,1495955,2676163,1180208,1158716,944199,,,1.03,1.03,335743,376620,,6560,3365,2688492,2676163,8964,20839,16527
2014-03-18,4,2013,,-37130,-18315,272159,,-652.0,425111,194164,3.9,3.9,,,158738,,264900.0,319090,,2013年01月01日至2013年12月31日,45471,1272224,1697335,1189544,1589629,880472,550490,5841222,10721135,4879913,4834442,3953970,,3829.0,3.89,3.89,1272224,1430962,,22444,14975,10773399,10721135,37289,82680,107706
2014-05-06,1,2014,,12804,41708,108776,,,-185813,-16674,0.86,0.86,,,47598,,-181943.0,4804,,2014年01月01日至2014年03月31日,10692,293174,107361,268343,87926,191935,148837,1433888,2565720,1131832,1121140,929205,,,0.86,0.86,293174,340772,,6451,2682,2577309,2565720,8907,24831,19435
2014-08-05,2,2014,,-3201,22175,103122,,,-152418,-81068,0.96,0.96,,,52446,,-68149.0,31616,,2014年第2季,19593,320180,167762,297377,155084,222201,150425,1548883,2777012,1228129,1208536,986335,,,0.95,0.95,320180,372626,,6488,3112,2790738,2777012,10614,22803,12678
2014-11-12,3,2014,,385760,23982,102861,,,480826,115998,1.06,1.06,,,48230,,-20932.0,89670,,2014年第3季,21227,344597,825423,329085,780175,183541,209286,1554802,2759033,1204231,1183004,999463,,,1.06,1.06,344597,392827,,7227,3299,2769014,2759033,6682,15512,45248
2015-03-17,4,2014,,279864,4471,428855,,4716,272038,170716,3.46,3.46,,,159120,,-155513,94641,,2014年度,66756,1162167,1434205,1075394,1324193,820950,500337,6119567,11055088,4935521,4868765,4047815,,-27745,3.45,3.45,1162167,1321287,,27630,11437,11102039,11055088,35514,86773,110012
2015-05-05,1,2015,,44275,15493,164729,96158.0,,-9707,-44283,0.95,0.95,68571.0,-9707.0,45360,,,36616,-9699.0,2015年01月01日至2015年03月31日,12457,316011,306304,295567,286512,150864,210507,1702215,2926743,1224528,1212071,1061207,,,0.95,0.95,316011,361371,,6331,3929,2935602,2926743,4930,20444,19792
2015-07-28,2,2015,,32725,-2423,142827,142827.0,,-122609,-67150,0.96,0.96,0.0,-122609.0,48423,,,62441,-88184.0,2015年第2季,33247,327723,205114,298649,182622,179942,196204,2029899,3438246,1408347,1375100,1195158,,,0.96,0.96,327723,376146,,6641,5233,3455380,3438246,11901,29074,22492
2015-11-03,3,2015,,-81813,-4629,125168,125168,,131388,201895,0.99,0.99,0,131388,55273,,,111351,11306,2015年第3季,24718,329190,460578,308206,420323,160692,223771,2030401,3417486,1387085,1362367,1201675,,,0.99,0.99,329190,384463,,8119,7195,3431750,3417486,7069,20984,40255
2016-03-08,4,2015,-54745,22137,-5495,559838,491267,,-228210,-95238,3.80,3.80,68571,-173465,221224,-6383,,256135,-100364,2015年度,83477,1280995,1052785,1182711,964339,720444,781775,7872864,13434857,5561993,5478516,4758072,-58267,,3.79,3.79,1280995,1502219,-9905,28703,23237,13495456,13434857,37362,98284,88446
2016-05-10,1,2016,,-39463,-2326,144800,144800.0,,60111,-29070,0.95,0.95,0.0,60111.0,66076,,,37810,128644.0,2016年01月01日至2016年03月31日,8975,320078,380189,296066,361523,213313,172841,2031598,3360488,1328890,1319915,1106602,,,0.95,0.95,320078,386154,,7443,8311,3377287,3360488,8488,24012,18666
2016-08-10,2,2016,,-30382,-87,59213,59213.0,,-309985,-154055,0.93,,0.0,-309985.0,51515,,,30037,-125548.0,2016年第2季,21616,314626,4641,288902,673,284269,81872,2062526,3606938,1544412,1522796,1238527,,,0.93,,314626,366141,,7291,7553,3620964,3606938,6473,25724,3968
2016-11-08,3,2016,,-49572,-7221,93969,93969.0,,-286698,-185794,1.11,1.11,0.0,-286698.0,56674,,,114019,-51332.0,2016年第3季,16424,362659,75961,343991,83513,226732,192601,2174364,3673526,1499162,1482738,1256006,,,1.1,1.1,362659,419333,,8166,11129,3709253,3673526,24598,18668,-7552
