date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,90927,50354,24544,187267,870.0,96340,0.13,0.13,160.0,,28088,3062.0,239839,2013年01月01日至2013年03月31日,,69243,256510,69454,256538,20241,77090,4060942,4844827,783885,784045,763804,323917,,,0.13,0.13,200048,69243,97331,870,4060942,4844827,-211,-28
2013-08-09,2,2013,,-98440,33446,29332,19369,,117809,0.38,0.38,89.0,,35224,2517.0,270184,2013年04月01日至2013年06月30日,,195007,214376,195719,215130,165701,64530,5124915,6134205,1009290,1009379,843678,349465,,,0.36,0.36,224029,195007,230231,765,5124915,6134205,-712,-754
2013-11-12,3,2013,,-53770,74618,32858,-153010,,-99240,0.26,0.26,-249.0,,33085,2749.0,267393,2013年07月01日至2013年09月30日,,135419,-17591,135585,-17183,58981,109523,4769577,5642974,873397,873148,814167,329613,,,0.25,0.25,217161,135419,168504,702,4769577,5642974,-166,-408
2014-03-17,4,2013,,-70832,176170,121893,102803,,167188,1.06,1.06,364.0,,138399,9405.0,1051586,2013年01月01日至2013年12月31日,,556369,659172,558531,661490,390553,304215,19016860,22637987,3621127,3621491,3230938,1314447,,6447.0,1.03,1.03,864905,556369,694768,3253,19016860,22637987,-2162,-2318
2014-05-09,1,2014,,585,-12545,162137,60691,,60106,0.36,0.36,-830.0,,10314,2182.0,208992,2014年01月01日至2014年03月31日,,189003,249694,189195,249845,48182,151135,4427717,5251497,823780,822950,774768,350465,,,0.35,0.35,215311,189003,199317,639,4427717,5251497,-192,-151
2014-08-08,2,2014,,5833,-21754,23170,-74839,,-80672,0.29,0.29,114.0,,-5086,1700.0,245763,2014年第2季,,153945,79106,153883,79063,146477,2382,4973589,5953234,979645,979759,833282,359138,,,0.29,0.29,228381,153945,148859,734,4973589,5953234,62,43
2014-11-12,3,2014,,-7777,3611,16342,66764,,74541,0.12,0.12,-191.0,,4163,1416.0,239327,2014年第3季,,64686,131450,64567,131336,47855,20994,4497513,5347132,849619,849428,801573,347486,,,0.12,0.12,214760,64686,68849,375,4497513,5347132,119,114
2015-03-20,4,2014,,7553,-10139,452148,260377,,241228,1.21,1.21,283.0,,60785,5643.0,967741,2014年度,,643236,903613,643535,903970,258851,445170,19362476,22847900,3485424,3485707,3226856,1385983,,11596.0,1.18,1.18,873132,643236,704021,2482,19362476,22847900,-299,-357
2015-05-12,1,2015,,8374,-40047,14881,-53781,,-62155,0.21,0.21,,-53781.0,9349,0.0,203463,2015年01月01日至2015年03月31日,0.0,109497,55716,109575,55851,144703,-25857,4107180,4947159,839979,839979,695276,283736,,,0.2,0.2,208077,109497,118846,691,4107180,4947159,-78,-135
2015-08-11,2,2015,,-2814,-42616,21070,-49746,,-46932,0.42,0.42,0.0,-49746.0,42479,0.0,232161,2015年第2季,,225319,175573,225359,175732,289710,-21912,5082361,6130601,1048240,1048240,758530,314946,,,0.41,0.41,211423,225319,267798,366,5082361,6130601,-40,-159
2015-11-06,3,2015,,4474,59329,12147,153191,,148717,0.71,0.71,0.0,153191.0,144630,0.0,256233,2015年第3季,,379984,533175,380015,532786,453200,71414,5224719,6542650,1317931,1317931,864731,376726,,,0.7,0.7,231772,379984,524614,62,5224719,6542650,-31,389
2016-03-23,4,2015,-9971.0,5307,-46850,49072,-43987,,-39323,2.19,2.19,0.0,-34016.0,316969,0.0,988624,2015年度,,1165935,1121948,1166341,1122127,1481386,1518,20046789,24738760,4691971,4691971,3210585,1357472,-9971.0,,2.15,2.15,864489,1165935,1482904,704,20046789,24738760,-406,-179
2016-05-10,1,2016,,-30911,-71408,14950,-106971,,-76060,0.74,0.74,,-106971.0,84741,,239098,2016年01月01日至2016年03月31日,,398116,291145,398316,291496,539315,-56458,4554270,5927809,1373539,1373539,834224,368755,,,0.74,0.74,226371,398116,482857,0,4554270,5927809,-200,-351
2016-08-05,2,2016,,18645,53030,29701,-62780,,-81425,0.89,0.89,,-62780.0,170131,,256295,2016年第2季,,478534,415754,478559,415762,565934,82731,5984291,7420476,1436185,1436185,870251,365724,,,0.88,0.88,248232,478534,648665,0,5984291,7420476,-25,-8
2016-11-09,3,2016,,21197,-40409,52277,-139434,,-160631,0.89,0.89,,-139434.0,122477,,260403,2016年第3季,,480339,340905,480344,341098,590948,11868,6102413,7591313,1488900,1488900,897952,384216,,,0.86,0.86,253333,480339,602816,0,6102413,7591313,-5,-193
